dim,dim_cn,decile,H,n,n_day,mean,median,exw,t,win,payoff,pf,p10,p90,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings
ret5,过去5日涨幅,1,1,1050005,2865,0.0006776969190731163,0.0,0.0001463788110378898,0.998670502330996,0.4914738501245232,1.0533141190792867,1.057496563583256,-0.03634854629635811,0.03748675957322117,0.1467744464628784,-0.5356171791705381,0.5581804705282865,0.2052781750473265,366.4938917975567
ret5,过去5日涨幅,1,5,1047883,2861,0.002799164903323802,-0.0033556893467903137,-0.00044122905505273127,-1.4236848388943077,0.47025574420044985,1.228264895799813,1.1072717514355725,-0.07894738018512726,0.08951617032289508,0.1467744464628784,-0.5356171791705381,0.5581804705282865,0.2052781750473265,366.4938917975567
ret5,过去5日涨幅,1,10,1045246,2856,0.004548252858969007,-0.006151301320642233,-0.002039408342688386,-4.787609975545462,0.46511060554166195,1.2787829808015647,1.1233543060091515,-0.11056864634156227,0.12906883656978607,0.1467744464628784,-0.5356171791705381,0.5581804705282865,0.2052781750473265,366.4938917975567
ret5,过去5日涨幅,1,20,1039966,2846,0.00995160546550964,-0.009740251116454601,-0.003269662452087394,-5.560481356976578,0.46386324168290116,1.3748490243714129,1.1976307033502502,-0.15068494528532028,0.18733267486095428,0.1467744464628784,-0.5356171791705381,0.5581804705282865,0.2052781750473265,366.4938917975567
ret5,过去5日涨幅,2,1,1051373,2865,0.0007545259266811589,0.0,0.00018885497850098688,1.9689452648224068,0.49012862228723775,1.0637936900754201,1.0746273842175844,-0.03080287501215934,0.03245581910014154,0.16834011956720807,-0.5481846582719871,0.6252196035684502,0.21595979927819536,366.97137870855147
ret5,过去5日涨幅,2,5,1049254,2861,0.0035843079205343273,-0.0011223388137295842,0.0005640112350088198,2.806197872539804,0.48510465530748514,1.206574057996637,1.159205851245236,-0.06835774853825569,0.0793353885412217,0.16834011956720807,-0.5481846582719871,0.6252196035684502,0.21595979927819536,366.97137870855147
ret5,过去5日涨幅,2,10,1046607,2856,0.006414896647139643,-0.0014630359364673495,0.00024362840664957777,0.8922956155718587,0.48780105617485836,1.24685346477964,1.2035817975627083,-0.09649122804403305,0.11521837562322618,0.16834011956720807,-0.5481846582719871,0.6252196035684502,0.21595979927819536,366.97137870855147
ret5,过去5日涨幅,2,20,1041311,2846,0.012952171816423361,-0.0029268208891153336,2.0901077336327126e-05,0.0521043267383927,0.48599601848055,1.3623699832417033,1.2997716346792672,-0.13303768634796143,0.17053569853305817,0.16834011956720807,-0.5481846582719871,0.6252196035684502,0.21595979927819536,366.97137870855147
ret5,过去5日涨幅,3,1,1051835,2865,0.0008023285629599865,0.0,0.00022086402177733762,3.11387091991285,0.4898848203377906,1.067229485519327,1.0852153871219994,-0.028725944831967352,0.03025691062211989,0.1839751083400043,-0.5394741868272952,0.6777605716861131,0.22400922132311424,367.1326352530541
ret5,过去5日涨幅,3,5,1049718,2861,0.003726926164919928,0.0,0.0006862596957515509,4.413832898042622,0.4928733240737036,1.1838799471891217,1.1777428583563365,-0.0640125423669815,0.0739583618938923,0.1839751083400043,-0.5394741868272952,0.6777605716861131,0.22400922132311424,367.1326352530541
ret5,过去5日涨幅,3,10,1047070,2856,0.006990378610811646,0.0,0.0008997844964293917,4.213049107215007,0.49741946574727575,1.2317079638247073,1.2383988886946498,-0.09067577570676803,0.10857161507010457,0.1839751083400043,-0.5394741868272952,0.6777605716861131,0.22400922132311424,367.1326352530541
ret5,过去5日涨幅,3,20,1041780,2846,0.013706014266068744,0.0,0.0008349987283546164,2.4992605513008255,0.4963917525773196,1.3453525472902652,1.3395088982449734,-0.1257566899061203,0.1617100954055786,0.1839751083400043,-0.5394741868272952,0.6777605716861131,0.22400922132311424,367.1326352530541
ret5,过去5日涨幅,4,1,1051561,2865,0.0008248142343924472,0.0,0.00023221336709409242,3.9399858716730742,0.49016081806000794,1.066541808622859,1.0910236621212595,-0.027598829939961433,0.02920442633330822,0.1904788516292526,-0.5247786765089957,0.7034143270973094,0.22686327923728425,367.0369982547993
ret5,过去5日涨幅,4,5,1049442,2861,0.0038629692783666014,0.0,0.000838557766457311,6.693846303733725,0.4982028544693275,1.1704030147008992,1.1917867232335215,-0.0617551077157259,0.07127427756786346,0.1904788516292526,-0.5247786765089957,0.7034143270973094,0.22686327923728425,367.0369982547993
ret5,过去5日涨幅,4,10,1046794,2856,0.00712045089449021,0.0010301133152097464,0.0010076168600575894,5.575644120122383,0.5028764016606897,1.2175666506049128,1.2528427779720925,-0.08744941726326942,0.10452139824628837,0.1904788516292526,-0.5247786765089957,0.7034143270973094,0.22686327923728425,367.0369982547993
ret5,过去5日涨幅,4,20,1041495,2846,0.013806330428884841,0.0008992860093712807,0.0010715086835259193,3.680796993009241,0.5015626575259603,1.3303167356621373,1.353432942823411,-0.12221444100141525,0.15666581690311426,0.1904788516292526,-0.5247786765089957,0.7034143270973094,0.22686327923728425,367.0369982547993
ret5,过去5日涨幅,5,1,1051016,2865,0.0008649988521364506,0.0,0.00025507403875528256,4.924663703602516,0.48935696506998944,1.073997454302472,1.0969877819605396,-0.027079276740550995,0.02879997529089451,0.1999239055001174,-0.5214130830011091,0.736554769459301,0.2326121284828082,366.8467713787085
ret5,过去5日涨幅,5,5,1048896,2861,0.0038342394463105967,0.0,0.0007791171866045022,6.28620193762916,0.4996462947708829,1.164306029254682,1.1938284402469612,-0.060750216245651245,0.06980076804757118,0.1999239055001174,-0.5214130830011091,0.736554769459301,0.2326121284828082,366.8467713787085
ret5,过去5日涨幅,5,10,1046249,2856,0.007258963084793883,0.0015649854904040694,0.0010954041155423865,6.13746748249738,0.5059417022142912,1.2114262762341568,1.2630714707553223,-0.08612442314624787,0.10268118977546702,0.1999239055001174,-0.5214130830011091,0.736554769459301,0.2326121284828082,366.8467713787085
ret5,过去5日涨幅,5,20,1040971,2846,0.013934657962744096,0.0015582209452986717,0.0011137479929592081,3.9989497285613225,0.5040467025498309,1.3255724099726798,1.362489872038029,-0.12048188596963882,0.15471696853637695,0.1999239055001174,-0.5214130830011091,0.736554769459301,0.2326121284828082,366.8467713787085
ret5,过去5日涨幅,6,1,1051960,2865,0.0008308595783164026,0.0,0.00019887108974371917,3.863190288358526,0.4862066998745199,1.0844380739286077,1.09223901852885,-0.027317102812230588,0.029028467647731288,0.18487485107631407,-0.5371454883891452,0.7018967270737263,0.21847858462227232,367.1762652705061
ret5,过去5日涨幅,6,5,1049844,2861,0.003851690488760005,0.0,0.0007118120657920513,5.74149238462665,0.4999790445056599,1.1632837722218883,1.1936678377196444,-0.061236259713768955,0.06988580673933031,0.18487485107631407,-0.5371454883891452,0.7018967270737263,0.21847858462227232,367.1762652705061
ret5,过去5日涨幅,6,10,1047191,2856,0.007245562410086891,0.0016064414521679282,0.0009742817905574558,5.229199449519252,0.5060318509230886,1.2098435682467414,1.2614948888497333,-0.08646918833255768,0.10244648158550262,0.18487485107631407,-0.5371454883891452,0.7018967270737263,0.21847858462227232,367.1762652705061
ret5,过去5日涨幅,6,20,1041885,2846,0.013786525514529545,0.0016555991023778915,0.0009145479045936454,3.215597873267091,0.5044193936950815,1.3175351487536757,1.3561304467812687,-0.12129142582416534,0.15461203157901757,0.18487485107631407,-0.5371454883891452,0.7018967270737263,0.21847858462227232,367.1762652705061
ret5,过去5日涨幅,7,1,1051665,2865,0.000824953011174427,0.0,0.00019657533587655296,3.3104223906337538,0.4820993377168585,1.10277044799266,1.088118607420713,-0.02829348258674145,0.030211474001407623,0.18547192000789225,-0.5076457959627605,0.7077160642477291,0.2179012639184296,367.0732984293194
ret5,过去5日涨幅,7,5,1049547,2861,0.003771951853092427,0.0,0.0005797435468672861,4.181202357517546,0.49765565524935995,1.1657234408832138,1.1837892055831218,-0.06327768713235855,0.07180174738168717,0.18547192000789225,-0.5076457959627605,0.7077160642477291,0.2179012639184296,367.0732984293194
ret5,过去5日涨幅,7,10,1046894,2856,0.007331248449777699,0.0012578677851706743,0.0008754005212884265,4.156073534532922,0.5038456615473964,1.217101391308848,1.257217624437183,-0.0889212466776371,0.10519940555095676,0.18547192000789225,-0.5076457959627605,0.7077160642477291,0.2179012639184296,367.0732984293194
ret5,过去5日涨幅,7,20,1041602,2846,0.013453387260583063,0.0005648236256092787,0.00043466890964699497,1.4329181496208925,0.5006153982039205,1.3190400447541866,1.3365049686700152,-0.12483914270997047,0.15773811787366868,0.18547192000789225,-0.5076457959627605,0.7077160642477291,0.2179012639184296,367.0732984293194
