bench,n_sig,cagr,mdd,win,exw,t_exw
B0_全A等权(2015-2026),10535057,0.12668265859934436,-0.5918246888026717,0.5534656913967259,0.0,
B4_随机选股 rep1,59391,0.014063633912534623,-0.7301784676966424,0.5369337979094077,-0.0004253821183819172,-9.243904001124097
B4_随机选股 rep2,59391,0.03168133486233282,-0.6935025220934767,0.5404181184668989,-0.0003555369395404821,-7.588827242791351
B4_随机选股 rep3,59391,0.018286203157331427,-0.7430640750091735,0.537979094076655,-0.0004084185371004603,-8.819169095552166
仅超跌+非D1,741195,-0.2566453711550378,-0.9821580130296664,0.49395017793594304,-0.0016189057644448277,-13.935807774303658
仅缩量+非D1,1612901,-0.09438054810108931,-0.892477479980626,0.5229743949491407,-0.0008757766563022644,-14.862198038370405
仅没涨+非D1,4765577,-0.059903473282468034,-0.8489722011353376,0.5289372150122764,-0.0007289252589844039,-10.766998858136636
仅低波+非D1,4587110,-0.0006603089451732158,-0.6948280972145998,0.5280423280423281,-0.0005195249285011729,-2.7057313144530815
