variant,year,H,n,gross,exw,t
用户规格(hist_z<-1.5),2015,5,113,0.039928041667413726,-0.03406105271017052,-3.993888976361489
用户规格(hist_z<-1.5),2015,10,113,0.07297028404911898,-0.06770351076570308,-4.782369009927954
用户规格(hist_z<-1.5),2015,20,113,0.12467825882249116,-0.09812186797557744,-3.9825722262278282
用户规格(hist_z<-1.5),2016,5,5006,-0.006312430550410821,-0.0038667552027974663,-2.170555641837963
用户规格(hist_z<-1.5),2016,10,5006,0.0025581834446223952,-0.0030408271448976254,-1.4430956568830393
用户规格(hist_z<-1.5),2016,20,5006,0.0038062626714741904,-0.009449341812045865,-2.9555850470063176
用户规格(hist_z<-1.5),2017,5,7156,-0.005338119975762631,-0.0005820244413606797,-0.48115576846724795
用户规格(hist_z<-1.5),2017,10,7156,-0.016919111796539616,0.002448041394116837,1.1561279177960853
用户规格(hist_z<-1.5),2017,20,7156,-0.025023093845916604,0.0018270737628956184,0.6011259903591919
用户规格(hist_z<-1.5),2018,5,3129,-0.00735021824873149,-0.008279353978293357,-3.6059550035943144
用户规格(hist_z<-1.5),2018,10,3129,-0.0112340020181862,-0.008256628042021605,-2.1120332881567885
用户规格(hist_z<-1.5),2018,20,3129,-0.005797678526163074,-0.00898085113849459,-2.1617067966711807
用户规格(hist_z<-1.5),2019,5,4858,0.008643787295882433,0.004304326401087798,2.335799588523919
用户规格(hist_z<-1.5),2019,10,4858,0.00779002418506932,0.003397005294662499,1.2872951101110055
用户规格(hist_z<-1.5),2019,20,4858,0.019531829827089127,0.005960473060035488,1.414498785330178
用户规格(hist_z<-1.5),2020,5,3382,0.0037084932008478403,-0.0019805076394093834,-0.8651777768758915
用户规格(hist_z<-1.5),2020,10,3382,-0.0006166450150889559,0.0033746622565912396,0.6699343345251458
用户规格(hist_z<-1.5),2020,20,3382,0.0013658405062988994,0.008895223694383452,1.2849044573469368
用户规格(hist_z<-1.5),2021,5,4615,0.006663213063928518,-0.00492978376076658,-3.0212866349427396
用户规格(hist_z<-1.5),2021,10,4615,0.009011441721313995,-0.009445893890925079,-4.910911735778522
用户规格(hist_z<-1.5),2021,20,4615,0.01249833446836833,-0.010778282625069822,-3.719668963663
用户规格(hist_z<-1.5),2022,5,7515,0.002336649477574556,-0.0053868138686504335,-3.12908773173768
用户规格(hist_z<-1.5),2022,10,7515,0.0020875431079211745,-0.00529899830598957,-2.1922728592345404
用户规格(hist_z<-1.5),2022,20,7515,0.009845161113780226,-0.006280416529848665,-1.80652123543518
用户规格(hist_z<-1.5),2023,5,6681,0.005013582901353727,0.0016652478565273865,1.4718341029599578
用户规格(hist_z<-1.5),2023,10,6681,0.004420210174168477,0.0011454405482108482,0.7334573821857433
用户规格(hist_z<-1.5),2023,20,6681,-0.0052428429706315475,0.0014237580902258138,0.5501059853688431
用户规格(hist_z<-1.5),2024,5,3324,-0.011186045901561454,0.0001513634128639807,0.06182190905776075
用户规格(hist_z<-1.5),2024,10,3324,-0.017228380215235223,0.0003579047823777037,0.11174279567753877
用户规格(hist_z<-1.5),2024,20,3324,-0.009107492098562847,0.007133355748974124,1.5107884485271716
用户规格(hist_z<-1.5),2025,5,9437,0.008552153528245057,-0.007649799248023845,-5.007899660894473
用户规格(hist_z<-1.5),2025,10,9437,0.013046004383327278,-0.011831148712822908,-5.4779401276900765
用户规格(hist_z<-1.5),2025,20,9437,0.029451133650789066,-0.018999409363835974,-5.895015612355368
用户规格(hist_z<-1.5),2026,5,3982,0.0004883860014099534,0.000538255071318771,0.21984339303284373
用户规格(hist_z<-1.5),2026,10,3970,-0.002823039423978579,-0.0002733392941871008,-0.0784411089661797
用户规格(hist_z<-1.5),2026,20,3927,-0.017217392103277197,0.0006842699082578858,0.12129313987283026
价格超跌(距MA60<-20%),2016,5,56,0.005977881231436706,-0.014532559432162858,-2.090958964621898
价格超跌(距MA60<-20%),2016,10,56,0.015255129571804511,-0.011316096790623488,-0.99310429771006
价格超跌(距MA60<-20%),2016,20,56,0.03402580143301748,-0.0029670619937925795,-0.18263268108303155
价格超跌(距MA60<-20%),2017,5,838,0.006029246565910848,0.0054445023218016725,1.5631431322277487
价格超跌(距MA60<-20%),2017,10,838,0.008364610861376182,0.008817656394075524,1.9068944254770661
价格超跌(距MA60<-20%),2017,20,838,0.014974093506641148,0.011617252206482359,1.7751891031737506
价格超跌(距MA60<-20%),2018,5,699,-0.008147965688436613,-0.007523342811681146,-2.392647730802303
价格超跌(距MA60<-20%),2018,10,699,-0.021391813664719428,-0.004663151705930862,-0.9204701786526731
价格超跌(距MA60<-20%),2018,20,699,-0.03442322869418064,-0.001750366026411779,-0.2678758532767465
价格超跌(距MA60<-20%),2019,5,302,0.022907074736099726,0.0005287403197658211,0.07841148985689195
价格超跌(距MA60<-20%),2019,10,302,0.06063458866004937,0.025456523510323494,1.5669450593156222
价格超跌(距MA60<-20%),2019,20,302,0.09538642140236431,0.08269937164754505,1.8933969862196007
价格超跌(距MA60<-20%),2020,5,405,-0.00040003684332111367,0.0040608391259102025,0.6552667436238375
价格超跌(距MA60<-20%),2020,10,405,-0.015182362596740096,-0.010330287563315558,-1.6256828885699026
价格超跌(距MA60<-20%),2020,20,405,-0.01758599866290841,-0.015906764085914248,-1.7801613179696205
价格超跌(距MA60<-20%),2021,5,969,0.04279607936128531,0.008984208116850917,2.327466546227775
价格超跌(距MA60<-20%),2021,10,969,0.0632634203470388,0.013987874826444799,2.9516317727900856
价格超跌(距MA60<-20%),2021,20,969,0.06725388125567414,0.010286185984553123,1.5478990188604806
价格超跌(距MA60<-20%),2022,5,1049,-0.007116533707990688,-0.0004712901084332803,-0.17376745036365754
价格超跌(距MA60<-20%),2022,10,1049,-0.015734820108855404,0.0046715738258757775,1.1634805922125433
价格超跌(距MA60<-20%),2022,20,1049,0.01587782971801998,0.014029143772090547,1.5225600674708941
价格超跌(距MA60<-20%),2023,5,470,0.0013208520914517105,-0.0017018617473352083,-0.5814586157112012
价格超跌(距MA60<-20%),2023,10,470,0.01615876154119565,0.012160964349154771,1.8387878245438853
价格超跌(距MA60<-20%),2023,20,470,0.016587162927409853,0.0168426766126674,1.4498211369252036
价格超跌(距MA60<-20%),2024,5,641,-0.015821405950234114,0.0007895628697520375,0.17432621002787277
价格超跌(距MA60<-20%),2024,10,641,-0.004085481121617423,-0.006181678854980961,-1.000842538772249
价格超跌(距MA60<-20%),2024,20,641,0.00802759037975766,-0.015140919900828156,-1.8400951735236677
价格超跌(距MA60<-20%),2025,5,188,0.024692044839228284,0.002976562578014836,0.511153503323947
价格超跌(距MA60<-20%),2025,10,188,0.03494562618335352,0.007984115024465626,1.138692957185086
价格超跌(距MA60<-20%),2025,20,188,0.10988841817944628,0.02609411777510035,1.8802384107026502
价格超跌(距MA60<-20%),2026,5,1610,0.008147836667962765,0.005623307426839832,1.555605446730326
价格超跌(距MA60<-20%),2026,10,1603,0.009782731814284682,0.015064958287835696,2.5194696889437442
价格超跌(距MA60<-20%),2026,20,1601,0.044218227470337705,0.022622643215846876,2.366991006992269
无超跌(缩量+没涨+低波),2015,5,4118,0.00862735889345253,-0.014393445004309655,-3.559206788247894
无超跌(缩量+没涨+低波),2015,10,4118,0.027049344345109277,-0.021248775619872606,-3.673333184928805
无超跌(缩量+没涨+低波),2015,20,4118,0.032626962714788744,-0.03465093390972001,-3.507814295749858
无超跌(缩量+没涨+低波),2016,5,30692,0.0007339720120305389,-0.0023656998184992764,-1.389261439808789
无超跌(缩量+没涨+低波),2016,10,30692,0.002717768958361367,-0.0032275056507380688,-1.3916251242910542
无超跌(缩量+没涨+低波),2016,20,30692,0.00538497860192549,-0.006396872098316948,-2.5584218381055734
无超跌(缩量+没涨+低波),2017,5,47957,-0.0043189838925930925,-0.0008163691457118414,-1.6103669761673363
无超跌(缩量+没涨+低波),2017,10,47957,-0.007870902987265511,0.0002380934196744995,0.32841740607628916
无超跌(缩量+没涨+低波),2017,20,47957,-0.013705747849539747,0.00016802844989045678,0.1722191479925411
无超跌(缩量+没涨+低波),2018,5,41073,-0.013629205926645712,-0.005173168695756442,-5.770972908005409
无超跌(缩量+没涨+低波),2018,10,41073,-0.023260697350213293,-0.006888140450079472,-5.378457972936665
无超跌(缩量+没涨+低波),2018,20,41073,-0.03587164635495682,-0.007588586073472796,-4.343595842012848
无超跌(缩量+没涨+低波),2019,5,45697,0.004777768639363041,0.001601157351027889,1.8478950528010356
无超跌(缩量+没涨+低波),2019,10,45697,0.006588556948768197,0.0020354899592490146,1.1490228526157038
无超跌(缩量+没涨+低波),2019,20,45697,0.018087136660727636,0.0020622078236062,0.7277396456254275
无超跌(缩量+没涨+低波),2020,5,42750,0.00017129429411864703,-0.002530297696450239,-2.193342828843969
无超跌(缩量+没涨+低波),2020,10,42750,5.094849623239167e-05,-0.004594742877964428,-2.915622601101385
无超跌(缩量+没涨+低波),2020,20,42750,0.002429081874263111,-0.008609419144654634,-4.151709768897927
无超跌(缩量+没涨+低波),2021,5,49508,0.0057995378687301005,-0.0009408418593557906,-1.2833668995514793
无超跌(缩量+没涨+低波),2021,10,49508,0.00915870234858828,-0.0029321495001860265,-2.9544249846109314
无超跌(缩量+没涨+低波),2021,20,49508,0.021524283514342255,-0.0010826805387883346,-0.7864333732459203
无超跌(缩量+没涨+低波),2022,5,62439,-0.0036616921461434288,0.0001478208001134461,0.1695256386854604
无超跌(缩量+没涨+低波),2022,10,62439,-0.003287687808276963,0.00014114340369774132,0.12025061832692252
无超跌(缩量+没涨+低波),2022,20,62439,0.004443064817969535,0.001545433769395352,0.847795862193871
无超跌(缩量+没涨+低波),2023,5,77886,-0.000429356281690934,-0.0006357046476789345,-1.3353376624629085
无超跌(缩量+没涨+低波),2023,10,77886,-0.00044319834802675646,-0.0009002028950303394,-1.2008334427833458
无超跌(缩量+没涨+低波),2023,20,77886,-0.0060517151792398045,-0.0029646119775523505,-2.461402567012622
无超跌(缩量+没涨+低波),2024,5,58157,-0.006723007346101128,0.004363691514064887,2.359091506063696
无超跌(缩量+没涨+低波),2024,10,58157,-0.006315545030752287,0.00551312903437046,2.5719745524443307
无超跌(缩量+没涨+低波),2024,20,58157,-0.005172304455226551,0.005646191831024902,2.1294247467092093
无超跌(缩量+没涨+低波),2025,5,70233,0.004619500866153615,-0.0025544787793715376,-3.048531602136903
无超跌(缩量+没涨+低波),2025,10,70233,0.011143666950027194,-0.005650225624886172,-4.19460950611962
无超跌(缩量+没涨+低波),2025,20,70233,0.02956659598391425,-0.01111901380685602,-5.717561758438879
无超跌(缩量+没涨+低波),2026,5,38548,-0.00462394122269756,-0.0005759550275169914,-0.34475120811021565
无超跌(缩量+没涨+低波),2026,10,37034,-0.010103923088387621,-0.002207571371008766,-0.9074503428360688
无超跌(缩量+没涨+低波),2026,20,34858,-0.01478827525296513,-0.0039312373811959,-1.0626653316858663
