dim,dim_cn,decile,H,n,gross,exw,t
hist_z,MACD柱位置,9,60,1008737,0.021229110658168793,-0.0030757212080061436,-6.222599800123654
hist_z,MACD柱位置,10,5,1039200,-0.0009844587184488773,-0.004182858392596245,-12.751021841439274
hist_z,MACD柱位置,10,10,1036551,-0.0003914028056897223,-0.006475106347352266,-15.23095165173956
hist_z,MACD柱位置,10,20,1031243,0.0012027132324874401,-0.010277094319462776,-17.82210882675443
hist_z,MACD柱位置,10,60,1010114,0.008520582690834999,-0.016493994742631912,-21.498837495097778
volz20,Volume Z,1,5,1044642,0.0027715489268302917,-8.315705781569704e-05,-0.4524019206878161
volz20,Volume Z,1,10,1041998,0.005344227887690067,-0.00040447257924824953,-1.6489336633321532
volz20,Volume Z,1,20,1036707,0.010989218018949032,-0.0002630731323733926,-0.7521595153296603
volz20,Volume Z,1,60,1015637,0.027900172397494316,-0.0012274256441742182,-2.241293346177184
volz20,Volume Z,2,5,1046074,0.0030723395757377148,0.00010853610729100183,0.8113102312666007
volz20,Volume Z,2,10,1043424,0.00591896241530776,0.00013008486712351441,0.7266678254788834
volz20,Volume Z,2,20,1038126,0.011975603178143501,0.0007373824482783675,2.909098382491488
volz20,Volume Z,2,60,1017046,0.030495986342430115,0.0010843941709026694,2.7712806332652895
volz20,Volume Z,3,5,1046333,0.003358176676556468,0.00038231126382015646,3.665129346392025
volz20,Volume Z,3,10,1043688,0.006383890751749277,0.0005746159004047513,4.14723052358816
volz20,Volume Z,3,20,1038388,0.012327071279287338,0.0011450513266026974,5.7870484191837885
volz20,Volume Z,3,60,1017290,0.031227927654981613,0.0021873468067497015,6.737479535144627
volz20,Volume Z,4,5,1046084,0.003559311619028449,0.0006140980403870344,6.703906513855373
volz20,Volume Z,4,10,1043442,0.006612046621739864,0.0008667570073157549,6.941668180576584
volz20,Volume Z,4,20,1038146,0.01257438026368618,0.0013604224659502506,8.021620906582223
volz20,Volume Z,4,60,1017053,0.031576912850141525,0.0025789060164242983,8.78880352545304
volz20,Volume Z,5,5,1045767,0.00369260273873806,0.0008173490059562027,10.320850265891915
volz20,Volume Z,5,10,1043118,0.006827673874795437,0.0011289602844044566,10.32443204336035
volz20,Volume Z,5,20,1037829,0.012666134163737297,0.0015859788982197642,10.379239940474243
volz20,Volume Z,5,60,1016751,0.03152316436171532,0.0027104460168629885,10.280671244489444
volz20,Volume Z,6,5,1046621,0.003613703651353717,0.0007214974029920995,9.713027491452072
volz20,Volume Z,6,10,1043968,0.006791569758206606,0.0011089108884334564,10.55396857938285
volz20,Volume Z,6,20,1038677,0.012651236727833748,0.0016017479356378317,10.934271789536108
volz20,Volume Z,6,60,1017574,0.031122293323278427,0.0025733865331858397,9.873316126849113
volz20,Volume Z,7,5,1046343,0.003680578665807843,0.0007637710077688098,9.093887937479396
volz20,Volume Z,7,10,1043690,0.006832485552877188,0.00113847351167351,9.227749005179703
volz20,Volume Z,7,20,1038407,0.012526794336736202,0.001403040369041264,7.844157763681094
volz20,Volume Z,7,60,1017308,0.030312281101942062,0.0018212710274383426,6.155894075743954
volz20,Volume Z,8,5,1046067,0.0032569284085184336,0.0003689777513500303,3.4574487304357424
volz20,Volume Z,8,10,1043423,0.006220454815775156,0.0006078659789636731,4.251360765309242
volz20,Volume Z,8,20,1038126,0.011545627377927303,0.0004620353865902871,2.208377160565594
