label,n,mean1,med1,std1,win1,n1,t1,excess1,mean5,med5,std5,win5,n5,t5,excess5,mean10,med10,std10,win10,n10,t10,excess10,mean20,med20,std20,win20,n20,t20,excess20,mean60,med60,std60,win60,n60,t60,excess60
MACD翻红 (全部),366306,0.001741037704050541,-0.0008545182645320892,0.03200753405690193,0.4679012210659857,365746,32.89615551429698,0.0012412061914801598,0.0028719580732285976,-0.002808988792821765,0.07656174898147583,0.47113819132665646,364842,22.657817362833494,0.00038561364635825157,0.006273982115089893,-0.0015948963118717074,0.10609201341867447,0.4879420316914654,364199,35.688586655597334,0.0013172007165849209,0.011912091635167599,-0.0030308845452964306,0.1573495715856552,0.4864472223296305,362066,45.55286702099537,0.0022592470049858093,0.030536016449332237,-0.013842327520251274,0.2692805528640747,0.46588770300578164,354916,67.5568754385021,0.006433980539441109
MACD翻红 + 缩量 (VR<0.8),69049,0.001556761795654893,0.0,0.026770761236548424,0.47756391674879706,68996,15.274615570578339,0.0010569302830845118,0.003959249705076218,0.0,0.06466823071241379,0.4896095032021028,68861,16.065913499614698,0.0014729052782058716,0.008996561169624329,0.0023619732819497585,0.09224284440279007,0.5115622909334187,68758,25.574214976098332,0.004039779771119356,0.017192333936691284,0.006042296066880226,0.1394413709640503,0.5222513280552588,68333,32.22962376040184,0.007539489306509495,0.04458069056272507,0.0023450348526239395,0.25591716170310974,0.5048144916197755,66466,44.9100837828657,0.02047865465283394
MACD翻红 + 平量 (0.8<=VR<1.1),91716,0.001493874122388661,0.0,0.027805527672171593,0.47324792765636775,91563,16.257004029245852,0.0009940427262336016,0.0026731269899755716,-0.0019160425290465355,0.06882122159004211,0.4777531929809188,91294,11.735888665760065,0.00018678256310522556,0.007184293586760759,0.0,0.09920255839824677,0.49879264169996046,91108,21.859341472336684,0.002227512188255787,0.014366419054567814,0.001240694778971374,0.15187621116638184,0.5025456955105196,90545,28.46352126357838,0.0047135744243860245,0.034246042370796204,-0.008859184570610523,0.26724761724472046,0.4765274186964213,88188,38.05386951419802,0.010144006460905075
MACD翻红 + 温和放量 (1.1<=VR<1.5),90153,0.0021020378917455673,-0.0005197505233809352,0.031375784426927567,0.4721944499988891,90018,20.100564576363677,0.0016022063791751862,0.004229543264955282,-0.0019526483956724405,0.07806108146905899,0.47814804089724455,89786,16.235318610772612,0.0017431988380849361,0.007380618713796139,0.0,0.10805438458919525,0.49395197286198894,89616,20.447524061721456,0.0024238373152911663,0.01287869457155466,-0.002793296007439494,0.15940168499946594,0.487745180594384,89067,24.112093112906038,0.0032258499413728714,0.025477983057498932,-0.018806418403983116,0.2703380584716797,0.4559283040895512,87369,27.856980931786367,0.0013759471476078033
MACD翻红 + 大幅放量 (VR>=1.5),113270,0.0016143405809998512,-0.0024125452619045973,0.03804647549986839,0.45099114558915887,113051,14.266453439066973,0.00111450906842947,0.0018104244954884052,-0.0058309040032327175,0.08684075623750687,0.4519209455325714,112783,7.0012680290637475,-0.0006759199313819408,0.0025466089136898518,-0.007334963418543339,0.11681382358074188,0.4586985674828373,112599,7.3153202435531695,-0.0024101724848151207,0.006510233040899038,-0.012698412872850895,0.1690668761730194,0.45306822138692715,112003,12.886973052553186,-0.003142611589282751,0.019443755969405174,-0.0283203125,0.2730254530906677,0.43490859851049424,110775,23.702598553160847,-0.004658279940485954
MACD翻红 + VR>1.1,203423,0.0018305308185517788,-0.0015384615398943424,0.03524640575051308,0.46039031068257585,203069,23.403616225697295,0.0013306993059813976,0.00288266665302217,-0.0039787800051271915,0.08307255804538727,0.46354575477985277,202569,15.617885759898702,0.000396322226151824,0.00468890555202961,-0.004221190232783556,0.11304119229316711,0.47432188512227086,202215,18.652641853550236,-0.0002678758464753628,0.009331238456070423,-0.008179958909749985,0.16488580405712128,0.4684289053563436,201070,25.37631757148731,-0.00032160617411136627,0.022104468196630478,-0.02405579388141632,0.271860271692276,0.4441769622093023,198144,36.19292578151533,-0.0019975677132606506
MACD翻红 + VR>1.0,232797,0.0017917295917868614,-0.0013976937625557184,0.034507866948843,0.4618919756273882,232392,25.03018160889396,0.0012918980792164803,0.002909368369728327,-0.0036407767329365015,0.08175671100616455,0.4656290307969061,231809,17.13323997812662,0.00042302394285798073,0.0049563683569431305,-0.0036630036775022745,0.1118299812078476,0.47718295981953796,231406,21.320221163245957,-4.130415618419647e-07,0.009706667624413967,-0.007281553465873003,0.16405093669891357,0.4715956993733323,230106,28.38274981583808,5.3822994232177734e-05,0.023010240867733955,-0.02261306531727314,0.27149760723114014,0.44712852230036065,226521,40.337445569947505,-0.0010917950421571732
MACD翻红 + VR>1.2,176266,0.0018128127558156848,-0.0017374822637066245,0.0359979085624218,0.45798259624074256,175939,21.12299640274215,0.0013129813596606255,0.002668021945282817,-0.0044732727110385895,0.08432552218437195,0.4602192442681982,175512,13.255085636202017,0.00018167751841247082,0.004140431527048349,-0.005041275639086962,0.11442344635725021,0.4699359051190293,175209,15.146334498198808,-0.0008163498714566231,0.008664987049996853,-0.009418034926056862,0.1665164977312088,0.4641295239844351,174238,21.72105148714906,-0.0009878575801849365,0.021444864571094513,-0.025500910356640816,0.27335771918296814,0.4414394499095399,171899,32.52575321066566,-0.0026571713387966156
MACD翻红 + VR>2.0,55922,0.00130137475207448,-0.0035765378270298243,0.04113464802503586,0.4405613205011022,55797,7.4730196118987715,0.0008015432977117598,-0.0005025696591474116,-0.008310249075293541,0.08887998014688492,0.4346474520232876,55652,-1.333916896011707,-0.0029889140278100967,-0.0007268337067216635,-0.011326012201607227,0.11867061257362366,0.4383480295123268,55570,-1.4438036893430095,-0.005683614872395992,0.0016438852762803435,-0.018078479915857315,0.16628627479076385,0.43303668330800954,55284,2.3244003858119062,-0.008008959703147411,0.015646671876311302,-0.03318250551819801,0.2725168764591217,0.4216153102366227,54813,13.44207817561187,-0.008455364033579826
MACD金叉 + 放量 (VR>1.1),203423,0.0018305308185517788,-0.0015384615398943424,0.03524640575051308,0.46039031068257585,203069,23.403616225697295,0.0013306993059813976,0.00288266665302217,-0.0039787800051271915,0.08307255804538727,0.46354575477985277,202569,15.617885759898702,0.000396322226151824,0.00468890555202961,-0.004221190232783556,0.11304119229316711,0.47432188512227086,202215,18.652641853550236,-0.0002678758464753628,0.009331238456070423,-0.008179958909749985,0.16488580405712128,0.4684289053563436,201070,25.37631757148731,-0.00032160617411136627,0.022104468196630478,-0.02405579388141632,0.271860271692276,0.4441769622093023,198144,36.19292578151533,-0.0019975677132606506
MACD金叉 + 缩量 (VR<1.0),131391,0.0015204241499304771,0.0,0.027016155421733856,0.4757307446127587,131236,20.38759786067743,0.001020592637360096,0.0032555432990193367,-0.001178550417535007,0.0659228041768074,0.48347400985372185,130915,17.86820141359259,0.0007691988721489906,0.00822166446596384,0.0015673980815336108,0.09469830989837646,0.5059116127797972,130675,31.38427748629259,0.003264883067458868,0.016314296051859856,0.004444078542292118,0.1439662128686905,0.5149335346035951,129842,40.833226124422474,0.006661451421678066,0.040789343416690826,-0.0019455252913758159,0.260986864566803,0.4933915123102386,126277,55.53777245068458,0.016687307506799698
MACD死叉 (反向对照),365067,-0.00027428215253166854,0.0,0.0319613479077816,0.4953936933457154,365043,-5.184941581253797,-0.0007741135777905583,0.0020643018651753664,-0.001993686892092228,0.07429848611354828,0.48050597198436745,364368,16.771147882723874,-0.00042204256169497967,0.0024197036400437355,-0.004943244159221649,0.10600873827934265,0.4701790992870805,362313,13.739213121342653,-0.002537077758461237,0.004093556199222803,-0.010335917584598064,0.1506827026605606,0.4584022420778068,360380,16.308615553085186,-0.005559288430958986,0.021235505118966103,-0.019223224371671677,0.26094260811805725,0.45289481635430756,354133,48.428403407416646,-0.002866530790925026
