tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S | 阶段1 超跌,5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.0005143061786043975,-1.1403850717228907,0.025189157946480713,-0.0021918691927567124,0.4914717261673076,1.4744177575629416,1.5148843621561023,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
S | 阶段1+2a 量能渐降+不创新低,1832385,-0.5484726713494998,-0.999891948705615,-2.4213927720400257,-0.7455527913946316,645.2106375484326,-0.003565598799629756,-30.283193638191708,-0.0033929752413610326,-0.0023202523589134216,0.42859381150187825,0.6597657926561789,0.8294835546165105,-0.0036862010572102644,-13.56823489504144,-0.002024709463649005,-0.0028169159777462482,0.4663502388821597,0.9085295612856483,1.0146663568559748,-0.0048328005873544706,-12.333654980791186,-0.00010167457088737081,-0.0044923697132617235,0.4656388474317534,0.9967127788245319,1.1252519241343135,-0.0060009351341949,-10.648985349922816,0.004319593006105909,-0.007502293214201927,0.4642840973213763,1.1026943317422162,1.259461327754521,-0.00873466623625777,-12.17295923986233,0.01933416714898325,-0.005970143713057041,0.4794698244021396,1.352834939869845,1.4584263904229577,-0.012857878565555422,-13.739812287997001,0.032339889574760215,-0.007832891307771206,0.47803868624691137,1.509396472776041,1.6392318856091352
S | 阶段1+2b 5日低量+不创新低,903142,-0.40932230704621275,-0.9981961263242968,-1.3005501334044551,-0.46231316502781694,327.5979680696662,-0.002345375095102201,-12.963486776839739,-0.002925304193115148,-0.002659623743966222,0.43976363998848106,0.746376696119223,0.9212797437846633,-0.0018445556167338874,-4.798111573793602,-0.0012755659123887672,-0.0038552219048142433,0.46268014172168487,0.9457462109091568,1.0829726845638812,-0.0024656644819076403,-4.062396857337261,0.001315286447651452,-0.0053523569367825985,0.46555706043074224,1.0407220638534251,1.1834513612628603,-0.002174661936472698,-2.7717223676801086,0.006591792879103214,-0.007594933267682791,0.4678515802909242,1.1512164603069228,1.301525156572605,-0.004961347568177618,-4.907347607230207,0.02491161364438108,-0.003436474595218897,0.48899767995666527,1.4462282206918364,1.5052253176244608,-0.006246678967166623,-4.952918428613641,0.0397702202786712,-0.004728132858872414,0.4876101554243407,1.6150165151808584,1.6916797956093912
S | 阶段1+3 直接反转确认,731949,0.23567020741467903,-0.4072649796155696,0.7741646585000435,0.2690613318212744,257.18296973962,0.00045223317189541546,2.089321325356768,0.002343064922972089,0.0,0.48153407924872144,1.250146617853497,1.2708403165568,-0.0012290654770806386,-4.170872009833867,0.006963238803047909,0.0003447343478910625,0.5004168908567416,1.354134770108441,1.3183241539581292,-0.0013839232125825993,-3.4650124837910465,0.012807191610966313,0.0045045348815619946,0.5250286184323268,1.4821799635667636,1.3167777375303147,-0.0027169564198801796,-4.239875514687082,0.0239253322965908,0.008125157561153173,0.5313069514942143,1.6363872980009335,1.4276742414614343,-0.006134677649167554,-7.100426123693781,0.02961845537338102,-0.004076119512319565,0.4862290962462195,1.5387359558781997,1.615053451991929,-0.011183472178070702,-10.933036797916708,0.03366457099835061,-0.011938930489122868,0.46748305257827427,1.5111948865332938,1.7120007902611727
S | 阶段1+2a+3 完整三阶段,1708,-0.5749055841701238,-0.9999429528476848,-3.9848753085697557,-0.8314976708488163,1.7453987730061349,-0.007642600755771871,-15.527347936942999,-0.009955284158649703,-0.009038074873387814,0.2735793790275337,0.2775218528818808,0.7006386821150695,-0.008608112625142637,-6.540863928046978,-0.009090319434519661,-0.00951808225363493,0.3909730363423212,0.6230438338527086,0.9481101819497737,-0.007911632029239498,-4.380673909008655,-0.004896210728701698,-0.010294646490365267,0.4294947121034078,0.8517558218251271,1.1127589737934287,-0.008687158004687954,-3.230157949593143,0.0074064035966043195,-0.009671216830611229,0.45132743362831856,1.1824191504101367,1.4204486264404126,-0.011342309254139045,-2.7667977981729717,0.024183766393092915,-0.01088140718638897,0.45449172576832153,1.4621569066100766,1.7340534445102598,-0.004971451289751327,-0.840551982266057,0.04280713475084411,-0.013729963451623917,0.46044021415823916,1.6740532674967181,1.9487364263753788
S | 阶段1+2b+3 完整三阶段,13609,-0.8723557907547008,-0.9999999999364919,-5.790664307691088,-1.9904803631165975,7.0030880082346885,-0.010446956127195173,-24.245271599508612,-0.013534041766195116,-0.013401802629232407,0.2719188652899243,0.3018085217442534,0.7923697243847776,-0.01222933226082846,-14.388504236861895,-0.013298515824761955,-0.014677158556878567,0.3751012891344383,0.5740360867261722,0.946956623821651,-0.014599571160007941,-13.25499335332348,-0.010162826934451363,-0.01628194935619831,0.4057906787798213,0.7460603463261797,1.0836479001971084,-0.015598105780032283,-9.820723275527588,0.0008055899742139469,-0.015849057585000992,0.4421208750463478,1.0161194212655595,1.2760292027868574,-0.017694720285991172,-7.622175014634973,0.0165955647000886,-0.017510799691081047,0.44962226045328746,1.2586051479454607,1.533525886466903,-0.017352627806464346,-5.4516193882707356,0.028508110585339193,-0.021535673178732395,0.44982407832338994,1.388267375898094,1.693964749097895
L | 阶段1 超跌,1737367,0.22106142934528306,-0.502219295108467,0.7431709742547719,0.2622903657505229,617.5320284697509,0.0004390615888480096,3.704474862162381,0.0009472051225170606,0.0,0.4880090360838258,1.0917501419831286,1.095878248681242,0.001646450955078341,5.828572466811845,0.004363596899511823,0.0,0.49204121067179635,1.191673590267899,1.2081697580385529,0.0021948519668028134,5.715574187354268,0.00797812642158814,0.0,0.49551624698027935,1.2530910892625666,1.2600775896281622,0.0021941424922075877,4.029230287097763,0.01429003122744111,-0.0012706362176686525,0.4929552779370962,1.3269080355455065,1.3535952824681559,-0.00290232591251421,-3.879595000698359,0.020799024959311137,-0.0073782457038760185,0.4782055048312833,1.3479943321809986,1.4628535098535034,-0.008694242439090895,-9.570683474192148,0.02442691305513359,-0.01610642485320568,0.4609091249819292,1.3387328045053208,1.5590798005634785
L | 阶段1+2a 量能渐降+不创新低,627968,-0.5409784574402621,-0.999898478919966,-2.096167795921337,-0.7180256892563305,225.10756543564003,-0.0033792801757931814,-19.849290907537622,-0.0037567088615794333,-0.0027854936197400093,0.42899852665949906,0.6545745169969751,0.833546217795139,-0.002874493527091327,-6.061476748529475,-0.002123904669079076,-0.003757135011255741,0.4633268185573633,0.9130231489455519,1.0384965195749678,-0.004367812102743193,-6.696585413808145,9.589501076771081e-05,-0.00593694718554616,0.46211002459116385,1.0028229733261005,1.1532661003472127,-0.005229920642936873,-6.781296836488188,0.0039625136085583304,-0.009943246841430664,0.4588157769354138,1.0852758181203153,1.2700308469683348,-0.009510949889995296,-9.264755583532958,0.015887223839509274,-0.010309304110705853,0.46983559999414426,1.2618984324878082,1.416465110030231,-0.014459089798458658,-11.999742095499798,0.022633923964356265,-0.017857142724096775,0.45664430194029115,1.3133169970576395,1.5559396356649848
L | 阶段1+2b 5日低量+不创新低,368385,-0.31920474780397823,-0.9914232837609429,-0.8561800405844363,-0.3155508377228577,137.12323157110944,-0.0014539369939844133,-6.7409171953572775,-0.0024082174433653785,-0.002638529520481825,0.4480726990358744,0.7988655419929518,0.9612952264860076,0.0007724533137976219,1.337743421999344,7.618732219533657e-05,-0.0038186433957889676,0.4683089758970444,1.0030737683942699,1.1274440064149873,6.0486373180635865e-05,0.0651674889341441,0.003696661268520584,-0.0049261413514614105,0.47133334979816854,1.1091477810398631,1.2349278257481446,0.0011534871969897955,0.9268915281869565,0.010245164986150685,-0.006246939534321427,0.47573618952728886,1.2252928485195191,1.3438353143027657,-0.0044331881782098265,-3.2945076751890765,0.027105731855689187,-0.002518946770578623,0.49267996428841304,1.4666500705830505,1.5056828679374945,-0.009395761085303,-5.9174183896506705,0.034003669478653104,-0.011819707695394754,0.47290801897550516,1.4821245419930025,1.6480360726702232
L | 阶段1+3 直接反转确认,218953,0.18181649607559192,-0.6364973065527476,0.6382976221019173,0.23374874724242647,78.35773232866882,0.00039553588254722435,1.5843717035580445,0.002754323565203687,0.0,0.48060975442227644,1.2540937814585915,1.3019958934651037,-0.002574503125854595,-5.571294422833992,0.006631337400732741,-0.0011990112252533436,0.4857311932034515,1.2850051750110434,1.3377107024185662,-0.0037934140009378606,-6.08675465749508,0.011301623494639637,0.001972327707335353,0.5078194970719945,1.3609354597451466,1.302443483941692,-0.00749992057040702,-8.678262544713533,0.023244909978594644,0.004493471700698137,0.5143790127209588,1.5419158307087184,1.4436572330067052,-0.015483999753497806,-12.675175396351504,0.020164240842463963,-0.013144948054105043,0.46357107640213213,1.315325930880704,1.514264606264196,-0.022251050464529278,-16.197578306877,0.019624926873952342,-0.02499997988343239,0.4411489520958084,1.2529107016596062,1.5810191828630418
L | 阶段1+2a+3 完整三阶段,621,-0.3816996360830751,-0.995820101305082,-3.0174765122547327,-0.4679740371573945,1.2783505154639174,-0.008960847624980795,-12.566388842085109,-0.010729800896825186,-0.01020636735484004,0.26129032258064516,0.26059734836379506,0.7142297695896606,-0.0077117391487022706,-3.3416086762217523,-0.009022733440783227,-0.00943669117987156,0.40483870967741936,0.6395467665902639,0.9198262260521326,-0.008531483330038059,-2.8075499042688246,-0.006775730661531505,-0.011869818437844515,0.41774193548387095,0.8165194968645128,1.1254728200024366,-0.013268831368210067,-3.0900010231796995,-0.0009210188531376902,-0.009675994981080294,0.4629032258064516,0.9809768297266079,1.1313704900331263,-0.009797429930067963,-1.508899086356317,0.00747615126235741,-0.022922775708138943,0.4290322580645161,1.1174751485408843,1.4661610031607841,-0.009221808880307242,-1.054352855260692,0.024554600352148376,-0.018836667761206627,0.4527687296416938,1.3324517315021602,1.6056522663785022
