variant,year,n_day,ret,mdd
S ret20 D2~D6 | 市场 MA20<MA60,2026,175,0.10570285939687829,-0.13251497559413017
S ret20 D2~D6 | 市场 HV20 > 中位,2015,244,0.6266464419196103,-0.5127579066638033
S ret20 D2~D6 | 市场 HV20 > 中位,2016,244,0.1880439268750207,-0.25868394757387847
S ret20 D2~D6 | 市场 HV20 > 中位,2017,244,0.17221115231458395,-0.06847106767245903
S ret20 D2~D6 | 市场 HV20 > 中位,2018,243,0.07214850326352495,-0.1807377057624986
S ret20 D2~D6 | 市场 HV20 > 中位,2019,244,0.49060371008132875,-0.16006702662122152
S ret20 D2~D6 | 市场 HV20 > 中位,2020,243,0.26811926326792634,-0.10773044114931007
S ret20 D2~D6 | 市场 HV20 > 中位,2021,243,0.08053896115246584,-0.05134288081992611
S ret20 D2~D6 | 市场 HV20 > 中位,2022,242,0.184122011591207,-0.18922411712788267
S ret20 D2~D6 | 市场 HV20 > 中位,2023,242,0.045402151926778656,-0.032159533450132005
S ret20 D2~D6 | 市场 HV20 > 中位,2024,242,0.368740452659287,-0.2824774169524944
S ret20 D2~D6 | 市场 HV20 > 中位,2025,243,0.4121385173433272,-0.0890765139366293
S ret20 D2~D6 | 市场 HV20 > 中位,2026,175,0.046680838937784186,-0.11491340068803313
S ret20 D2~D6 | 市场 HV20 < 中位,2015,244,0.28884211150337125,-0.031571465413547384
S ret20 D2~D6 | 市场 HV20 < 中位,2016,244,-0.051414621787228776,-0.09378808692493723
S ret20 D2~D6 | 市场 HV20 < 中位,2017,244,-0.2716697056256614,-0.2968215357428372
S ret20 D2~D6 | 市场 HV20 < 中位,2018,243,-0.3014028787056071,-0.31160017504261006
S ret20 D2~D6 | 市场 HV20 < 中位,2019,244,-0.0054736351346929,-0.16665667735297263
S ret20 D2~D6 | 市场 HV20 < 中位,2020,243,-0.048424461277195685,-0.16430881188651958
S ret20 D2~D6 | 市场 HV20 < 中位,2021,243,0.21309342258137876,-0.15414560364714414
S ret20 D2~D6 | 市场 HV20 < 中位,2022,242,-0.17165446636188053,-0.2213165546045287
S ret20 D2~D6 | 市场 HV20 < 中位,2023,242,0.09279720009921277,-0.12321994466704855
S ret20 D2~D6 | 市场 HV20 < 中位,2024,242,-0.18728070635778382,-0.2466953372083892
