group,n_sig,cagr,mdd,win,sharpe,exw,t_exw
剔除D1(用户规格),59380,-0.14488094830884635,-0.887538069720173,0.5034562211981567,-0.6342693378606999,-0.0010787919845121827,-6.402812147558385
保留全部,66012,-0.13771241633278253,-0.8768088822507967,0.5044145873320537,-0.5950759369186956,-0.001057762496122979,-6.327370748747461
仅D1,6632,-0.047838073799382874,-0.7587000857835131,0.5114300903774588,-0.09933142349835336,-0.0005966861775346661,-1.9778221599227983
仅D2-D3,14970,-0.14390298325739936,-0.8919891353136522,0.49672632038411174,-0.6177301204380227,-0.0009770846325642141,-4.747805097626377
剔除D1-D3,44410,-0.14631563800610103,-0.889806678174045,0.49692544196771715,-0.6354956994838332,-0.0010733316762054515,-6.111884507851599
