label,dim,grp,n,mean1,median1,win1,p10_1,p25_1,p50_1,p75_1,p90_1,mean5,median5,win5,p10_5,p25_5,p50_5,p75_5,p90_5,mean10,median10,win10,p10_10,p25_10,p50_10,p75_10,p90_10,mean20,median20,win20,p10_20,p25_20,p50_20,p75_20,p90_20,mean40,median40,win40,p10_40,p25_40,p50_40,p75_40,p90_40,mean60,median60,win60,p10_60,p25_60,p50_60,p75_60,p90_60,ex1,t1,exw1,ndays1,ex5,t5,exw5,ndays5,ex20,t20,exw20,ndays20,ex60,t60,exw60,ndays60
E1_MACD金叉,VR20,Q1(最低),36745,0.002224420435926257,0.0,0.4843380051707715,-0.02487044259905815,-0.011792471632361412,0.0,0.012476004660129547,0.030495055392384528,0.0075212393510473595,0.0,0.49843516124642806,-0.058033811300992964,-0.026425566524267197,0.0,0.030241915956139565,0.07252778261899945,0.012666689795387511,0.005263189319521189,0.5302490134712206,-0.08187230378389358,-0.03731340914964676,0.005263189319521189,0.05017304793000221,0.10951197147369385,0.026185963349617734,0.011135794222354889,0.5468771261396108,-0.12142859250307084,-0.05242721363902092,0.011135794222354889,0.08056271076202393,0.1746767222881317,0.03811937035199216,0.005905517842620611,0.5160702136345081,-0.1674514025449753,-0.08078818023204803,0.005905517842620611,0.10910659283399582,0.25974275469779967,0.0482146355972815,0.005096833221614361,0.512042454755749,-0.19795097112655638,-0.09941520541906357,0.005096833221614361,0.13389621675014496,0.32013650536537164,-4.051693875867009e-05,2.0542274336267488,0.0009049559067050746,2460,-3.0447539433577724e-05,2.730118249319206,0.0032918843406496354,2460,0.002087924857903825,2.5610111813102896,0.0054121825676763415,2460,0.003714898311648665,1.7259351978466384,0.005666594963712802,2460
E1_MACD金叉,VR20,Q2,53384,0.001687985066718093,0.0,0.48023752435186573,-0.024138613790273666,-0.011563681298866868,0.0,0.012217317940667272,0.028688497841358185,0.005610210643370442,0.0,0.4900531994605125,-0.05897929072380066,-0.027908412739634514,0.0,0.0291443457826972,0.07001803517341625,0.01006581123029738,0.003051102510653436,0.516147160197812,-0.08400252759456635,-0.039843544363975525,0.003051102510653436,0.04776583891361952,0.10563383772969245,0.022595728707199957,0.009302353486418724,0.535328937509366,-0.1213520012795925,-0.05589044466614723,0.009302353486418724,0.07845929451286793,0.17378642410039916,0.034091189020804546,0.005398844135925174,0.5144050651880714,-0.16529400199651717,-0.08185909874737263,0.005398844135925174,0.10740816220641136,0.2504785448312761,0.04740093204834575,0.004377975827082992,0.5098156751086468,-0.1925149828195572,-0.09734512306749821,0.004377975827082992,0.1329263262450695,0.31372308135032656,-1.6546245404230523e-05,-2.079890618882236,-0.0006076253700686134,2513,-0.0006581366597944528,-3.7648903934447238,-0.0026067317909991244,2513,0.0013835343904657676,-1.2882493245983841,-0.0016811152636103334,2513,0.00094260735898606,-1.324603896537934,-0.0032348848479319234,2513
E1_MACD金叉,VR20,Q3,66515,0.00126036406199447,0.0,0.47840336766142977,-0.026098227873444554,-0.012101767119020224,0.0,0.012354239355772734,0.029471280425786964,0.0045352798118889,0.0,0.4909268586033226,-0.06256531178951263,-0.02964327484369278,0.0,0.029899547807872295,0.07204535454511642,0.008942260491008656,0.0022975492756813765,0.510080432985041,-0.08798499703407288,-0.042248932644724846,0.0022975492756813765,0.04761906899511814,0.10732632279396048,0.018671943522430852,0.005300377029925585,0.5185446891678569,-0.12999911308288575,-0.062616515904665,0.005300377029925585,0.07617732137441635,0.17142861783504487,0.02908189787176644,0.0,0.49880478087649405,-0.17391304969787597,-0.0891723707318306,0.0,0.10359140112996101,0.24717321395874023,0.042782936087559356,-0.00027471029898151755,0.49710591595880627,-0.19838927388191221,-0.10223644971847534,-0.00027471029898151755,0.12829916924238205,0.313184493780136,-0.00010571257267893992,-2.4325183676199966,-0.0007269632523814257,2614,-0.0004625066285041317,-5.29982908870537,-0.002919932599206245,2614,0.0014067285803185095,-3.8673481008691852,-0.004069015107004981,2614,0.0012367598313524875,-4.678965890937737,-0.008019083912556528,2614
E1_MACD金叉,VR20,Q4,87380,0.0008417492018223309,-0.0006449271459132433,0.4691233691920348,-0.029342160560190678,-0.013793062651529908,-0.0006449271459132433,0.012923641130328178,0.03163723796606066,0.003184882574362372,-0.0014689700328744948,0.48151750972762647,-0.06882288381457329,-0.0331041170284152,-0.0014689700328744948,0.03082007635384798,0.07490761280059821,0.007027566880710987,0.0,0.4954795147631037,-0.09594928845763206,-0.047374872490763664,0.0,0.04798538517206907,0.11232353448867803,0.013489617609648591,-0.0007029904809314758,0.4946669718471046,-0.13994185328483583,-0.07086607813835144,-0.0007029904809314758,0.07399146445095539,0.17571333795785912,0.02216269450888369,-0.006929741706699133,0.47872510872053103,-0.18642212748527526,-0.09934174828231335,-0.006929741706699133,0.10145126469433308,0.24999995678663253,0.03481205075443159,-0.008447892963886261,0.4781528953994049,-0.21250137984752657,-0.11398959904909134,-0.008447892963886261,0.12341012619435787,0.310017850995064,-0.00016084138262176226,-4.573547870819489,-0.001231666584753777,2713,-0.0004848447176244191,-6.169738707729527,-0.003360356908503285,2713,0.00033015496807946813,-6.130200158404598,-0.006271225646607035,2713,-2.6454789621315604e-05,-7.70487096210636,-0.01134570229536909,2713
E1_MACD金叉,VR20,Q5(最高),149745,-4.48387736412977e-05,-0.0021344784181565046,0.4519082440148252,-0.03793104588985443,-0.01847224496304989,-0.0021344784181565046,0.014652024023234844,0.038571441918611525,-0.000505400321681934,-0.005446189548820257,0.4532238138168219,-0.0831545129418373,-0.042253460735082626,-0.005446189548820257,0.031231505796313286,0.08125762194395066,0.0010638960924996745,-0.007021131459623575,0.4581922601756319,-0.1133304938673973,-0.05982900410890579,-0.007021131459623575,0.046038560569286346,0.1165023043751717,0.003918718660706117,-0.01337792631238699,0.4499248722828809,-0.15853369534015654,-0.08705522865056992,-0.01337792631238699,0.06708358973264694,0.17493920624256137,0.009369219984326873,-0.023529399186372757,0.43651540952953355,-0.20670797526836396,-0.11882998794317245,-0.023529399186372757,0.09073903411626816,0.24529931247234346,0.020065101115221546,-0.026526011526584625,0.43764399479114496,-0.23039641082286835,-0.1347637176513672,-0.026526011526584625,0.11003861576318741,0.3012477159500122,-0.0006020485584762886,-3.6519768296079786,-0.0009216689908492319,2781,-0.0025984490032306407,-12.60997781643478,-0.005755780030146615,2781,-0.005506750629822011,-12.39447852302936,-0.010713184654549858,2781,-0.007030247276663735,-10.864035534235436,-0.014614184654304146,2781
E1_MACD金叉,RVOL20,Q1(最低),36404,0.0021909119026927533,0.0,0.48615536754202837,-0.02521258220076561,-0.011842241510748863,0.0,0.012808957137167454,0.030822531878948217,0.007486932577937369,0.0,0.4991484452257994,-0.0596190046519041,-0.027067643590271473,0.0,0.030807376839220524,0.07391906827688217,0.012681192261243339,0.005225355504080653,0.5297220085704868,-0.08387382626533509,-0.03828068822622299,0.005225355504080653,0.05076656583696604,0.11095648035407067,0.02610832128872685,0.01119405822828412,0.545929018789144,-0.12253926545381545,-0.05374847445636988,0.01119405822828412,0.08156434632837772,0.17691818177700044,0.037438323568755254,0.006253553321585059,0.5169761564663223,-0.16896581202745437,-0.08184023387730122,0.006253553321585059,0.11023269966244698,0.25996819138526917,0.04796988053410699,0.00522127072326839,0.5125535655422481,-0.19704474955797194,-0.09989029355347157,0.00522127072326839,0.13511277362704277,0.3194357663393021,-4.522640991587929e-05,1.783089651461463,0.0007803834464851899,2468,3.9512141486483856e-05,2.869359554320187,0.0034784929698607335,2468,0.0019730530658773134,2.42237817028508,0.00526830975256966,2468,0.0026467646695689678,0.7716186152973938,0.002507494449866766,2468
E1_MACD金叉,RVOL20,Q2,54384,0.001693180000834433,0.0,0.48047219770520744,-0.02424727287143469,-0.011516366386786103,0.0,0.012134355725720525,0.02870820965617895,0.005486250276345233,0.0,0.4921300382465431,-0.05925927273929119,-0.02777776913717389,0.0,0.029355055186897516,0.07047738954424869,0.009946261765269072,0.0032714788103476167,0.5165305972344807,-0.0835907943546772,-0.039628831669688225,0.0032714788103476167,0.04780879523605108,0.10562735572457323,0.022068411208288476,0.00926539022475481,0.5360032362459547,-0.12276869639754295,-0.056412070989608765,0.00926539022475481,0.07812496833503246,0.17132450342178351,0.03424989889023714,0.005824220599606633,0.5156479847013827,-0.16486796587705613,-0.08192970603704453,0.005824220599606633,0.1070675253868103,0.24986045211553634,0.04759638512549268,0.004903651308268309,0.5112716975581053,-0.19358474612236024,-0.09689810127019882,0.004903651308268309,0.13255197554826736,0.3153280019760133,1.5226271306011722e-05,-2.5845962656598327,-0.0008050456604273861,2523,-0.00043436339700591876,-3.240645588722625,-0.0020281392088826876,2523,0.001321953585519906,-1.1239795996260764,-0.0014157258530702126,2523,0.0016120046229611074,-1.1421227240991156,-0.0025077782376774736,2523
E1_MACD金叉,RVOL20,Q3,68213,0.0012959031579603342,0.0,0.4787650447861845,-0.025880154594779013,-0.01212119311094284,0.0,0.012328805401921272,0.029384293779730796,0.0044729962048768975,0.0,0.49078621377156845,-0.06224628537893295,-0.029508231207728386,0.0,0.029683364555239677,0.0716168060898781,0.008689023971311032,0.0025597726926207542,0.5120871388151819,-0.08852926939725875,-0.04233483970165253,0.0025597726926207542,0.04789645969867706,0.10774981081485752,0.018214414877867194,0.004964871797710657,0.5175992845938457,-0.12990872263908385,-0.06233769655227661,0.004964871797710657,0.07594043016433716,0.17203936278820042,0.028205551630470452,0.0,0.49742717663788427,-0.1749106794595718,-0.08993283659219742,0.0,0.10332102328538895,0.2466937452554704,0.04109685162119006,-0.0018848306499421597,0.49467110374855233,-0.19967491626739503,-0.10355555266141891,-0.0018848306499421597,0.1276881992816925,0.31033254861831683,-0.00010375999809325642,-1.5441199864296222,-0.00044499972766818126,2624,-0.0006803074182467695,-5.926460850529993,-0.0033829871483419404,2624,0.000997671295130779,-5.141738432530941,-0.005362918302297536,2624,0.0006817207098082094,-5.667259327856816,-0.009707205737770938,2624
E1_MACD金叉,RVOL20,Q4,91539,0.0008699718041806722,-0.0006315726204775274,0.4691879963731306,-0.02930101603269577,-0.013816927094012499,-0.0006315726204775274,0.012916128151118755,0.03184710144996643,0.003333949216193804,-0.001420462504029274,0.4819366608767848,-0.06898744106292724,-0.03308976627886295,-0.001420462504029274,0.030861997045576572,0.07514233887195586,0.007201030206061975,0.0,0.4947727198243372,-0.09612931609153748,-0.04756779782474041,0.0,0.047890810295939445,0.11198487877845763,0.014141048692815308,-0.0007066621910780668,0.4944777635761806,-0.14050198495388028,-0.07139954343438148,-0.0007066621910780668,0.07456976175308228,0.17647060751914978,0.022330009580496545,-0.0073855165392160416,0.47744677132151325,-0.18693442046642303,-0.09976931661367416,-0.0073855165392160416,0.1015847846865654,0.2507551074028015,0.03512930505046525,-0.008638216182589531,0.4774576956270005,-0.21364071071147916,-0.11403093859553337,-0.008638216182589531,0.12311947345733643,0.3104790508747098,-0.00015305169278696828,-4.437783342021744,-0.001193878502359475,2708,-0.0005769356282137756,-7.910715705068712,-0.003960313080175816,2708,0.000546171074057383,-6.6737970464610585,-0.006799763368771107,2708,8.09511886969449e-05,-7.480875531635321,-0.011131856280367414,2708
E1_MACD金叉,RVOL20,Q5(最高),143229,-0.0001211706202527375,-0.0022744741290807724,0.45020910569786843,-0.03823888674378395,-0.01872473768889904,-0.0022744741290807724,0.014717941172420979,0.03883972167968749,-0.0007057227671434388,-0.0058092051185667515,0.45063499710254207,-0.0833984762430191,-0.042635660618543625,-0.0058092051185667515,0.031111011281609535,0.08108102679252624,0.0008135505736170585,-0.007532989140599966,0.4557456939586257,-0.11370029747486114,-0.060077037662267685,-0.007532989140599966,0.045669324696063995,0.11650486439466476,0.0034100363673413756,-0.013906480744481087,0.4480028485851329,-0.15875123739242553,-0.08733013272285461,-0.013906480744481087,0.06636771559715271,0.174444979429245,0.009083143463603277,-0.02419644221663475,0.4349677788715972,-0.20656858384609222,-0.11908123642206192,-0.02419644221663475,0.09007637202739716,0.24509366452693937,0.01983196393535451,-0.027152325958013535,0.4363571623065161,-0.22960816919803617,-0.1350548416376114,-0.027152325958013535,0.10962236672639847,0.3013021826744079,-0.0006402705912194792,-3.5827853396025255,-0.0009081400786029279,2776,-0.002632741474957422,-11.672273950206327,-0.0052425414222596846,2776,-0.0056788899959905725,-12.565863403327269,-0.01040189666715433,2776,-0.007148701130018722,-10.893863652313334,-0.014321497913251664,2776
E1_MACD金叉,RVOL10,Q1(最低),29229,0.0024473835537816195,0.0,0.4874610831708235,-0.025896468758583067,-0.012090835720300674,0.0,0.013431034982204437,0.0329845890402794,0.007029369728617228,0.0,0.4950220671251155,-0.06153844371438026,-0.028368769213557243,0.0,0.031317468732595444,0.07623657435178757,0.011728592029353679,0.0038023064844310284,0.5203736015600944,-0.08602149188518524,-0.03999999910593033,0.0038023064844310284,0.05098608508706093,0.11258608102798463,0.026009221640649477,0.011258954182267189,0.5453830100242909,-0.12527877688407896,-0.055000029504299164,0.011258954182267189,0.0833069309592247,0.18028061389923097,0.03818886733484469,0.006749167572706938,0.5186629717061823,-0.17130939066410064,-0.08202064782381058,0.006749167572706938,0.11199052631855011,0.26239626407623307,0.0489519366200959,0.006756696384400129,0.5154469875808273,-0.19919923841953277,-0.09841267019510269,0.006756696384400129,0.13803677260875702,0.3230087578296662,0.00027686478400035697,2.8674086985326595,0.0013903684090538135,2440,-7.162336934772377e-06,2.772902281901283,0.003413954583039491,2440,0.0018738865203324058,2.222471437268424,0.0054643368437374325,2440,0.0034375547439764427,1.4471125162344576,0.005841035637136311,2440
E1_MACD金叉,RVOL10,Q2,47240,0.0017897651745181838,0.0,0.4842718035563082,-0.024080063775181768,-0.01139598898589611,0.0,0.012437809025868773,0.028828228078782558,0.005724766336548424,0.0,0.49563928873835733,-0.05954415202140808,-0.02751936437562108,0.0,0.02987726265564561,0.07113063111901283,0.01067700385750453,0.004277005326002836,0.523454699407282,-0.08347673565149306,-0.03899044170975685,0.004277005326002836,0.04888263810425997,0.10744499787688254,0.023863402339434823,0.009992166887968779,0.5393310753598646,-0.12140672728419304,-0.05511449184268713,0.009992166887968779,0.0803532600402832,0.17456538230180738,0.03394915874963374,0.005398033419623971,0.5141617273497037,-0.1660590648651123,-0.08203867450356483,0.005398033419623971,0.1066215094178915,0.2535091936588287,0.04820635759753427,0.004819316323846579,0.5112616426756985,-0.19199475795030593,-0.09725706838071346,0.004819316323846579,0.13202108815312386,0.3148506879806518,8.274849736312968e-06,-1.704808717248125,-0.0004693069091128087,2475,-0.0005420988064911549,-2.1872300596422183,-0.0013282784786634594,2475,0.002011298060706649,-0.6635987608466271,-0.0008011573916136159,2475,0.001978147573698554,-1.896124374349794,-0.0038856111753948737,2475
E1_MACD金叉,RVOL10,Q3,63319,0.0015052259896887624,0.0,0.4805982406544639,-0.025391893088817594,-0.01183321326971054,0.0,0.0123552312143147,0.029017444327473642,0.005355084033349965,0.0,0.4959490832135694,-0.06153842285275459,-0.02869410067796707,0.0,0.03026172611862421,0.07159861326217654,0.009114425566562204,0.00302109238691628,0.5149323267897472,-0.0876671850681305,-0.0412015113979578,0.00302109238691628,0.048102159053087234,0.1073806643486023,0.01953515976139061,0.006578981876373291,0.524423948577836,-0.12885591387748718,-0.06010925956070423,0.006578981876373291,0.07665210589766502,0.17343175113201142,0.03004217276857914,0.00196462357416749,0.5044931221276394,-0.1729171723127365,-0.08707511052489281,0.00196462357416749,0.10484983399510384,0.24806193709373475,0.04466358536515299,0.0026809636037796736,0.5061513921571724,-0.1977113127708435,-0.0997757539153099,0.0026809636037796736,0.13072846829891205,0.313264536857605,-3.711076760656905e-05,-2.8862398838110894,-0.0008360959203507494,2606,-0.00014008101552416078,-2.6342731031278466,-0.0016247881220439748,2606,0.0011668167899617882,-2.8114508374187106,-0.003314484341390266,2606,0.0017945416573399897,-2.11077336679906,-0.004204982793417285,2606
E1_MACD金叉,RVOL10,Q4,88777,0.0010423932421140313,0.0,0.4741318134201426,-0.028441374003887177,-0.01336575672030449,0.0,0.012773663736879826,0.03149093165993698,0.0037163337019090505,-0.000877999933436513,0.4855987474233191,-0.06703022271394729,-0.03173314407467842,-0.000877999933436513,0.030595773831009865,0.07417590022087109,0.007790913926553055,0.0006083105108700693,0.5010419365376167,-0.09359820336103439,-0.0456383116543293,0.0006083105108700693,0.04806559160351753,0.11037636250257495,0.01483988349357878,0.0007945459219627082,0.5012446917557476,-0.13673463463783264,-0.06878645718097687,0.0007945459219627082,0.07450792193412781,0.17328410744667067,0.023945747197663278,-0.004761912859976292,0.48428083850546877,-0.18216416537761687,-0.09615384042263031,-0.004761912859976292,0.1015624925494194,0.24684922397136694,0.03689501138314782,-0.006651903502643108,0.4819829460333194,-0.20787211060523986,-0.11063829809427261,-0.006651903502643108,0.12513257563114166,0.3101439714431766,-9.344327757976499e-05,-3.571009732790438,-0.0009676985740490117,2706,-0.0004477755792246348,-7.515769434339901,-0.0038108004496779754,2706,0.000498822076654828,-6.381668738764972,-0.00620102126736955,2706,-7.90123321324128e-05,-7.744316677879224,-0.011683491717331605,2706
E1_MACD金叉,RVOL10,Q5(最高),165966,-0.0001641238940617583,-0.0022447799565270543,0.4489112227805695,-0.037178657948970795,-0.01809956692159176,-0.0022447799565270543,0.014146022032946348,0.03747429884970188,-0.0005714269257485661,-0.005603574449196458,0.451170721714086,-0.08180300891399384,-0.0417878245934844,-0.005603574449196458,0.030510962940752506,0.07983015850186348,0.0014096037341628077,-0.006794193293899298,0.4583830423098707,-0.1115124337375164,-0.05885831639170647,-0.006794193293899298,0.04553225263953209,0.11565281078219414,0.004528731543084883,-0.012647560331970453,0.45164069749225744,-0.156708762049675,-0.08579934202134609,-0.012647560331970453,0.06666668318212032,0.17408151924610138,0.011157216915139524,-0.02246352005749941,0.43919839003169325,-0.20430106669664383,-0.11704862490296364,-0.02246352005749941,0.09168852865695953,0.24691042304039001,0.022045650974245972,-0.025423738174140453,0.4403492281551643,-0.2286585345864296,-0.1332876831293106,-0.025423738174140453,0.11143694445490837,0.3050847500562668,-0.0006783240884172705,-3.842096685810523,-0.0009486580475070659,2793,-0.002569628205860439,-13.101748352070091,-0.005784528091096814,2793,-0.004924391487440399,-12.570592713266391,-0.010244716289891351,2793,-0.006576747007225922,-11.754572067220343,-0.01481480115835875,2793
E1_MACD金叉,RVOL60,Q1(最低),55019,0.001505655525657224,0.0,0.4789618131918065,-0.024239300563931466,-0.011690163053572178,0.0,0.011904745362699032,0.02805346436798574,0.004743933073014998,-0.00018320440722163767,0.48615932677802215,-0.059834554791450494,-0.028395773842930794,-0.00018320440722163767,0.02792335208505392,0.06766918003559112,0.008916405337496288,0.0023529340978711843,0.51149602864465,-0.08474828749895096,-0.040772926062345505,0.0023529340978711843,0.046556346118450165,0.10434780269861221,0.02020431090664272,0.007082164753228426,0.5274723277413257,-0.1235209584236145,-0.057142842561006546,0.007082164753228426,0.07390304654836655,0.16578395962715148,0.030994374166773853,0.002525219228118658,0.5061342445337066,-0.16483514606952668,-0.08227415010333061,0.002525219228118658,0.1008438840508461,0.2374820947647097,0.03946879666434363,0.0003989666292909533,0.5002817208600665,-0.19475653767585754,-0.09981055185198784,0.0003989666292909533,0.12475604936480522,0.2928765952587129,-0.00020135371791314626,0.5147010399132924,0.00019195362324464513,2535,-0.0005099960667486862,0.5139074595584838,0.0004571502769985501,2535,0.001907974074832688,0.6654893539607798,0.0010568081959582624,2535,0.001012697184335374,-0.9370989671381965,-0.002459964208272476,2535
E1_MACD金叉,RVOL60,Q2,59332,0.001503757898100177,0.0,0.4807692307692308,-0.024366424791514872,-0.011566087370738387,0.0,0.01197604346089065,0.028315337374806415,0.004519379915510837,0.0,0.48916267781298456,-0.05997684299945831,-0.028301872313022614,0.0,0.028596181422472,0.06863430291414262,0.00887391048036404,0.0026809825794771314,0.5137531180475966,-0.08404855877161024,-0.04000002611428499,0.0026809825794771314,0.04692780878394842,0.10381007343530656,0.01913564192213818,0.006669455440714955,0.5258545135845749,-0.12467497885227204,-0.058141945861279964,0.006669455440714955,0.07600192353129387,0.16851848363876343,0.028389140623602236,0.0029917986830696464,0.5074833142317805,-0.16766377836465834,-0.08465608023107052,0.0029917986830696464,0.1028344426304102,0.23921522945165638,0.03959974794973657,0.001834206806961447,0.5032023191532394,-0.19255563169717788,-0.09750571846961975,0.001834206806961447,0.12487241066992283,0.29760178029537204,2.0463197894463895e-05,-1.7541133274222727,-0.0004644174889398921,2533,-0.0007617720863169876,-4.50918284009551,-0.0026174001755869866,2533,0.0014709114698642826,-3.977419260726954,-0.004032389426518239,2533,0.0028366398073403102,-3.595160126277199,-0.006322537670170963,2533
E1_MACD金叉,RVOL60,Q3,67454,0.0010475125558069374,0.0,0.47494588905031576,-0.026745078898966313,-0.01249993871897459,0.0,0.01220151619054377,0.029714303463697446,0.0038005228299873954,-0.00030553324904758483,0.4870430219112284,-0.06357159242033958,-0.03012723894789815,-0.00030553324904758483,0.02964920923113823,0.07191835492849355,0.0073677047483148,0.0012501179589889944,0.503839653689922,-0.0898388922214508,-0.043695409782230854,0.0012501179589889944,0.046109260991215706,0.107031298428774,0.015525436379864982,0.002440190641209483,0.5073383342722448,-0.1323092833161354,-0.06551929377019405,0.002440190641209483,0.07417135313153267,0.16979923397302646,0.02417279357733972,-0.0029392638243734837,0.48920745989859754,-0.17708017826080322,-0.0922752395272255,-0.0029392638243734837,0.10026179999113083,0.2391955807805063,0.034915774984806545,-0.003291230765171349,0.49031932872772555,-0.20332403182983397,-0.10648775845766068,-0.003291230765171349,0.12339424900710583,0.29614237844944,-0.00017397381588059413,-3.185338618122304,-0.0008616418008276195,2625,-0.0005320640842335233,-5.91957606426031,-0.0034197588432894345,2625,0.0010205009233248304,-5.4849811389301975,-0.006057896825183252,2625,0.0029242156035629687,-4.112563848070291,-0.00690972109490827,2625
E1_MACD金叉,RVOL60,Q4,85795,0.0008535914551409255,-0.0008319743210449815,0.46752141733201236,-0.030251486971974374,-0.014263231307268143,-0.0008319743210449815,0.013270834926515818,0.03277285844087604,0.0030396891917255455,-0.001879692543298006,0.47915379684130777,-0.06974641084671021,-0.033660927787423134,-0.001879692543298006,0.030928947031497955,0.07603731453418736,0.0066214931851322194,-0.0006393950316123664,0.4916020747129786,-0.09737374782562255,-0.048245636746287346,-0.0006393950316123664,0.04797980189323425,0.11245895028114321,0.012180434379289194,-0.002046091016381979,0.48960895157060436,-0.14164021015167236,-0.07265866547822952,-0.002046091016381979,0.07324214279651642,0.17351024150848396,0.018472065397453295,-0.00984011497348547,0.4706101754181479,-0.19071581363677978,-0.10216869786381721,-0.00984011497348547,0.09819156676530838,0.24400594234466572,0.029073484144968402,-0.01157897338271141,0.4713444839442858,-0.21489955186843873,-0.11704341694712639,-0.01157897338271141,0.11853956431150436,0.2984116375446323,-0.00011623388809032953,-3.9044874081378,-0.0009785870860049247,2689,-0.0007186967660641677,-6.918871418454114,-0.0033062613577421757,2689,0.00020887568478930186,-5.2980208093838055,-0.00502710005880081,2689,0.0009833712415356494,-5.287767739537283,-0.00770300513353668,2689
