entry,exit,n,mean,median,win,p10,p25,p50,p75,p90,ex,exw,t,hold_mean
EN1_MACD金叉,XA_固定持有5日,404188,0.0025204561243553146,-0.0021882788061566294,0.47501905054083743,-0.07144855769671281,-0.03461588486976022,-0.0021882788061566294,0.030664380883085818,0.07598036354666322,-0.001085394382428965,-0.004725460430366816,-12.968605695789877,5.0
EN1_MACD金叉,XA_固定持有10日,403464,0.00616378611265404,-0.000617289010243327,0.4916869906608768,-0.09844560910602781,-0.048758289339873806,-0.000617289010243327,0.048065981498248755,0.11242508074015121,-0.0004840281911945801,-0.005892899954743169,-11.412155615361208,10.0
EN1_MACD金叉,XA_固定持有20日,401333,0.013299466622695993,-0.0006838315664653427,0.4945618725596948,-0.14161222338638843,-0.07158349547692555,-0.0006838315664653427,0.07382551248393265,0.17372962608597686,-0.0009282559620237579,-0.008030367690953279,-12.123188030020533,20.0
EN1_MACD金叉,XA_固定持有30日,400889,0.01835490293392671,-0.0031069337061099267,0.48839703758396963,-0.1685406152799427,-0.08730154563222559,-0.0031069337061099267,0.09100757324999154,0.21489341310284768,-0.0010620721667946003,-0.00901559620322305,-11.336323428154968,30.0
EN1_MACD金叉,XA_固定持有40日,398030,0.022456789306060192,-0.007203713049925509,0.47798658392583476,-0.18685151962675767,-0.09985804966895961,-0.007203713049925509,0.10031409523320334,0.24822693551591885,-0.0008717407814677406,-0.009435207594966154,-11.946137878973895,40.0
EN1_MACD金叉,XA_固定持有60日,393768,0.0354008761703726,-0.008748753746301685,0.47725310335019605,-0.21236994269280443,-0.11538459501613879,-0.008748753746301685,0.12410103569267028,0.3115474299446126,-0.0019787438410483783,-0.011738542950138188,-11.68204074468582,60.0
EN1_MACD金叉,XB_跌破MA20,404083,0.0037814111900672668,-0.011982475140173476,0.32230507098789113,-0.06538627615174218,-0.03464204426777745,-0.011982475140173476,0.0076533887188559024,0.06348576112893246,-0.010260394005427513,-0.012574643572323862,-10.135295267017996,7.671381869566401
EN1_MACD金叉,XC_跌破MA60,403491,0.0016638052260557925,-0.009536527512147175,0.35797328812786405,-0.09172549206657188,-0.04070909017007124,-0.009536527512147175,0.009652498754416317,0.04775344786748237,-0.012409870807438834,-0.014600618783362374,-10.223963705674262,11.55416849446456
EN1_MACD金叉,XD_ATR2倍止损,397130,0.01634665392927792,-0.061920290511739084,0.3115025306574673,-0.13294795042567986,-0.09676766710449014,-0.061920290511739084,0.05809426399557305,0.2598424899120804,0.002544483025984428,-0.008476897152340589,-4.421705179144481,33.91441089819455
EN1_MACD金叉,XD_ATR3倍止损,395334,0.018942417135003067,-0.06554415867838886,0.38006344002792575,-0.16856914121803898,-0.12207792467453632,-0.06554415867838886,0.09387751801906746,0.28772529344488973,0.004897966851842611,-0.00876100471450449,-4.052293293801153,41.72964885388052
EN1_MACD金叉,XE_固定止损-5%,399273,0.013213084733622977,-0.0562654170322735,0.2539365296426255,-0.09150745716707205,-0.0703625036857094,-0.0562654170322735,0.005522055491119948,0.2155477231696603,-0.0005484168702008511,-0.008207014502006706,-4.939072362410234,27.8864035384311
EN1_MACD金叉,XE_固定止损-8%,397477,0.015939170481759964,-0.08201059197909066,0.3299310400350209,-0.11887242808906465,-0.09747293050203598,-0.08201059197909066,0.0646766741580711,0.2584924244557115,0.0020734027234929554,-0.007541426535705673,-4.037470393885426,35.90024580038593
EN1_MACD金叉,XE_固定止损-10%,396519,0.017601656859891353,-0.09521989745303394,0.3684817120995463,-0.13604269033363472,-0.11481277527736106,-0.09521989745303394,0.08368998164724306,0.27466149644994803,0.0036347889486820274,-0.007357785609215087,-3.70959240280513,40.22313937037065
EN1_MACD金叉,XE_固定止损-15%,395127,0.021558500045471326,-0.0349434618425194,0.4289911851126347,-0.17710944001222065,-0.156608281036205,-0.0349434618425194,0.10771995892445962,0.2961709218768504,0.007431314651049031,-0.006696691697473329,-3.0125016694347417,48.24216517727212
EN1_MACD金叉,XF_移动止盈8%,401740,0.008999447632746304,-0.036697250486372235,0.3701921640862249,-0.1011320573965118,-0.07964601001450672,-0.036697250486372235,0.05121500741710777,0.17442535653094451,-0.005012391204160397,-0.00889794202550838,-7.451467778902269,20.934328172449842
EN1_MACD金叉,XF_移动止盈12%,398904,0.01390483544489932,-0.04127581792589219,0.39216453081443153,-0.1358306047093415,-0.1099733766872121,-0.04127581792589219,0.07507510406194123,0.22847681296917516,-0.0001907088703078304,-0.00550072972685662,-3.898808727458965,32.00428423881435
EN1_MACD金叉,XG_MACD死叉,403578,0.010563518902706018,-0.021239730450186456,0.3499868674704766,-0.08510643478538471,-0.051191513738758604,-0.021239730450186456,0.032719823066646225,0.13384880195499194,-0.0033836680951121255,-0.008467292832197146,-7.763789262745825,13.377426420667133
EN1_MACD金叉,XH_hist连3日降,404006,0.005696798925637541,-0.012023581101367697,0.4161893635243041,-0.07997355453854305,-0.04556167534670358,-0.012023581101367697,0.035714251429486144,0.10509383725685628,-0.008366949942578469,-0.01131195995917861,-9.240823179716434,8.697321326910986
EN2_0轴下金叉,XA_固定持有5日,260955,0.004027535079821108,-0.00022830123030215255,0.48732156885286737,-0.06354732283217757,-0.0303387328893423,-0.00022830123030215255,0.03018722021349496,0.07181563501056176,-0.0005620528429782777,-0.004214440602796163,-9.011822935968775,5.0
EN2_0轴下金叉,XA_固定持有10日,260607,0.008481708504372007,0.0021738662968868727,0.5098366505888177,-0.08791210518670955,-0.04236026327706138,0.0021738662968868727,0.04805196797939226,0.10720346088667644,0.0005890886753192686,-0.005040930434132802,-7.9465734050833925,10.0
EN2_0轴下金叉,XA_固定持有20日,259592,0.020590750622699654,0.0067857781433393605,0.5254476255046381,-0.12492305990570089,-0.05898509893000212,0.0067857781433393605,0.07752031893244493,0.17216124915343148,0.0016257908514877154,-0.006083500089927247,-7.187228514822391,20.0
EN2_0轴下金叉,XA_固定持有30日,259444,0.028243940775743714,0.007782109495107381,0.5240205978939578,-0.14949499482113576,-0.07142854811740243,0.007782109495107381,0.09689918422502108,0.2147587872713945,0.0023582610302942536,-0.005820469471263496,-5.407761494862067,30.0
EN2_0轴下金叉,XA_固定持有40日,256788,0.033857298723361684,0.0045454791426332575,0.5117567799118339,-0.16586312539613815,-0.08234915444606339,0.0045454791426332575,0.10677968468836369,0.24999996541118488,0.0028313804103993526,-0.005139124705494296,-4.585586874181617,40.0
EN2_0轴下金叉,XA_固定持有60日,252825,0.048411642851318826,0.003663000144099149,0.5080549787402353,-0.19259261254982676,-0.09803918245800214,0.003663000144099149,0.13523133288042133,0.31979695448859247,0.0013085608655082513,-0.009210266913213456,-6.419327800522197,60.0
EN2_0轴下金叉,XB_跌破MA20,261004,0.006146670923732319,-0.007263888212359737,0.35276470858684156,-0.043840805326713514,-0.023170861157968015,-0.007263888212359737,0.008050096313265587,0.04431586721564137,-0.012704537875606676,-0.010484036234459032,-7.7688379915944985,5.868572895434553
EN2_0轴下金叉,XC_跌破MA60,261177,0.004213629837577725,-0.0034188173491443985,0.4163421740811787,-0.03728123779273962,-0.01805870374015195,-0.0034188173491443985,0.010416649256371535,0.030302988003778043,-0.014678755181900885,-0.009812823773698647,-6.353553638072927,4.2423911753332035
EN2_0轴下金叉,XD_ATR2倍止损,255127,0.026551447633382297,-0.05555559527876608,0.34015607912921797,-0.12139735369336982,-0.08905760191452838,-0.05555559527876608,0.07668027857047743,0.27215527488308455,0.007929231467279804,-0.0019293540620191672,-0.9465844985692143,35.56296667934009
EN2_0轴下金叉,XD_ATR3倍止损,253901,0.03126730055955298,-0.05253939086101267,0.4094981902395028,-0.15335563612537972,-0.11154276012485598,-0.05253939086101267,0.10759492397271764,0.2982617611741736,0.012371426347264252,-0.0014106499292828073,-0.622441631602015,42.95400569513314
EN2_0轴下金叉,XE_固定止损-5%,256911,0.02105233443739106,-0.05491332054698195,0.2835690180646216,-0.0880235328411505,-0.06826392739740872,-0.05491332054698195,0.03559875015778957,0.23395421272647643,0.0025049369358145315,-0.0033540169984271947,-1.8596601069288778,30.139351759948
EN2_0轴下金叉,XE_固定止损-8%,255595,0.02568230404321851,-0.07972443370514748,0.36400946810383616,-0.11561725397650569,-0.09543569073628588,-0.07972443370514748,0.08414934750341174,0.2739289352956693,0.007001080947110197,-0.002607016583298218,-1.2994533737294525,38.23824409710675
EN2_0轴下金叉,XE_固定止损-10%,254902,0.028193468602220766,-0.06772906480514557,0.4032883225710273,-0.13249877989821998,-0.11259581640213223,-0.06772906480514557,0.10036773128533999,0.28832896705849487,0.009403253085908902,-0.002269113184281144,-1.06827239925856,42.44916477705157
EN2_0轴下金叉,XE_固定止损-15%,253819,0.0332829921957327,-0.016706870354149306,0.4623176357955866,-0.17377048513960425,-0.15372458293494307,-0.016706870354149306,0.1212967001536509,0.3068504040375022,0.014302859459359012,-0.0016226598896619778,-0.6868936526331678,49.94842387685713
EN2_0轴下金叉,XF_移动止盈8%,259323,0.013616334025557507,-0.03179740089610983,0.38799489439810586,-0.09873420774467376,-0.07806944503869617,-0.03179740089610983,0.05808617826565454,0.18110903085620444,-0.005212578599552153,-0.006911476091585862,-5.304679140064126,23.070144183122977
EN2_0轴下金叉,XF_移动止盈12%,257119,0.0198820893591159,-0.03266005002611427,0.413625597485989,-0.1337209390974997,-0.10726750748944264,-0.03266005002611427,0.0845098362187876,0.23616554121629624,0.0009653043272697353,-0.0029306261973102367,-1.8039373745203264,34.57376934415582
EN2_0轴下金叉,XG_MACD死叉,260417,0.01591293152786825,-0.020134284254065826,0.3816993514248302,-0.08695658017050412,-0.05249995575196287,-0.020134284254065826,0.046035821689492495,0.15008101065982307,-0.0028031997051991987,-0.005715327226870622,-4.903134559096341,16.16419434983123
EN2_0轴下金叉,XH_hist连3日降,260822,0.009096618621072566,-0.008237247832981298,0.4441841562444886,-0.07560965908735609,-0.042746098385917086,-0.008237247832981298,0.04096592527237958,0.10837435793435628,-0.009736643023662705,-0.009591374584333727,-7.88510889330455,9.503745849659921
EN3_0轴上金叉,XA_固定持有5日,143233,-0.00022527836995518626,-0.0056065954465338574,0.45260519573003427,-0.08498137884136334,-0.04329459514488332,-0.0056065954465338574,0.03170734661243069,0.08490565737260755,-0.002038865938755748,-0.006654229189751588,-11.245950515401434,5.0
EN3_0轴上金叉,XA_固定持有10日,142857,0.0019353142790130963,-0.007352871260094318,0.4585774585774586,-0.11666666905123033,-0.061395356548279545,-0.007352871260094318,0.04808999114301615,0.12359549168335274,-0.0024416625194499304,-0.009715148508070407,-13.027577558820921,10.0
EN3_0轴上金叉,XA_固定持有20日,141741,-5.4178378601795675e-05,-0.017730484083509968,0.4379960632421106,-0.1683417212466234,-0.09435137216418099,-0.017730484083509968,0.06578948719441868,0.17741941937006822,-0.0056058730270442565,-0.015192985444823373,-15.24614466460727,20.0
EN3_0轴上金叉,XA_固定持有30日,141445,0.00021603953237578507,-0.026763976331855233,0.42305489766340276,-0.1977148879541274,-0.11428569612048922,-0.026763976331855233,0.07697458580017691,0.21516489947063977,-0.0073357822730940134,-0.018856986085021964,-15.880973711246513,30.0
EN3_0轴上金叉,XA_固定持有40日,141242,0.0017298524724694972,-0.032881711854631346,0.41658996615737526,-0.21917809545343428,-0.12941764529712638,-0.032881711854631346,0.08603280746919606,0.24496681719016894,-0.0076042784446073665,-0.02059068440926455,-15.886592195187,40.0
EN3_0轴上金叉,XA_固定持有60日,140943,0.01206202935917779,-0.034565006849877955,0.4220003831336072,-0.24246312132110318,-0.14423430521313818,-0.034565006849877955,0.10226726101081007,0.29434794107324647,-0.007875544763656666,-0.022725803355508195,-14.68138932351135,60.0
EN3_0轴上金叉,XB_跌破MA20,143079,-0.0005332838492153199,-0.0283842402033585,0.2667407516127454,-0.0924092049971035,-0.05713287232047848,-0.0283842402033585,0.005040803428900675,0.104782496042211,-0.005784028029786232,-0.01664908310945295,-12.742253597390528,10.960057031430189
