H,n_valid_day,n_tail_missing,cagr_wrong_compound,cagr_daily_equiv,cagr_chain,cagr_daily_equiv_cut,cut_delta
1,2869,2,0.12097833506348143,0.12097833506348143,0.12047313891270628,0.12097833506348143,0.0
5,2865,6,0.6558500006647938,0.10612504768567232,0.7480812627068407,0.10612504768567232,0.0
10,2860,11,1.6582922495167307,0.10270733495459217,2.083452442721564,0.10270733495459217,0.0
20,2850,21,5.464079205982517,0.0978053418516307,8.65852085398348,0.0978053418516307,0.0
60,2810,61,99.13892677294224,0.0798002479158142,687.6095594881368,0.0798002479158142,0.0
