over_def,combo,H,n,gross,exw,t
hist_z<-1.0,hist_z<-1.0 [不剔除D1],10,162283,-0.0007970104343257844,-0.0025375180412083864,-3.9815642625855996
hist_z<-1.0,hist_z<-1.0 [不剔除D1],20,162033,0.0030790071468800306,-0.0019412200199440122,-2.1629330789660663
hist_z<-1.0,hist_z<-1.0 [无缩量],5,529161,0.000970175489783287,-0.0024511234369128942,-5.541601421894987
hist_z<-1.0,hist_z<-1.0 [无缩量],10,528787,-0.00018121252651326358,-0.0035441110376268625,-5.5110832776429834
hist_z<-1.0,hist_z<-1.0 [无缩量],20,528022,0.005492946598678827,-0.0029871389269828796,-3.344129254416396
hist_z 0~-1 (温和),hist_z 0~-1 (温和),5,285279,-0.002497148932889104,-0.0018140623578801751,-4.967738764779261
hist_z 0~-1 (温和),hist_z 0~-1 (温和),10,284254,-0.0034190956503152847,-0.0028347813058644533,-5.600728503916104
hist_z 0~-1 (温和),hist_z 0~-1 (温和),20,282854,-0.001469786511734128,-0.0035225641913712025,-4.646098736267571
hist_z 0~-1 (温和),hist_z 0~-1 (温和) [不剔除D1],5,325774,-0.002427778672426939,-0.001711060293018818,-4.651719977932641
hist_z 0~-1 (温和),hist_z 0~-1 (温和) [不剔除D1],10,324654,-0.003136875806376338,-0.0025806387420743704,-5.07988510702171
hist_z 0~-1 (温和),hist_z 0~-1 (温和) [不剔除D1],20,323137,-0.0005842141690663993,-0.0029969504103064537,-3.899435636883592
hist_z 0~-1 (温和),hist_z 0~-1 (温和) [无缩量],5,1154928,-0.0017421003431081772,-0.0024818447418510914,-6.819857779883898
hist_z 0~-1 (温和),hist_z 0~-1 (温和) [无缩量],10,1151123,-0.0014826345723122358,-0.0036490722559392452,-6.676653088434813
hist_z 0~-1 (温和),hist_z 0~-1 (温和) [无缩量],20,1146335,0.0021067671477794647,-0.0033839342650026083,-4.330834042779607
hist_z>-1 (非超跌),hist_z>-1 (非超跌),5,421567,-0.001843206468038261,-0.0012769929599016905,-3.470237765407186
hist_z>-1 (非超跌),hist_z>-1 (非超跌),10,420139,-0.0013836888829246163,-0.0020042581018060446,-3.8823656403434117
hist_z>-1 (非超跌),hist_z>-1 (非超跌),20,418203,0.0016047751996666193,-0.002825557254254818,-3.8012625853801585
hist_z>-1 (非超跌),hist_z>-1 (非超跌) [不剔除D1],5,486023,-0.001660886686295271,-0.0010927114635705948,-2.9609523765700345
hist_z>-1 (非超跌),hist_z>-1 (非超跌) [不剔除D1],10,484467,-0.001005493919365108,-0.0016731246141716838,-3.2425106436392723
hist_z>-1 (非超跌),hist_z>-1 (非超跌) [不剔除D1],20,482379,0.0026647525373846292,-0.0022453018464148045,-3.071160793263421
hist_z>-1 (非超跌),hist_z>-1 (非超跌) [无缩量],5,2005643,-0.0008349739364348352,-0.0018294848268851638,-5.006541837618224
hist_z>-1 (非超跌),hist_z>-1 (非超跌) [无缩量],10,1999772,0.0008038512896746397,-0.002591956639662385,-4.849781795492868
hist_z>-1 (非超跌),hist_z>-1 (非超跌) [无缩量],20,1992096,0.0054393247701227665,-0.0029664719477295876,-3.8423778910684496
ret20<-15%,ret20<-15%,5,33818,0.0010788622312247753,-0.0006354685756377876,-0.8268682294721083
ret20<-15%,ret20<-15%,10,33784,-7.735934923402965e-05,-0.001904206583276391,-2.0538623214052723
ret20<-15%,ret20<-15%,20,33770,0.005951255094259977,-0.0020161245483905077,-1.4694853165545978
ret20<-15%,ret20<-15% [不剔除D1],5,36839,0.001374195795506239,-0.0007791732787154615,-1.0019669969882363
ret20<-15%,ret20<-15% [不剔除D1],10,36805,0.00041920776129700243,-0.001964469440281391,-2.054369309639881
ret20<-15%,ret20<-15% [不剔除D1],20,36791,0.00771771976724267,-0.0008075764635577798,-0.5641115139608243
ret20<-15%,ret20<-15% [无缩量],5,161743,-0.0003976188017986715,-0.0014710247050970793,-2.6847458625080565
ret20<-15%,ret20<-15% [无缩量],10,161550,-2.698552862057113e-06,-0.0032337182201445103,-4.607459316060746
ret20<-15%,ret20<-15% [无缩量],20,161474,0.009155794978141785,-0.005540918093174696,-5.424380488618185
ret20<-25%,ret20<-25%,5,906,0.001646651653572917,0.0029319622553884983,1.0522332102541174
ret20<-25%,ret20<-25%,10,905,0.0029843561351299286,0.0010234559886157513,0.2684873865845789
ret20<-25%,ret20<-25%,20,905,0.015808073803782463,0.0009678224450908601,0.18486426695303673
ret20<-25%,ret20<-25% [不剔除D1],5,958,0.00239576050080359,0.0035550103057175875,1.246232578338063
ret20<-25%,ret20<-25% [不剔除D1],10,957,0.004057586193084717,0.002178617287427187,0.5662554753707888
ret20<-25%,ret20<-25% [不剔除D1],20,957,0.018459074199199677,0.0014331178972497582,0.28030972022304007
ret20<-25%,ret20<-25% [无缩量],5,6470,-0.001326068420894444,-0.003103255992755294,-1.8619824939305518
ret20<-25%,ret20<-25% [无缩量],10,6467,0.008762425743043423,-0.003941476345062256,-1.527316567451019
ret20<-25%,ret20<-25% [无缩量],20,6466,0.023025795817375183,-0.003354788990691304,-1.0656014799084033
距MA60<-20%,距MA60<-20%,5,7235,0.006779724732041359,0.0010599259985610843,0.8054932022816188
距MA60<-20%,距MA60<-20%,10,7228,0.010743006132543087,0.005570878740400076,2.6428889885646254
距MA60<-20%,距MA60<-20%,20,7226,0.027476906776428223,0.012164270505309105,2.840411367966863
距MA60<-20%,距MA60<-20% [不剔除D1],5,7924,0.007137717213481665,0.0018533560214564204,1.3440141449174392
距MA60<-20%,距MA60<-20% [不剔除D1],10,7917,0.011363162659108639,0.00614969665184617,2.9250788562275285
距MA60<-20%,距MA60<-20% [不剔除D1],20,7915,0.030063580721616745,0.014731059782207012,3.4903968943408907
距MA60<-20%,距MA60<-20% [无缩量],5,44872,0.003686536569148302,0.001980411820113659,2.1284486212356124
距MA60<-20%,距MA60<-20% [无缩量],10,44843,0.006456373725086451,0.0019231070764362812,1.5985145109006964
距MA60<-20%,距MA60<-20% [无缩量],20,44824,0.023834489285945892,0.005656024441123009,2.8684083244784726
距MA60<-30%,距MA60<-30%,5,348,-0.0033188348170369864,6.358054088195786e-05,0.013552256491502105
距MA60<-30%,距MA60<-30%,10,346,-0.0061017288826406,0.000707046827301383,0.10021515787517067
距MA60<-30%,距MA60<-30%,20,346,0.0061705457046628,0.009099802002310753,0.8677031650296756
距MA60<-30%,距MA60<-30% [不剔除D1],5,356,-0.001110019744373858,0.00024846126325428486,0.052769119324214346
距MA60<-30%,距MA60<-30% [不剔除D1],10,354,-0.0031242475379258394,0.0023152127396315336,0.33183358405227525
距MA60<-30%,距MA60<-30% [不剔除D1],20,354,0.01072909776121378,0.011678974144160748,1.1113094273014796
距MA60<-30%,距MA60<-30% [无缩量],5,2083,-0.0027257371693849564,-0.003669906174764037,-1.4268856294668781
距MA60<-30%,距MA60<-30% [无缩量],10,2081,0.0039265635423362255,-0.0019404558697715402,-0.5010248954104661
距MA60<-30%,距MA60<-30% [无缩量],20,2081,0.021489359438419342,-0.0005419302033260465,-0.10360990826004336
距60日高<-30%,距60日高<-30%,5,51455,0.0016198715893551707,-0.0010567487915977836,-1.8555242261428977
距60日高<-30%,距60日高<-30%,10,51140,0.0035456896293908358,-0.003455073107033968,-4.393304169121341
距60日高<-30%,距60日高<-30%,20,50786,0.008831526152789593,-0.005197964143007994,-4.401354408398823
距60日高<-30%,距60日高<-30% [不剔除D1],5,56337,0.0017355484887957573,-0.000847758783493191,-1.5297013878179233
距60日高<-30%,距60日高<-30% [不剔除D1],10,56011,0.003689741948619485,-0.0028317782562226057,-3.613632162229565
距60日高<-30%,距60日高<-30% [不剔除D1],20,55620,0.010136906057596207,-0.00434544961899519,-3.700690685258611
距60日高<-30%,距60日高<-30% [无缩量],5,222918,0.0016544524114578962,-0.0005036367219872773,-1.127438989098472
距60日高<-30%,距60日高<-30% [无缩量],10,221931,0.003952417057007551,-0.002696334384381771,-4.671383556219295
距60日高<-30%,距60日高<-30% [无缩量],20,220962,0.012898994609713554,-0.005738322157412767,-6.714794117045021
无超跌条件,无超跌条件,5,569327,-0.0012157937744632363,-0.0014396943151950836,-3.9161870223985895
无超跌条件,无超跌条件,10,567813,-0.0009969313396140933,-0.002279810141772032,-4.433412318442132
无超跌条件,无超跌条件,20,565637,0.002233087085187435,-0.003318407107144594,-4.496794075513833
无超跌条件,无超跌条件 [不剔除D1],5,651134,-0.0010398600716143847,-0.001199356047436595,-3.319910968799482
无超跌条件,无超跌条件 [不剔除D1],10,649488,-0.0006458263378590345,-0.0018937337445095181,-3.715540424147048
无超跌条件,无超跌条件 [不剔除D1],20,647150,0.0033006214071065187,-0.0026504371780902147,-3.6616700526905626
无超跌条件,无超跌条件 [无缩量],5,2543220,-0.00035800764453597367,-0.001446667592972517,-3.6276165263299434
无超跌条件,无超跌条件 [无缩量],10,2536975,0.0008048973977565765,-0.0022032002452760935,-3.820066759476223
无超跌条件,无超跌条件 [无缩量],20,2528534,0.005887216422706842,-0.002578337909653783,-3.406723292125858
