score_bin,n,score_mean,abs5,ex5,abs10,ex10,abs20,ex20,abs60,ex60
"[0, 20)",1893880,12.47871829455513,0.0023580339950571706,0.0001245665055445971,0.005994852305700484,0.0003756455861154375,0.016464603308398492,0.0018508827555283362,0.04551386873598835,0.0023671289899086915
"[20, 30)",1206458,24.886504761624312,0.003572554305258458,0.0005013453381200547,0.005161991929432891,0.00048289907583413114,0.009635353727893927,0.0007617949879777687,0.025933660422492424,-0.0003136304912074587
"[30, 40)",1261902,35.00192526800595,0.0034925671435629526,0.0006690108104999771,0.006166920748131114,0.0010069932432273353,0.009040381400338585,0.0006894797864633188,0.026827641564063018,-0.0005085592543008109
"[40, 50)",1168814,44.879026337519754,0.003961546496864761,0.0008637338307276938,0.007004992801098567,0.0012088439324649486,0.011370806088744662,0.0010396605141695812,0.029227391436938505,0.0018953015955550938
"[50, 60)",1202510,55.21361036073447,0.004716801796479097,0.0003234421747499841,0.008132753797669567,2.5232833238782996e-05,0.013590719650151592,-0.00029494554504059,0.02440395378646446,0.00024558383905288355
"[60, 70)",1292080,64.75807674416264,0.0038114551093823145,0.00023667384219291555,0.006773574499711065,0.0001556262382504944,0.01185853235114486,-0.0001812531220835604,0.024727733994432247,0.00036525225397111935
"[70, 80)",790020,74.48152426478691,0.0030682985093483054,-0.0015918251139812433,0.0066894188301646175,-0.0017978071512407582,0.012330463753824258,-0.0028076982997230584,0.025257606284174738,-0.002226465785404839
"[80, 90)",361883,83.99432526298018,-0.0018238530525081374,-0.004868129933491678,0.0016058295635360262,-0.006162284564167107,0.006098645712884254,-0.008341282040408278,0.01408641547619775,-0.01024974582437082
"[90, 101)",34270,91.18795785780443,-0.009121078370582012,-0.011583025600195281,-0.011747539963550687,-0.017688238097001874,-0.012184855368871721,-0.023347959076183738,-0.014864684782402474,-0.03519834108109879
