year,variant,n_sig,exw5,t5,exw10,t10,exw20,t20
2015,价格超跌(距MA60<-20%),8,,,,,,
2015,用户规格(hist_z<-1.5),113,-0.03153993934392929,-3.7983112574793125,-0.05798494443297386,-4.543939465809359,-0.0660887286067009,-3.42903502106535
2016,价格超跌(距MA60<-20%),56,-0.014593211933970451,-2.1109024610112783,-0.01148855872452259,-1.0181837593030707,-0.002328302711248398,-0.1430329626984701
2016,用户规格(hist_z<-1.5),5006,-0.0037405432667583227,-2.1098821862123676,-0.0027934869285672903,-1.3395637491103405,-0.00822832528501749,-2.617156721962257
2017,价格超跌(距MA60<-20%),838,0.00545131741091609,1.5600953605470695,0.008889973163604736,1.9105690700711306,0.01202487200498581,1.8359305056830628
2017,用户规格(hist_z<-1.5),7156,-0.0005335136665962636,-0.4440526707133773,0.0025224280543625355,1.1963475977661702,0.0023170013446360826,0.7670215358791336
2018,价格超跌(距MA60<-20%),699,-0.007556293625384569,-2.4037913367394617,-0.004674148745834827,-0.923924627165343,-0.001585563994012773,-0.24297223239861698
2018,用户规格(hist_z<-1.5),3129,-0.008274439722299576,-3.5995781288347506,-0.008130338042974472,-2.079656611102104,-0.008567549288272858,-2.0708326424882935
2019,价格超跌(距MA60<-20%),302,0.0006133249844424427,0.09089812580671594,0.02566804550588131,1.5803291432161277,0.08345110714435577,1.9112860183360918
2019,用户规格(hist_z<-1.5),4858,0.004416820593178272,2.3977271769758692,0.0037304642610251904,1.4133719465511863,0.006831306032836437,1.6130868880509426
2020,价格超跌(距MA60<-20%),405,0.004086850211024284,0.6583046663798567,-0.010186059400439262,-1.5962637778367736,-0.015497216954827309,-1.7367364814540625
2020,用户规格(hist_z<-1.5),3382,-0.0019250585464760661,-0.8396646383105244,0.0036154231056571007,0.7173519594050511,0.009752677753567696,1.4121881553189668
2021,价格超跌(距MA60<-20%),969,0.009115216322243214,2.3609306172184596,0.0143551304936409,3.0286853228966604,0.010871275328099728,1.62843596583309
2021,用户规格(hist_z<-1.5),4615,-0.0048149460926651955,-2.94907553320274,-0.009135959669947624,-4.741820918240511,-0.010169701650738716,-3.5122356912293933
2022,价格超跌(距MA60<-20%),1049,-0.0002580379950813949,-0.09507986701029116,0.005230505019426346,1.3004147214018384,0.015305553562939167,1.6589945990250197
2022,用户规格(hist_z<-1.5),7515,-0.0051793381571769714,-3.009155142117299,-0.004743512719869614,-1.966070563205477,-0.004955304320901632,-1.4299998078728622
2023,价格超跌(距MA60<-20%),470,-0.0016063634539023042,-0.5482024547272952,0.012419300153851509,1.87592671962354,0.01778455264866352,1.5308941047191307
2023,用户规格(hist_z<-1.5),6681,0.001736485748551786,1.5353796814750562,0.0013555872719734907,0.8674070005243871,0.0020910834427922964,0.8089054114946194
2024,价格超跌(距MA60<-20%),641,0.0008226438658311963,0.18361175886978776,-0.005492142401635647,-0.8878470292657082,-0.013678694143891335,-1.6603112412667778
2024,用户规格(hist_z<-1.5),3324,0.00022619895753450692,0.09308107359750004,0.0008820793591439724,0.27623609644914127,0.008763229474425316,1.857451767584344
2025,价格超跌(距MA60<-20%),188,0.003120801178738475,0.5352901236877105,0.008429265581071377,1.205152823389035,0.0265621617436409,1.9196282858531901
2025,用户规格(hist_z<-1.5),9437,-0.007538103964179754,-4.930476400595721,-0.011499528773128986,-5.303785722864699,-0.018110238015651703,-5.585439918279609
2026,价格超跌(距MA60<-20%),1621,0.005571517162024975,1.5460130357621171,0.01485232263803482,2.484669935503539,0.02224620245397091,2.3317059845313106
2026,用户规格(hist_z<-1.5),4175,0.0005864303093403578,0.2391813217928771,-0.00018300126248504966,-0.05274767245120592,0.0005523674772121012,0.09829104526043791
