label,dim,grp,n,mean1,median1,win1,p10_1,p25_1,p50_1,p75_1,p90_1,mean5,median5,win5,p10_5,p25_5,p50_5,p75_5,p90_5,mean10,median10,win10,p10_10,p25_10,p50_10,p75_10,p90_10,mean20,median20,win20,p10_20,p25_20,p50_20,p75_20,p90_20,mean40,median40,win40,p10_40,p25_40,p50_40,p75_40,p90_40,mean60,median60,win60,p10_60,p25_60,p50_60,p75_60,p90_60,ex1,t1,exw1,ndays1,lo1,hi1,ex5,t5,exw5,ndays5,lo5,hi5,ex20,t20,exw20,ndays20,lo20,hi20,ex60,t60,exw60,ndays60,lo60,hi60
【基准】全样本,-,-,10212910,0.0006116966251283884,0.0,0.4803380231491318,-0.03192738033831119,-0.014741946011781693,0.0,0.013956517912447453,0.03322779200971126,0.003015574300661683,-0.0010822841431945562,0.4848714029595874,-0.0705645464360714,-0.033526018261909485,-0.0010822842014022171,0.03278689831495285,0.07777776569128036,0.005812660325318575,-0.0014015201013535261,0.4879491741335232,-0.09872429892420768,-0.048496006056666374,-0.0014015201013535261,0.04795319214463234,0.11254256442189202,0.01104911882430315,-0.00371342059224844,0.4828541522445611,-0.13735187500715254,-0.07086617313325405,-0.0037134207086637616,0.07019230723381042,0.16726951152086236,0.020929323509335518,-0.008762869983911514,0.4731554473700444,-0.1854219451546669,-0.09930641949176788,-0.008762870449572802,0.09837630204856396,0.24513992667198164,0.030004199594259262,-0.012506268918514252,0.4682643830210978,-0.21517864763736724,-0.118055559694767,-0.012506268918514252,0.11793745122849941,0.3030068904161453,-1.8885962238535114e-11,-1.7450638237896334,-2.303414750604027e-11,2810,-4.7185210599876015e-11,1.0967171181625046e-12,-3.5227338407439746e-11,-1.6329151831892128,-4.9152869274760036e-11,2810,-1.0912897668857724e-10,7.894290256216241e-12,-7.806508911523125e-11,-1.1974284383342706,-7.246108574276988e-11,2810,-1.8784825084328105e-10,4.496509414808614e-11,1.3726755843102012e-10,0.9780956503494811,1.0439851066967876e-10,2810,-9.507965248456429e-11,3.2118269155390067e-10
E1_MACD金叉,-,-,396888,0.0008696799050085247,-0.0008018286898732185,0.46779444074902743,-0.030961540341377256,-0.01452593575231731,-0.000801828718977049,0.013333279872313142,0.0332571294158697,0.0025423462502658367,-0.0023391880095005035,0.47370038902662714,-0.07188708931207656,-0.03478257730603218,-0.0023391878930851817,0.030418227426707745,0.07593201994895935,0.006131025031208992,-0.0010767251951619983,0.4897426981919332,-0.09891538321971893,-0.04910034965723753,-0.0010767251951619983,0.04758487083017826,0.11215085536241526,0.01307841669768095,-0.0017209990182891488,0.49115619519864545,-0.14260941296815868,-0.0725361555814743,-0.0017209990182891488,0.07330309599637985,0.17452873587608336,0.02223978564143181,-0.008175967261195183,0.4752751405938199,-0.18799010068178176,-0.10090731270611286,-0.008175967261195183,0.10000008344650269,0.2495259538292884,0.035406045615673065,-0.009083662182092667,0.47650974582249905,-0.2130333438515663,-0.11588311195373535,-0.009083662647753954,0.12405159324407578,0.3121204942464828,-0.00026966226869262755,-3.268366160111209,-0.0006814374937675893,2806,-0.0011355024762451649,-0.0003289669402875006,-0.0011938877869397402,-10.82532380540413,-0.004115817602723837,2806,-0.004868338815867901,-0.003255338640883565,-0.0012772936606779695,-10.643589093891721,-0.007277726661413908,2806,-0.00858388002961874,-0.0061163529753685,-0.0019208536250516772,-10.131203299656246,-0.010826372541487217,2806,-0.012945820577442646,-0.00891314446926117
E2_柱连3日改善,-,-,5133138,0.0006510613602586091,-0.00039979990106076,0.4726582453072565,-0.03158604763448238,-0.014799170894548297,-0.0003997998865088448,0.013533785939216614,0.03314090780913824,0.0022438166197389364,-0.0019084548112004995,0.4777075932889394,-0.0711461752653122,-0.03396226838231087,-0.0019084548694081604,0.0312849385663867,0.07582628354430199,0.005648369900882244,-0.0009583932114765048,0.4901867045070676,-0.09870550483465194,-0.048400361090898514,-0.0009583931823726743,0.04712037742137909,0.11031990945339194,0.012020939029753208,-0.0015764283016324043,0.4914050625562765,-0.13890055567026138,-0.07005255669355392,-0.0015764283598400652,0.07110983319580555,0.16786790341138835,0.022144019603729248,-0.008077571168541908,0.47496657989713115,-0.18525621443986892,-0.09829060733318329,-0.008077571634203196,0.09859185479581356,0.2463868349790573,0.03135122358798981,-0.012345666997134686,0.46836554949428594,-0.21473827958106995,-0.11731840670108795,-0.012345666997134686,0.11818732134997845,0.3059847742319106,-7.369586819550022e-05,-3.069537063251341,-0.00022342118609230965,2806,-0.00036269312840886414,-7.58357418817468e-05,-0.00032690016087144613,-8.139461279716098,-0.0013980107614770532,2806,-0.0017306044464930892,-0.0010449524270370603,-0.00028686103178188205,-9.090930164645902,-0.0026575776282697916,2806,-0.003197149373590946,-0.0020857471972703934,-0.0010630602482706308,-10.792323258063284,-0.004243668634444475,2806,-0.004956488497555256,-0.0034737633541226387
E3_柱连5日改善,-,-,1607688,4.5885277359047905e-05,-0.001239115372300148,0.46052343489532793,-0.03190183974802494,-0.015053802402690053,-0.001239115314092487,0.012814436107873917,0.032456158101558684,0.001430579344742,-0.0022172986064106226,0.47389170037967565,-0.07180388495326043,-0.03400654066354036,-0.0022172986064106226,0.02981024468317628,0.0735963635146618,0.0069230603985488415,0.0,0.4996883723707585,-0.09589833319187163,-0.045677000656723976,0.0,0.04691360890865326,0.10900470986962318,0.015990445390343666,0.003686678595840931,0.5125217081921368,-0.135660819709301,-0.06517187878489494,0.0036866787122562528,0.07497750967741013,0.1700468361377716,0.026021044701337814,-0.0034661241807043552,0.48796719263936783,-0.18139996230602262,-0.09293443895876408,-0.003466124297119677,0.10175213776528835,0.24806205928325653,0.033945295959711075,-0.009165497496724129,0.4759642418180642,-0.21106553971767425,-0.11304352059960365,-0.009165497962385416,0.12025318294763565,0.3046465605497363,-0.0004911455325782299,-8.595432512266107,-0.0013783759204670787,2806,-0.0016795190749689937,-0.0010467895772308111,-0.0005998655105940998,-10.629419158070357,-0.0038237194530665874,2806,-0.00450144661590457,-0.003053427441045642,0.0012651016004383564,-9.140043081850505,-0.005264887586236,2806,-0.006545609794557095,-0.004163205623626709,0.0005036357906647027,-12.234556676201347,-0.010143918916583061,2806,-0.011968561448156834,-0.008598760701715946
E4_0轴下金叉,-,-,254186,0.0012621129862964153,0.0,0.4765408008308876,-0.027137398719787598,-0.012745094252750278,0.0,0.012729838490486145,0.03044157847762108,0.0038147938903421164,-0.0006829279009252787,0.48546733494370264,-0.06354515999555588,-0.030341165605932474,-0.0006829279009252787,0.029629668220877647,0.07072165980935097,0.008070451207458973,0.001689770258963108,0.5069712730048075,-0.08796855807304382,-0.04258380550891161,0.0016897702007554471,0.0470914039760828,0.10577348247170448,0.02003031224012375,0.005640975199639797,0.5209452920302455,-0.1257142573595047,-0.0600000387057662,0.005640975432470441,0.07662423327565193,0.17232833802700043,0.03344755992293358,0.0034042848274111748,0.5082970737963538,-0.16685166954994202,-0.08346034586429596,0.003404284710995853,0.10646989569067955,0.2508965879678726,0.04842308163642883,0.003508779453113675,0.5075967991942908,-0.19295776635408401,-0.09835852682590485,0.003508779453113675,0.1352277472615242,0.3201223313808441,-6.690661393804476e-05,-0.21029930222729767,-5.202305328566581e-05,2737,-0.0005879966774955392,0.0004347108188085258,-0.0009932916145771742,-4.235869344079595,-0.0027650080155581236,2737,-0.004082672297954559,-0.001458541490137577,0.0007564304396510124,-2.1022917605090305,-0.003366009099408984,2737,-0.006241871975362301,-0.00015532487304881215,0.001332494430243969,-2.1162339493775293,-0.005975149571895599,2737,-0.010619178414344788,-0.0010940860956907272
E5_0轴上金叉,-,-,142702,0.00017066352302208543,-0.002145870588719845,0.4522151056046867,-0.037993837147951126,-0.018229161854833364,-0.002145870472304523,0.01462519378401339,0.03932527676224713,0.00027581743779592216,-0.005651731044054031,0.45274067637454274,-0.08580169007182122,-0.04365181550383568,-0.005651730811223388,0.03216440323740244,0.0867721535265446,0.002676449017599225,-0.00733092799782753,0.45905453322308026,-0.11747993007302283,-0.06183430086821318,-0.00733092799782753,0.048736012540757656,0.1255032077431679,0.000695445982273668,-0.01782447099685669,0.43809477092122046,-0.16894452720880507,-0.09477956220507622,-0.017824470065534115,0.06631068326532841,0.1791373446583749,0.002276092069223523,-0.03300575166940689,0.41645527042368014,-0.21983105540275574,-0.12991653382778168,-0.03300575166940689,0.08648650720715523,0.2463111013174058,0.012219618074595928,-0.03505082428455353,0.42113635408053146,-0.24340993613004683,-0.14495059847831726,-0.03505082428455353,0.10225225798785686,0.2956474721431732,-0.0006308180745691061,-4.346512248677131,-0.0013112553860992193,2779,-0.0019772646483033895,-0.0007439088076353073,-0.0015511971432715654,-9.026980620954667,-0.005419585388153791,2779,-0.006667375564575195,-0.004287086892873049,-0.004899837076663971,-13.466221074711221,-0.013169600628316402,2779,-0.0150322699919343,-0.0112671609967947,-0.007715835701674223,-13.70921459911975,-0.02164274826645851,2779,-0.02512812800705433,-0.01851101964712143
E6_慢改善未翻红,-,-,1721378,0.0009370056795887649,0.0,0.48541401133278106,-0.0291734391823411,-0.013657026458531618,0.0,0.013661215547472239,0.03133309558033945,0.001701598521322012,-0.0018656137399375439,0.4778991017661432,-0.0690021388232708,-0.03351953253149986,-0.0018656137981452048,0.030710476450622082,0.07272730022668839,0.004204849246889353,-0.002414008602499962,0.4815316566146425,-0.09517117366194724,-0.048192739486694336,-0.00241400848608464,0.0450901985168457,0.10542481616139412,0.011758374981582165,-0.0027529126964509487,0.48677571108728007,-0.13274335861206055,-0.06946062669157982,-0.0027529126964509487,0.07043044827878475,0.16426138728857043,0.02207004465162754,-0.0045505091547966,0.4850253692100166,-0.17766495496034623,-0.09320986643433571,-0.0045505091547966,0.09842519462108612,0.23544320762157442,0.03400847315788269,-0.00766600389033556,0.47921084154671434,-0.20432691276073456,-0.1106069553643465,-0.007666003657504916,0.1193798165768385,0.29831394255161287,0.00018235102470498532,-0.14405028391617014,-1.9390414308873005e-05,2806,-0.0002995590912178159,0.00024055855465121567,-4.931367948302068e-05,-9.829757280049657,-0.00290735624730587,2806,-0.0034520719200372696,-0.002365835476666689,0.0006841954891569912,-7.360170673787666,-0.0039822738617658615,2806,-0.005034082103520632,-0.0028300154954195023,0.0018678961787372828,-4.965517847439997,-0.004571371246129274,2806,-0.006275825668126345,-0.002890925155952573
E7_快速翻红,-,-,19069,0.00025150636793114245,-0.003879483789205551,0.4429702658765536,-0.05454547703266144,-0.02716052532196045,-0.003879483789205551,0.02014654502272606,0.05965282022953035,0.0020352210849523544,-0.00789174996316433,0.44821437935916936,-0.10183187872171401,-0.0528571717441082,-0.00789174996316433,0.0377604141831398,0.10588368177413941,0.004091853275895119,-0.009746640920639038,0.4509413183701295,-0.13103794157505036,-0.06857142597436905,-0.009746640920639038,0.05040233954787254,0.14011683762073524,0.008021027781069279,-0.01609920524060726,0.44758508574125544,-0.17514948844909667,-0.09730362892150879,-0.01609920524060726,0.07332161068916321,0.20391446053981785,-0.004160604439675808,-0.039285678416490555,0.39482930410614087,-0.22490614652633667,-0.13574661314487457,-0.039285678416490555,0.07533672451972961,0.23511675596237186,0.003390030935406685,-0.040217380970716476,0.40830667575646334,-0.24259464740753173,-0.14863638579845428,-0.040217380970716476,0.09148488193750381,0.2742466628551483,-0.0024715212639421225,-3.1450622925899223,-0.002346855355426669,2237,-0.00377794005908072,-0.0009476374834775925,-0.007252407260239124,-4.784410233165828,-0.007049946580082178,2237,-0.009513136930763721,-0.004294993355870247,-0.01760203205049038,-8.372566636704255,-0.0180357713252306,2237,-0.02256768010556698,-0.013846850022673607,-0.022948656231164932,-7.309965949739571,-0.02419257164001465,2237,-0.030203958973288536,-0.018315182998776436
E8_高位衰减,-,-,1294383,0.0010128684807568789,0.0,0.4834396001801631,-0.031243505701422675,-0.014454681891947985,0.0,0.014044929295778275,0.033453770726919206,0.005120454356074333,0.0,0.49589881820141335,-0.06683482676744461,-0.03122679702937603,0.0,0.03396223112940788,0.07913677096366882,0.009291677735745907,0.0015848131151869893,0.5058301909094912,-0.09496404081583024,-0.04527296684682369,0.0015848131151869893,0.050666654482483864,0.115808553993702,0.012724937871098518,-0.0013704331358894706,0.4920097065551695,-0.13735538125038146,-0.06842618435621262,-0.0013704331358894706,0.07158996909856796,0.16829269528388976,0.021907856687903404,-0.010342588648200035,0.4682748460077118,-0.18454933166503906,-0.0988432988524437,-0.010342588648200035,0.09736308827996254,0.24887801408767707,0.0262957364320755,-0.016566213220357895,0.4584964419341107,-0.2222222089767456,-0.12227243185043335,-0.016566213220357895,0.11433203145861626,0.30403993725776685,0.00022028895909897983,-3.472943753335123,-0.0006542050396092236,2790,-0.0009845097083598375,-0.0003047363134101033,0.0009454942191950977,-7.343591420270607,-0.0024733294267207384,2790,-0.0031242233235388994,-0.0018308331491425633,0.0002539623819757253,-13.544768523136126,-0.008171998895704746,2790,-0.009202436544001102,-0.006959146354347467,-0.001343331066891551,-14.84151854574299,-0.012500602751970291,2790,-0.0139983044937253,-0.01083358470350504
E9_MACD死叉,-,-,396822,0.000519912107847631,0.0,0.49248529567413096,-0.03318485021591186,-0.014848402701318264,0.0,0.014594463398680091,0.03386097401380546,0.002706188475713134,-0.001459847902879119,0.48297977430686806,-0.07352309748530386,-0.035398262552917004,-0.001459847844671458,0.03552010655403137,0.08141308799386027,0.004022620618343353,-0.0038433545269072056,0.4743411403601615,-0.10170565247535705,-0.05134680401533842,-0.0038433545269072056,0.04874524939805269,0.11392408460378647,0.00578667875379324,-0.009360350668430328,0.46122946812424714,-0.13986441045999526,-0.07500002533197403,-0.009360351134091616,0.06640629097819328,0.1625595450401307,0.017828840762376785,-0.012317567132413387,0.463220285165641,-0.1872126206755638,-0.1028244886547327,-0.012317567132413387,0.09458019956946373,0.24264373779296883,0.028094440698623657,-0.01369862537831068,0.4655160248171724,-0.2155217871069908,-0.11950541473925114,-0.01369862537831068,0.11717859469354153,0.301272800564766,-9.169271834252868e-06,-5.339925005623001,-0.0011073620989918709,2805,-0.001513238181360066,-0.0007294734241440892,0.00016848549421411008,-6.357591169717595,-0.0025065825320780277,2805,-0.0031601700466126204,-0.001664758543483913,-0.0008798953494988382,-11.835914092041065,-0.00832084659487009,2805,-0.00972329918295145,-0.007113062776625156,-0.0010246485471725464,-9.670498848353864,-0.01029015053063631,2805,-0.012023148126900196,-0.008299467153847218
