vr_bin,n,mean1,mean5,mean10,mean20,mean60
"(0.0, 0.6]",1524512,0.0003618802293203771,0.0014953585341572762,0.0020176072139292955,0.004853617399930954,0.02675039879977703
"(0.6, 0.8]",2079800,0.00023341740597970784,0.0019328605849295855,0.0035502398386597633,0.0077097536996006966,0.025105556473135948
"(0.8, 1.0]",1859049,0.00044748789514414966,0.0025434973649680614,0.00518066855147481,0.00990428775548935,0.02369861491024494
"(1.0, 1.2]",1278861,0.0008004343835636973,0.0034095989540219307,0.006925946567207575,0.011973477900028229,0.022964000701904297
"(1.2, 1.5]",1098609,0.0010625669965520501,0.004428067244589329,0.008522630669176579,0.01469638105481863,0.023285089060664177
"(1.5, 2.0]",785407,0.001132551347836852,0.005120448302477598,0.00924739707261324,0.015984000638127327,0.02310873381793499
"(2.0, 3.0]",444961,0.0005173778627067804,0.0017194196116179228,0.0052221473306417465,0.011056740768253803,0.018317604437470436
"(3.0, 100.0]",181969,-0.0033608267549425364,-0.012148091569542885,-0.011046060360968113,-0.0072081726975739,0.00046569484402425587
