entry,train,test,best_exit,train_exw,test_n,test_mean,test_win,test_exw,test_t
EN4_柱连3日改善,2015-2019,2020,XF_移动止盈12%,-0.0007532382073661024,415059,0.017079835109915415,0.39597021146391237,0.003118685636634296,0.7907254756206475
EN4_柱连3日改善,2016-2020,2021,XA_固定持有5日,-0.00133816374081437,468218,0.003374862384565937,0.4831061599511339,-0.0017934469881711193,-5.86765420476893
EN4_柱连3日改善,2017-2021,2022,XA_固定持有5日,-0.0011420848311956533,514805,-0.0019475768754103984,0.46004797933198005,-0.0015065547878852393,-3.383846614327788
EN4_柱连3日改善,2018-2022,2023,XE_固定止损-15%,-0.0002637749525422502,551191,-0.021531645689659068,0.3572191853640571,-0.02403802933192508,-8.355666419129788
EN4_柱连3日改善,2019-2023,2024,XE_固定止损-15%,0.0005353677783845216,571242,0.04813034684553574,0.43481046561702397,0.02800896663663706,3.162182306763038
EN4_柱连3日改善,2020-2024,2025,XE_固定止损-15%,0.006131750768895249,650640,0.07320697090638213,0.5739425796139186,0.032274614155064864,7.056898269251944
EN4_柱连3日改善,2021-2025,2026,XE_固定止损-15%,0.009807621336570649,321068,-0.05095937850055101,0.22317390708510346,-0.06863049415811595,-9.941927298965131
EN5_柱连5日改善,2015-2019,2020,XF_移动止盈12%,-0.0038351867672706467,129864,0.01920670851344396,0.3980856896445512,-0.00010261674618728211,-0.02292410914450958
EN5_柱连5日改善,2016-2020,2021,XA_固定持有5日,-0.003967111964918538,144417,0.0021319763344718446,0.4795349577958274,-0.0031910498314886636,-5.598890070196335
EN5_柱连5日改善,2017-2021,2022,XA_固定持有10日,-0.0034527341189276154,161812,-0.0011008273199716154,0.4733579709786666,-0.00352997192304023,-3.0247574581647974
EN5_柱连5日改善,2018-2022,2023,XA_固定持有5日,-0.0038189527333760925,167811,0.0017444045633023457,0.4758508083498698,-0.0016681518359360158,-2.4848800813227756
EN5_柱连5日改善,2019-2023,2024,XE_固定止损-15%,-0.0026630201357325514,166740,0.03606128544687838,0.4205649514213746,0.01738579796666128,2.067024166601544
EN5_柱连5日改善,2020-2024,2025,XE_固定止损-15%,0.0013850642364600717,207538,0.07892025855195224,0.5917566903410459,0.02596123772044102,5.261539658016518
EN5_柱连5日改善,2021-2025,2026,XE_固定止损-15%,0.00493618198617346,98287,-0.050717147297490724,0.21543032140567928,-0.06791592932560866,-9.528591812208104
EN6_金叉+不过热+量温和+RS正,2015-2019,2020,XD_ATR3倍止损,0.0034815381671700232,4366,0.052282099159760176,0.4521300961978928,0.02593476176201223,3.2073041237420092
