entry,exit,seg,n,mean,win,exw,t
EN1_MACD金叉,XA_固定持有5日,训练2015-2022,225903,0.0017652277968675408,0.4811312820104204,-0.00536067084606019,-11.467500645855885
EN1_MACD金叉,XA_固定持有5日,验证2023-2024,92521,0.004501305261628214,0.45652338388041636,-0.004198602387593663,-4.946565919305176
EN1_MACD金叉,XA_固定持有5日,测试2025-2026,82683,0.003620448565999031,0.48625473192796587,-0.0021970400202119284,-3.1878856364321657
EN1_MACD金叉,XA_固定持有10日,训练2015-2022,225903,0.0051718445725545655,0.4945441184933356,-0.006333178137421625,-9.530714774175747
EN1_MACD金叉,XA_固定持有10日,验证2023-2024,92521,0.0034743712415354257,0.45856616335750805,-0.006253423567010817,-5.30222785089979
EN1_MACD金叉,XA_固定持有10日,测试2025-2026,81959,0.01191391247013914,0.5226637709098452,-0.0031736756990911924,-3.2275248093789415
EN1_MACD金叉,XA_固定持有20日,训练2015-2022,225903,0.010376639154829484,0.4914808568279306,-0.008098594312938863,-9.740786618443561
EN1_MACD金叉,XA_固定持有20日,验证2023-2024,92521,0.015057076802227181,0.47231439348904575,-0.008164878257301757,-5.1379710097114994
EN1_MACD金叉,XA_固定持有20日,测试2025-2026,79828,0.020483521739210322,0.5344490654908053,-0.0069337996933360084,-4.903123729387018
EN1_MACD金叉,XA_固定持有30日,训练2015-2022,225903,0.013736861475393486,0.48492494566251887,-0.00984711472681385,-9.790155863220075
EN1_MACD金叉,XA_固定持有30日,验证2023-2024,92521,0.017317680011023906,0.45670712594978435,-0.006685469205191714,-3.5381337460020466
EN1_MACD金叉,XA_固定持有30日,测试2025-2026,79384,0.032060579413625015,0.5364557089589842,-0.006888345703191551,-4.257641194978121
EN1_MACD金叉,XA_固定持有40日,训练2015-2022,225903,0.01839541769820072,0.47648326936782603,-0.010160514815755023,-10.413205344838598
EN1_MACD金叉,XA_固定持有40日,验证2023-2024,92521,0.01655654741141978,0.4333934998540872,-0.006986905690721689,-3.627752643980354
EN1_MACD金叉,XA_固定持有40日,测试2025-2026,76525,0.03890310556563453,0.5324273113361646,-0.007519932521073857,-4.136284604277109
EN1_MACD金叉,XA_固定持有60日,训练2015-2022,225903,0.02648746478964184,0.4653280390255995,-0.012556654547989985,-9.835033380816935
EN1_MACD金叉,XA_固定持有60日,验证2023-2024,92521,0.039183837684430796,0.46943937052128704,-0.006877465777747284,-3.3942567103814545
EN1_MACD金叉,XA_固定持有60日,测试2025-2026,72263,0.04890760129976655,0.5076456831296791,-0.01083455845659804,-4.786313108700618
EN1_MACD金叉,XB_跌破MA20,训练2015-2022,225903,0.002938823898118026,0.32583453960328107,-0.011627352019013087,-7.4227897975395
EN1_MACD金叉,XB_跌破MA20,验证2023-2024,92521,0.004149363507238045,0.3147177397563796,-0.011178579753834775,-3.6601098871703024
EN1_MACD金叉,XB_跌破MA20,测试2025-2026,79776,0.006796790519203452,0.3277426795026073,-0.017529819619729905,-7.169335928278503
EN1_MACD金叉,XC_跌破MA60,训练2015-2022,225903,0.0003598598293455142,0.3609558084664657,-0.013960015854548107,-7.509128923561154
EN1_MACD金叉,XC_跌破MA60,验证2023-2024,92521,-0.0014766585550255644,0.3484506220209466,-0.016401662188312804,-5.202087667187641
EN1_MACD金叉,XC_跌破MA60,测试2025-2026,79615,0.007849164934786214,0.364202725617032,-0.017494588333468425,-6.927856289991698
EN1_MACD金叉,XD_ATR2倍止损,训练2015-2022,225903,0.011784348967858144,0.31246154322873093,-0.009609749819639066,-3.8823153098895182
EN1_MACD金叉,XD_ATR2倍止损,验证2023-2024,92521,0.015369346960046675,0.28150365862885185,-0.007407430534858887,-2.07908540016591
EN1_MACD金叉,XD_ATR2倍止损,测试2025-2026,74544,0.02347243271524241,0.3288795878943979,-0.016515998397241605,-4.32052239626603
EN1_MACD金叉,XD_ATR3倍止损,训练2015-2022,225903,0.012554656713780704,0.3761127563600306,-0.010652446778095518,-3.885860087433887
EN1_MACD金叉,XD_ATR3倍止损,验证2023-2024,92521,0.019658973391033216,0.3550329114471309,-0.004497158410317989,-1.0293650103544296
EN1_MACD金叉,XD_ATR3倍止损,测试2025-2026,73495,0.02845939178332695,0.40540172800870805,-0.018962873758114392,-4.123310481503936
EN1_MACD金叉,XE_固定止损-5%,训练2015-2022,225903,0.010974012528603798,0.2574290735404134,-0.008063604682896776,-3.6380276370102833
EN1_MACD金叉,XE_固定止损-5%,验证2023-2024,92521,0.01262484431275436,0.23148258233265961,-0.006594360253178277,-2.1792545887270887
EN1_MACD金叉,XE_固定止损-5%,测试2025-2026,76270,0.021416877628784994,0.2766094139242166,-0.011905946911250994,-3.7340683846116773
EN1_MACD金叉,XE_固定止损-8%,训练2015-2022,225903,0.01193769357193023,0.3287959876584198,-0.008045922805092054,-3.2848838794075133
EN1_MACD金叉,XE_固定止损-8%,验证2023-2024,92521,0.016585150081850023,0.3107726894434777,-0.005345512677774897,-1.4508176043619532
