tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S ret20 D2~D6 | 无确认(基线),5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.0005143061786043975,-1.1403850717228907,0.025189157946480713,-0.0021918691927567124,0.4914717261673076,1.4744177575629416,1.5148843621561023,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
S ret20 D2~D6 | A Close>MA5,2266271,0.2356911490546496,-0.40314183159042083,0.813362959639121,0.26316510249358027,795.3888888888889,0.0004143320762400326,2.6856217591665716,0.001460177256895847,0.0,0.48305546296648316,1.1704879614420125,1.1782529164050204,-0.0003873665858454597,-1.4300636860544798,0.004859808461614408,0.0,0.4964316710932386,1.2558176808319543,1.241161018379454,-4.039038381162235e-05,-0.11591828563545369,0.009338440012543728,0.0031104404479265213,0.5163242124528482,1.3527170793494983,1.2446842629646293,-0.0008930357103733535,-1.7248673293638184,0.017733497058628398,0.004950459115207195,0.5186036312760682,1.4691364335733539,1.348832392508336,-0.0037598106511600184,-5.44323519632395,0.026097076539087233,-0.0026574699440971017,0.4900568477321961,1.4913895445317251,1.5411039515568614,-0.007730750512588671,-9.208081419038951,0.03325070926806961,-0.007472268305718899,0.47873132066908153,1.5245034157396293,1.6508069830675414
S ret20 D2~D6 | B MA5向上,2908031,-0.7170093099191912,-0.999999445437642,-3.9235650775050672,-1.210781697427005,1020.4850824850824,-0.005548926009599982,-42.974059595947736,-0.0063327877357285565,-0.004862297093495727,0.3766782395862641,0.49389849720030243,0.7785104714790834,-0.0051547547984809716,-25.98528256936594,-0.0038220802291226547,-0.004796158522367477,0.4488890682327525,0.8407529348811081,1.0097245500895586,-0.005914487107212344,-20.544388041101758,-0.000598154022845724,-0.0054744877852499485,0.46059397210671055,0.9814033162876673,1.1319269302947614,-0.006768275877870408,-16.06388386195321,0.0047864405487545265,-0.007152137812227011,0.46665911653763126,1.1117167627747535,1.2581769649874344,-0.009353192601925377,-15.723641742291257,0.018065943697173046,-0.006828882731497288,0.47698900135125155,1.3245471930839277,1.442575409974554,-0.012714583744300463,-15.656103336675299,0.02872473424970839,-0.009408562444150448,0.4739141825689924,1.4446700568989146,1.5951453988134299
S ret20 D2~D6 | C 连续2日上涨,1169463,-0.984676622494301,-1.0,-15.36071597550353,-4.106027526923114,414.40928419560595,-0.01686454971424125,-61.443101509068114,-0.01839592502065706,-0.013452903367578983,0.09937381516131763,0.04226887524459031,0.3737929741865604,-0.03188729916096048,-60.316872847819404,-0.034464680132464516,-0.029220813885331154,0.20870902217940315,0.16272660055339386,0.6096528704125803,-0.03234095744307624,-50.146999757625274,-0.02941068956659272,-0.029389480128884315,0.3031213888736037,0.36996243600920004,0.8416532085734837,-0.03332570881874732,-40.14443292583682,-0.02445092743231827,-0.031007731333374977,0.36176437842582354,0.5688424886892077,0.9960222808455623,-0.035022795995145246,-30.015323532505246,-0.01029923571529686,-0.030150843784213066,0.40415677692479507,0.8489210723657766,1.2448885413145327,-0.038091498460027476,-28.826475855856195,-0.0015981159941197848,-0.033521370962262154,0.4104811237928007,0.9793537110572912,1.40035569648551
S ret20 D2~D6 | D MACD柱连续3日改善,2672946,0.20005938929145795,-0.4576094212216315,0.7416037073187689,0.23130910215110476,936.8838596491228,0.0002421179492489256,2.864178515692404,0.001050515319387712,0.0,0.48175081335326253,1.1187973005208873,1.1326447145800829,0.00010400773016192368,0.5646296960313901,0.003556281057909715,0.0,0.49164152477897,1.1786626922284364,1.1882938500391556,0.0004976132004649173,1.8773361102339563,0.007914380997214896,0.001912070787511766,0.5081993493080486,1.2919057897462907,1.2287398345906058,1.6407908213547233e-06,0.004310655658208928,0.01615532573954922,0.00424245186150074,0.515677936373944,1.4240143261497376,1.32281237235153,-0.002254663652115019,-3.75299959503542,0.027332683670512243,-0.000461653689853847,0.4959680328191098,1.52774786727898,1.5414215930969153,-0.006027959816985757,-8.183869430834859,0.03707428330520761,-0.00470585678704083,0.4859995314166631,1.6034579008991647,1.6862170347698162
S ret20 D2~D6 | E MACD柱翻红,179015,-0.9722726371020225,-1.0,-12.568989110116322,-3.519472906318735,66.29888888888888,-0.014852686244944532,-67.64574693414986,-0.018765979391184948,-0.015290512703359127,0.1650326523543772,0.09379955469276913,0.46223475635276323,-0.015993459974506127,-31.114601893276767,-0.016629425420124612,-0.01658269204199314,0.3416375877958216,0.46239910211271906,0.8760023190778647,-0.017736383006876823,-24.24829619625409,-0.013950053306797517,-0.017675919458270073,0.3834357208758073,0.6432576498160535,1.021494053931168,-0.01976227223482508,-21.48890001210101,-0.012886828992624059,-0.02234269119799137,0.40180470694727316,0.7529844876774116,1.111681306617612,-0.021832526012462408,-17.202890555445467,0.002400290107431925,-0.023366104811429977,0.4259542769659648,1.037660857733781,1.3898796776793585,-0.02861536953771418,-18.912094698859494,0.01079722760515303,-0.02538560889661312,0.433141309983294,1.1476180770849036,1.4949912276305328
S ret20 D2~D6 | F DIF>DEA,2333587,0.18378731375794377,-0.4990712061811631,0.7180614732518931,0.21291463636168886,825.8668555240794,0.00015347895671620517,1.3918317307294092,0.0014146155119620038,0.0,0.48618071491539494,1.1677198146285128,1.1576357040989196,0.0009559776240699,3.2174541964067047,0.006015479010287583,0.001512910588644445,0.5086310048604774,1.3312172129279864,1.251308562390587,0.0015551132902970344,3.711594285608388,0.011203955981013407,0.00480768783017993,0.527855458058024,1.442201158011447,1.2660198945275745,0.0014903156200328372,2.660024908458374,0.017466070644567656,0.0061686160042881966,0.5243635419708621,1.4709941676242393,1.3189074392482802,-0.0005067421212442193,-0.6336116658343288,0.027942425591632333,-0.0011647653300315142,0.49438662450897536,1.5418739727803528,1.565225035004772,-0.006481215901667771,-6.974656440489108,0.034484894337165964,-0.005847941618412733,0.4830355575992234,1.548872792612961,1.6481879105185375
S ret20 D2~D6 | G Close站上MA10,2086821,0.16390368321673265,-0.5319869301467008,0.6410804141419633,0.2016355540407641,736.2359590250795,0.00030117282709795213,1.9748801271756924,0.0014390271687023688,0.0,0.4805770230928223,1.1669912225490804,1.1867867296651062,-0.00014238572903015843,-0.44613881390365473,0.005555756812036224,0.00038754899287596345,0.5005333617536896,1.2999879334536801,1.2633754390617418,0.00018302570199808875,0.5073341099463347,0.010174591334002248,0.003745291382074356,0.5208035758084668,1.3920179671996586,1.2576892810000997,-0.00103433924793222,-1.9007204031110836,0.01827692548665793,0.005895351991057396,0.5228402443610205,1.4840307500392858,1.339374779256404,-0.003888663036774184,-5.273084895177313,0.026128061233246958,-0.003628191538155079,0.4870091706331383,1.4882758010335113,1.5568831363230342,-0.008908997562542348,-9.860277282490763,0.031654071755123095,-0.008833966217935085,0.47515650755990385,1.490467591856901,1.637292633913906
S ret20 D2~D6 | H Close站上MA20,1768398,0.0880915606567283,-0.5798684538107597,0.43377394432382826,0.12933223619341966,639.9500181093806,1.0427835518212625e-05,0.060735316100337174,0.0016210100224474686,0.0,0.4852872428691574,1.1879809629536737,1.1852446532909702,-4.79641942942623e-05,-0.1424204731955495,0.006289607911790525,0.001363305258564651,0.5072083003744432,1.3434979681395898,1.2713748007237804,-0.00015334075040283432,-0.3362631273754677,0.011068115423360088,0.004302073735743761,0.5246706289174703,1.4267979713487902,1.2689117686738773,-0.0019214654847804383,-2.8223231620562186,0.016713461674435038,0.004206090467050672,0.5154791107091304,1.4303243018063942,1.3299847165975978,-0.003727454135543021,-3.6594732466840507,0.023523560261622622,-0.008087622001767159,0.47393296924750883,1.4212609873491115,1.5674021484168368,-0.009247385389135544,-8.10910830283106,0.02400276522081111,-0.014981260988861322,0.45877285451994165,1.351568134215558,1.586019423794812
L 深度超跌并集 | 无确认(基线),1737367,0.22106142934528306,-0.502219295108467,0.7431709742547719,0.2622903657505229,617.5320284697509,0.0004390615888480096,3.704474862162381,0.0009472051225170606,0.0,0.4880090360838258,1.0917501419831286,1.095878248681242,0.001646450955078341,5.828572466811845,0.004363596899511823,0.0,0.49204121067179635,1.191673590267899,1.2081697580385529,0.0021948519668028134,5.715574187354268,0.00797812642158814,0.0,0.49551624698027935,1.2530910892625666,1.2600775896281622,0.0021941424922075877,4.029230287097763,0.01429003122744111,-0.0012706362176686525,0.4929552779370962,1.3269080355455065,1.3535952824681559,-0.00290232591251421,-3.879595000698359,0.020799024959311137,-0.0073782457038760185,0.4782055048312833,1.3479943321809986,1.4628535098535034,-0.008694242439090895,-9.570683474192148,0.02442691305513359,-0.01610642485320568,0.4609091249819292,1.3387328045053208,1.5590798005634785
L 深度超跌并集 | A Close>MA5,651688,0.31518575333449395,-0.42015864090246025,0.9647403012834812,0.3337206990320994,232.4667381974249,0.0007260541814071459,3.4815565356607765,0.0018059870128032574,0.0,0.4826847719226988,1.1843863396161332,1.2142476104581956,-0.00017152845500442352,-0.40744132406346245,0.004879895915982806,-0.0010683824075385928,0.48592936226783484,1.2226166613304958,1.2700305022115337,-0.0003607023310699653,-0.6521923620032535,0.008501609315249023,0.0006669500435236841,0.5014585863455304,1.278342843541158,1.2547529090483511,-0.002241598449015083,-3.031495810887218,0.016517172912293567,0.0013513722224161029,0.5031920761312876,1.3851955175941635,1.3560132019629167,-0.008765206722187356,-8.563176327111654,0.01816788403881739,-0.010647072456777096,0.4688460207803779,1.2984868069196598,1.463004971599871,-0.015148655141918602,-13.149621773861037,0.020242553218225698,-0.019916949793696404,0.4511082905477195,1.274785342755863,1.5446118131133497
