pullback_tol,cagr_train,sharpe_train,n_train,wr_train,payoff_train,cagr_valid,sharpe_valid,n_valid,wr_valid,payoff_valid,cagr_test,sharpe_test,n_test,wr_test,payoff_test
0.02,-0.13292585681127633,-0.735177420808599,5438,0.2563442442074292,2.422491432576545,-0.08363515017985801,-0.3820443569079559,1791,0.2467895030709101,2.8674128158696517,0.0008281203206554899,0.043958646644426405,1499,0.2715143428952635,2.7700389571233166
0.03,-0.15145424598612756,-0.75990895882314,5389,0.2774169604750418,2.1698436662455927,-0.09717944422952529,-0.41157124291189034,1635,0.25565749235474006,2.638390074282292,-0.004195799425363411,0.03150257443650621,1407,0.27007818052594174,2.848798702347821
0.05,-0.1499014990864851,-0.6720024487108133,5030,0.2809145129224652,2.1643288443428417,-0.27066408711674095,-1.2736175950783917,1560,0.25256410256410255,2.094446178960869,0.08699398459230401,0.3867068104366606,1241,0.2997582594681708,2.5768170189416075
0.08,-0.18674298664092237,-0.7947127976572134,4811,0.28663479526086055,2.056159293312475,-0.2716184088131396,-1.1929661668886578,1363,0.2707263389581805,2.0275319814212933,0.049417976441189726,0.247358435716225,1141,0.2979842243645925,2.5456026230228335
0.1,-0.20040763023494146,-0.8188337143330858,4751,0.28962323721321825,1.9842812317501592,-0.31820486452708563,-1.4836637186029686,1336,0.27994011976047906,1.7659120526627776,0.02434370296245958,0.15911215102849602,1127,0.29547471162378,2.476999963960969
0.15,-0.210648188159278,-0.8238511160381143,4737,0.2963901203293224,1.9383309140319276,-0.2911752888126038,-1.278127293103886,1283,0.2907248636009353,1.745222150886576,0.0458339087266062,0.23647283204246208,1080,0.31203703703703706,2.3715754678935608
