macd,cagr_train,mdd_train,sharpe_train,n_train,cagr_valid,mdd_valid,sharpe_valid,n_valid,cagr_test,mdd_test,sharpe_test,n_test
8/21/5,-0.2865817589536812,-0.9649135611080859,-1.1727911717606203,4860,-0.34718853854642073,-0.7233697778967052,-1.3410214991571388,1335,-0.2225769369173265,-0.45785233746221454,-0.840211701661967,1100
12/26/9,-0.2975567466154144,-0.9665315614119658,-1.2478299276879259,3197,-0.23359798752519856,-0.6551273942893812,-0.8472256706026439,868,-0.3094126798991105,-0.5077783771706585,-1.2486670581876855,711
15/30/9,-0.28715525382947094,-0.9619640659454043,-1.1525202073955503,2863,-0.2790953235741197,-0.6795953849130171,-1.0039132109689899,786,-0.043790700651604286,-0.24493365723209937,0.045759948879845073,625
5/35/5,-0.2962606368312911,-0.96772440177441,-1.218204651647553,5085,-0.4301738755920471,-0.7534194090553257,-1.8284600263322266,1435,-0.14864319032367745,-0.40939319795689544,-0.4918888302829727,1179
10/22/7,-0.2808486461161429,-0.9591172637588335,-1.1226417809032196,3879,-0.24831276150982806,-0.6594366526868771,-0.8655635413082668,1084,-0.2702594534015035,-0.48756703196132856,-1.119855626859611,871
