label,2015-2018,2015-2018_t,2019-2022,2019-2022_t,2023-2024,2023-2024_t,2025-2026,2025-2026_t
MACD翻红,-0.0011163332965224981,-7.13377640038621,0.0012151399860158563,-3.7753436046716753,-0.002497267909348011,-3.8198528307151878,-0.0006309677846729755,-4.887874940900207
MACD翻红+VR>1.1,-0.003590354463085532,-7.032227778243573,-0.00014565064338967204,-4.7222391490804,-0.0038771233521401882,-2.640283656187122,-0.0038653698284178972,-4.965638723176931
MACD翻红+缩量,0.0006429054192267358,0.4408359876014283,0.0026800574269145727,-1.486976662791897,-0.0012778962263837457,-2.491241071018509,0.00011795121099567041,-2.5060353496912606
底背离+翻红,0.002318662591278553,-3.8225030931320014,0.006162411533296108,1.054581640353209,-0.003870726330205798,-0.3687858558430117,0.012856236658990383,-1.9860377293811222
