entry,exit,seg,n_sig,cagr,mdd,win,exw,t_exw,n_days
R1_去低波,XA_固定持有5日,训练2015-2022,107084,-0.546781974055314,-0.9988935846336989,0.4667738478027867,-0.0035226432768383675,-13.384176735316569,1947
R1_去低波,XA_固定持有5日,验证2023-2024,26595,-0.3355727260423097,-0.5852756176763552,0.4369747899159664,-0.002080195088265649,-4.927906040707928,484
R1_去低波,XA_固定持有5日,测试2025-2026,43698,-0.3183884131502074,-0.5624774333372902,0.4844124700239808,-0.002355157831070506,-5.6845037631427875,418
R1_去低波,XA_固定持有10日,训练2015-2022,107084,-0.331441302033491,-0.9813639922571781,0.498416050686378,-0.0018978695095718927,-8.699038606461006,1947
R1_去低波,XA_固定持有10日,验证2023-2024,26595,-0.12883181742951777,-0.4458187740980214,0.4772727272727273,-0.0009352954590415957,-2.731049349799947,484
R1_去低波,XA_固定持有10日,测试2025-2026,43698,-0.10323415936558133,-0.3855815668690291,0.513189448441247,-0.0012706824797950919,-3.3378477824764086,418
R1_去低波,XD_ATR2倍止损,训练2015-2022,107084,-0.33380355660946415,-0.9818626935940854,0.5005279831045406,-0.001910598339389413,-8.733820048323995,1947
R1_去低波,XD_ATR2倍止损,验证2023-2024,26595,-0.14419253951138877,-0.4621609435640035,0.4772727272727273,-0.0010097195677638202,-2.912040404475936,484
R1_去低波,XD_ATR2倍止损,测试2025-2026,43698,-0.11818397404387238,-0.39441458857671297,0.5203836930455635,-0.0013386901470065196,-3.5476100305044467,418
R1_去低波,XD_ATR3倍止损,训练2015-2022,107084,-0.32707300568275277,-0.9804035530922112,0.5,-0.0018711269233078367,-8.579119142321431,1947
R1_去低波,XD_ATR3倍止损,验证2023-2024,26595,-0.13512852375389994,-0.45311361774171544,0.4793388429752066,-0.0009664968370700356,-2.8133825266077594,484
R1_去低波,XD_ATR3倍止损,测试2025-2026,43698,-0.1058628068550761,-0.386938231165352,0.5179856115107914,-0.0012816103115762618,-3.3483210796954457,418
R2_去没涨,XA_固定持有5日,训练2015-2022,40472,-0.21816720847933624,-0.8994371397350024,0.49524940617577196,-0.0014509111578702761,-6.483609796691349,1947
R2_去没涨,XA_固定持有5日,验证2023-2024,11484,-0.19733069190259722,-0.4694550652459928,0.4638949671772429,-0.0010290032968218433,-2.3647069664062235,484
R2_去没涨,XA_固定持有5日,测试2025-2026,15123,-0.24971041475723832,-0.4265457560428694,0.5012048192771085,-0.0019938732770208804,-4.72828373715478,418
R2_去没涨,XA_固定持有10日,训练2015-2022,40472,-0.13454561300055945,-0.7614875591725565,0.5063291139240507,-0.0010684239022364247,-5.307098330666693,1947
R2_去没涨,XA_固定持有10日,验证2023-2024,11484,-0.09429695759185086,-0.3719708988898073,0.4817987152034261,-0.000751007689511102,-1.828520120043951,484
R2_去没涨,XA_固定持有10日,测试2025-2026,15123,-0.06200068473764009,-0.20959589338235585,0.5275779376498801,-0.001165279707005955,-2.818085068651453,418
R2_去没涨,XD_ATR2倍止损,训练2015-2022,40472,-0.13512465608579138,-0.7615647930509832,0.5109447004608295,-0.0010741085841383152,-5.261184270409435,1947
R2_去没涨,XD_ATR2倍止损,验证2023-2024,11484,-0.10843165008976274,-0.34308585643123235,0.48394004282655245,-0.0008295046547333566,-1.8626563087322043,484
R2_去没涨,XD_ATR2倍止损,测试2025-2026,15123,-0.09072493826901795,-0.23381946309993773,0.5203836930455635,-0.0012927047663110092,-3.09905249831349,418
R2_去没涨,XD_ATR3倍止损,训练2015-2022,40472,-0.12384444561815255,-0.7378766969027852,0.5083477259643063,-0.0010406332372550388,-5.135788668586151,1947
R2_去没涨,XD_ATR3倍止损,验证2023-2024,11484,-0.09486819863109341,-0.3516695037477666,0.4860813704496788,-0.0007626783680659497,-1.8093483700510542,484
R2_去没涨,XD_ATR3倍止损,测试2025-2026,15123,-0.07800197895154426,-0.22273807973222293,0.5251798561151079,-0.001235163474430006,-2.9712876618416737,418
R3_仅超跌+缩量,XA_固定持有5日,训练2015-2022,135449,-0.5615688189840833,-0.9990005579787499,0.4650793650793651,-0.0036693783002621715,-15.575262801592954,1947
R3_仅超跌+缩量,XA_固定持有5日,验证2023-2024,35097,-0.2981839953453791,-0.5429843169974831,0.44166666666666665,-0.001965918432373846,-4.321117698526702,484
R3_仅超跌+缩量,XA_固定持有5日,测试2025-2026,56335,-0.3185125428984824,-0.5574897670473383,0.48201438848920863,-0.0023418251395997455,-5.356489452622637,418
