cost_mult,cagr,total_return,mdd,n_trades,total_fee,final_eq,avg_hold
0.0,-0.24591205496659774,-0.9642816328125,-0.981522449168288,4822,0.0,35718.3671875,11.827872252177519
0.25,-0.26361749974913773,-0.973017951171875,-0.9858985267083006,4832,31079.20703125,26982.048828125,11.802152317880795
0.5,-0.27349699482259304,-0.9769949765625,-0.9879507810511384,4841,61269.8671875,23005.0234375,11.776079322454038
1.0,-0.28242702552623167,-0.980120259765625,-0.9893765843000871,4843,115989.1953125,19879.740234375,11.77121618831303
2.0,-0.3871316332559934,-0.9969115568847656,-0.9982798777762092,4150,199532.75,3088.443115234375,11.93277108433735
