tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S ret20 D2~D6 | 全市值,5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.0005143061786043975,-1.1403850717228907,0.025189157946480713,-0.0021918691927567124,0.4914717261673076,1.4744177575629416,1.5148843621561023,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
S ret20 D2~D6 | 最小10%,686551,0.38886799033571995,-0.524624999064679,1.1943168204297974,0.37920358844143787,240.63298245614035,0.0008333252308705397,7.911443808295633,0.001303592926656083,0.0,0.49900700491685673,1.16685775615546,1.089969890123552,0.0036364539767565715,13.637749887825539,0.005996330201473809,0.002767563331872225,0.5231379333522314,1.355913907680061,1.1989329638460549,0.006317812034160241,15.854415496901066,0.011456755740430206,0.005802713800221682,0.5376713482199993,1.4912741562965453,1.2555520165823544,0.011506827973349855,17.566828026573265,0.023721042314414003,0.009988947305828333,0.5429085272959349,1.7322830123386985,1.439830371372974,0.020894719206351893,18.963351994023878,0.04576721792507277,0.011013130657374859,0.5343785762313368,2.0510964536048313,1.772032572367555,0.026860864175695255,20.670512313588112,0.06158212461797874,0.011185167357325554,0.5305599735918135,2.2148954840945807,1.9466252674558575
S ret20 D2~D6 | 10-30%,1271100,0.2761613759774373,-0.5429084498187666,0.9204543115401886,0.29643393600250356,445.5470175438596,0.0005024540614503211,6.003865687846448,0.0011033205764712168,0.0,0.4957438480905396,1.133202903176098,1.0748074004340338,0.002334890064331951,12.258424470753624,0.005423527828612879,0.0023015019251033664,0.5162157982524936,1.3027219092327411,1.18514431526679,0.0042253599961748125,15.339097247286718,0.010683016870186923,0.005033547058701515,0.5302455927263181,1.4357900667976542,1.2461188749850842,0.006819473402181408,16.16970623653026,0.019874529110249634,0.00862068124115467,0.5360248427468108,1.5864775616843898,1.3555009197323848,0.008727407427551728,14.271674981224786,0.03424200829705853,0.00818238127976656,0.5243713483456789,1.7492109910565647,1.572950268748549,0.008686575172637616,11.75993635188966,0.04502496528526069,0.006768140010535717,0.5169612074552195,1.8330542654048596,1.7007246196878847
S ret20 D2~D6 | 30-70%,2096164,0.17650193292873584,-0.544093164023727,0.6637216793099854,0.2159743935339525,734.7831578947369,0.00018081754724801787,3.2744227656852085,0.0007943364150559018,0.0,0.48539585852276745,1.0856917792027792,1.082851737174629,0.0006513137969095406,5.223432570845136,0.0038546349078825036,0.0,0.4939593359240805,1.188708018697222,1.1874149635458073,0.0009401935506991736,5.250336479206961,0.007387949654995408,0.0,0.4993691556952528,1.260365963309044,1.2418492426588565,0.00026492898915175285,0.9014438142278923,0.013259880492557215,0.0,0.4963116440156515,1.334365766341487,1.3396134418985084,-0.003265700453418018,-6.9373061650093755,0.022285710622240284,-0.004582133376970887,0.48409672373210916,1.4128368023466789,1.4947954200090154,-0.0075157960367109415,-11.660663195255689,0.030137113310461584,-0.009531259536743164,0.47373653074940364,1.4702071836272528,1.6239135929323336
S ret20 D2~D6 | 70-90%,839644,0.050345640021092875,-0.6836078002638788,0.3149338361375016,0.1028839303462874,294.3235087719298,-0.00027126087175533085,-3.63788224367758,0.00027957767634401826,0.0,0.477289579910875,1.0269140736636513,1.0731912677885527,-0.0013365012812576323,-7.444399215154419,0.0016231898129473617,-0.002620303654111922,0.4722246780772328,1.0694365303884037,1.1726509154145173,-0.0027513356360915086,-10.33782863548685,0.0030349474097240694,-0.004587132483720779,0.4694891878841036,1.0919094347949063,1.218597492451581,-0.005927258132702294,-14.493189122263406,0.006203472514873819,-0.009335163980722427,0.46079198019145845,1.1339604328779276,1.3166509612618174,-0.015020439813347837,-22.03128384216666,0.010744344548822966,-0.0173913249745965,0.44856633095769677,1.1687728802783828,1.4297583478773315,-0.023570476780722462,-24.349478469042204,0.01575947722260517,-0.02432433981448412,0.44016613339896626,1.2096879743564937,1.5327616058483575
S ret20 D2~D6 | 最大10%,353263,-0.030889782258094134,-0.7679753790634325,0.06752174291125164,0.022032817704989823,123.8080701754386,-0.0005944626888991602,-3.9790888997940748,-0.0001377905179314948,-0.0007061536307446659,0.474602738250773,0.9876263522649767,1.0540499966417745,-0.0028724215631635783,-8.012685397594947,-0.00037151279353155275,-0.004178269300609827,0.4616669459965401,0.9853418146660073,1.1324137294847274,-0.005560431385386396,-10.417941874374149,-0.00041460388577139605,-0.007547200890257955,0.4545744632356293,0.9884711829166913,1.1750300021804445,-0.01107034840945198,-14.404149158848892,0.000685913950024157,-0.014011611696332693,0.44447469478993523,1.0136531970828813,1.2596893336713275,-0.022669044231418616,-20.806419205480967,0.0038604976279756217,-0.02325848862528801,0.434539637934438,1.05669667917966,1.3701088832673118,-0.03228269349375053,-22.40834713157578,0.007479700945463825,-0.03134471736848354,0.4262559875236716,1.092456837980193,1.466563970307975
S ret20 D2~D6 | 剔除最小10%,4560171,0.157652267115586,-0.5511092750591049,0.6185115518037234,0.1982116668282051,1598.461754385965,0.00010981115746001062,2.1995427872571174,0.0007134815163140936,0.0,0.4859516254223359,1.076348346852756,1.0735318048776723,0.00041669472913705553,3.603119453197702,0.0035539507994417742,0.0,0.4936619682683804,1.1720995321274073,1.1732651528554343,0.000594319910394325,3.4909677317863115,0.006901798376207819,0.0,0.49901349310327264,1.2401397134881207,1.224629677988323,2.704748631581425e-05,0.09546324735324227,0.012834821426312629,0.0,0.49684888386424597,1.3201560912489947,1.3231411653545835,-0.0035749956003256127,-7.5188111625589364,0.022083879335756694,-0.004313240759074688,0.4849969795733146,1.4049384277747867,1.481691302611999,-0.007932476579782643,-12.005406706825566,0.02990318385138559,-0.00871727243065834,0.47597294083438085,1.4627623622690933,1.6017365462419624
L 深度超跌 | 全市值,1737367,0.22106142934528306,-0.502219295108467,0.7431709742547719,0.2622903657505229,617.5320284697509,0.0004390615888480096,3.704474862162381,0.0009472051225170606,0.0,0.4880090360838258,1.0917501419831286,1.095878248681242,0.001646450955078341,5.828572466811845,0.004363596899511823,0.0,0.49204121067179635,1.191673590267899,1.2081697580385529,0.0021948519668028134,5.715574187354268,0.00797812642158814,0.0,0.49551624698027935,1.2530910892625666,1.2600775896281622,0.0021941424922075877,4.029230287097763,0.01429003122744111,-0.0012706362176686525,0.4929552779370962,1.3269080355455065,1.3535952824681559,-0.00290232591251421,-3.879595000698359,0.020799024959311137,-0.0073782457038760185,0.4782055048312833,1.3479943321809986,1.4628535098535034,-0.008694242439090895,-9.570683474192148,0.02442691305513359,-0.01610642485320568,0.4609091249819292,1.3387328045053208,1.5590798005634785
L 深度超跌 | 最小10%,135513,0.5397610364432723,-0.4639594669695397,1.4009113785581182,0.49385090973683426,48.19608540925267,0.0013779000913262003,8.14481643889939,0.0017997376631833624,0.0,0.49776639026515346,1.1935475421493864,1.1352980737431224,0.005599474557320707,12.841650096609882,0.00842379095342806,0.002625539666041732,0.5176968908469965,1.4285902627455436,1.3001389200284148,0.00902069941609443,14.712847678334382,0.015079845941058392,0.005529580404981971,0.529963599775088,1.5628783848606596,1.3635913180843966,0.015723438557090633,15.156171572611765,0.028223348506128315,0.007776075042784214,0.5295478646486069,1.7563632649385115,1.5436831664646031,0.02395558513809819,13.336970435159229,0.04329860706527834,0.002155145979486406,0.5048668147331078,1.8398011001131636,1.7914567547012734,0.025772695362924498,12.941235179141414,0.04865977974256568,-0.005600932985544205,0.483917072877174,1.7810860506378037,1.8884551117970356
L 深度超跌 | 10-30%,328528,0.3511777906288682,-0.5026525016411217,1.024863051264986,0.3647943810540051,116.84128113879004,0.0008546536172357236,6.382871574053619,0.001549397659458267,0.00017724317876854911,0.5001218308743802,1.163289117294579,1.1032833998034088,0.0037187106661614035,11.655523288867796,0.007068246600003237,0.0022002282785251737,0.513711664674165,1.3463060629783081,1.2464944335081394,0.0062006298616666886,14.362454735111704,0.012969696101599596,0.004926059627905488,0.5254802553217481,1.4695912456449087,1.3070426225302134,0.009853276943940127,15.524865574680067,0.023402317743541366,0.007615567883476615,0.5282073108744512,1.6195634998392678,1.4311059186246011,0.010216029283718061,11.740731065743725,0.034399755061328155,0.005215134937316179,0.513512764023479,1.6751808562362311,1.5759413322192606,0.010070944249557425,9.18797135686051,0.04317402019036915,0.0016778772696852684,0.502714082397237,1.7141495299502945,1.6865401510026181
L 深度超跌 | 30-70%,750720,0.228056802623543,-0.5020217072581215,0.7533875915624435,0.2700782138486298,266.8804270462633,0.00047063662031858293,3.9656178299395553,0.000934165457115516,0.0,0.48699618899796515,1.0914275805777265,1.0985490622378902,0.0016616618997384856,5.935770275163397,0.004177814274728546,0.0,0.49103651000434245,1.1848644401656578,1.2052438867194017,0.002190786207980685,5.764784425684957,0.007660863070499138,-0.00025676662335172296,0.49330871493853656,1.2446441251508524,1.262065413389252,0.0014193557627889977,2.6200738938944546,0.013271810974963171,-0.001883227378129959,0.49069968543943665,1.3050902747770332,1.343086985931206,-0.0043665600964844535,-5.907942433863803,0.018895650884415888,-0.008361218962818384,0.47515609801161834,1.3187876705333603,1.4483735069518981,-0.010642134639685141,-11.547364399635697,0.022514447892908667,-0.017692331224679947,0.4564340667721045,1.3144298327172133,1.5582396423743157
L 深度超跌 | 70-90%,359838,0.07950149206310964,-0.6504114597708068,0.39325612939176235,0.14306224555919764,127.83274021352314,-4.4336608470544644e-05,-0.3107622822538018,0.0004287846031170563,-0.00028966827085241675,0.4806853929456307,1.038494424166516,1.082225380041783,-0.0006212007011797252,-1.8581704188468922,0.0020626691894328236,-0.0027099904837086797,0.47510084812997955,1.0825431341663379,1.17865942417752,-0.0022148027712215485,-4.709482242237699,0.003817398012339316,-0.004688572604209185,0.47282534001632415,1.1087480085066725,1.2242432778489665,-0.005645114330923236,-8.53685974373234,0.007182587462117489,-0.008828992955386639,0.466569208496392,1.1470708182144496,1.30304686711162,-0.016687499535404972,-18.683894027611156,0.009761262524722527,-0.01716412603855133,0.4542422874687718,1.1449123145299205,1.3698297427316148,-0.027279138442256122,-26.237216530905258,0.009805749888187052,-0.02817872352898121,0.4366779733928608,1.120814093305794,1.4411394129646697
L 深度超跌 | 最大10%,162768,0.04831173479063322,-0.715294130752602,0.31166614540070053,0.1127589863034167,57.781494661921705,-0.0001671980724134641,-0.8133887185989811,0.00022554619265030838,-0.0008653070544824004,0.47625734451794094,1.0195201448704183,1.089502724647112,-0.0011207432125589457,-2.232032181347027,0.0014330580820286231,-0.003960366826504469,0.46876354137004617,1.0551248739220571,1.1826873462991643,-0.00360409761023343,-5.033518746088733,0.0025358149571140577,-0.006201164796948433,0.46606966041636827,1.0695016574784304,1.215520122439008,-0.00909051498916856,-8.977788967350278,0.004309704970873488,-0.011269785463809967,0.4586916665091576,1.084598759499542,1.2736035457993429,-0.022448439420510134,-17.745542270607594,0.0067428282510494115,-0.01971089094877243,0.4496374511953532,1.0955256108156035,1.3370023612875346,-0.03542708155995026,-22.109312086268318,0.006245357847364572,-0.033362237736582756,0.4293776201225411,1.0718079980979591,1.4209686719657555
L 深度超跌 | 剔除最小10%,1601854,0.1999767508246928,-0.5172027984220254,0.6921872656919053,0.24552121115248368,569.3359430604983,0.0003710727692279969,3.078160618476219,0.0008750355508521392,0.0,0.48718304524094375,1.0840530094594065,1.0930824728720954,0.0013396288788601418,4.678585754254015,0.0040194148978125906,-0.0005155105609446764,0.4898663827595347,1.1745333158029594,1.2017097482016843,0.0016472193279720832,4.1965453261399075,0.007374949968402066,-0.0006406150059774518,0.4925905003320969,1.2310110205767373,1.2528451306532755,0.001027823450721448,1.8531634481270405,0.01310276351175332,-0.002150526735931635,0.48983719801634845,1.2960548883068064,1.3389800135380594,-0.0051472472871139496,-6.783741755288832,0.018869354827841956,-0.008237246423959732,0.4759189053228529,1.3120323827581206,1.4371352840474225,-0.011495465748425134,-12.348706874520396,0.022345831650337926,-0.01707782782614231,0.45893323772331884,1.3062938731854932,1.5336405080583846
