tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S ret20 D2~D6 | 基线,5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.0005143061786043975,-1.1403850717228907,0.025189157946480713,-0.0021918691927567124,0.4914717261673076,1.4744177575629416,1.5148843621561023,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
S ret20 D2~D6 | rs_mkt20 D1 最弱,1,-0.0025784506087751513,-0.028985479703797723,-0.29626726898333955,-0.002544180036696979,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ret20 D2~D6 | rs_mkt20 D1~D3 弱,2098415,0.17175135889028992,-0.5207001034575289,0.6442751472410111,0.21423296440452944,735.8002808002808,0.00016834447013655386,2.0844232528896085,0.0007454820266862465,0.0,0.48919593854872523,1.0798384851637552,1.0651998413223216,0.0007787945505287608,4.410371686850013,0.0037788167865180056,0.0,0.4954704845376988,1.1829584908979947,1.1770171759387693,0.0013514387465410284,5.62270156810545,0.007471848540003956,0.0006766199367120862,0.5013096845735163,1.2607836348422774,1.2345752092564615,0.0019046413888554761,5.088048861616084,0.014642114458364365,0.0009999875910580158,0.501915780783623,1.3672939950309306,1.3431225030367,-0.0002053360956941474,-0.3584868119673358,0.025746244813544174,-0.0020964480936527252,0.49201846179299336,1.4769767707464725,1.5149147514015124,-0.003907127406385667,-5.048674252095732,0.03393013731366117,-0.006705014035105705,0.48154273737702,1.5287358514849219,1.6374111813727672
S ret20 D2~D6 | rs_mkt20 D4~D7 中,3147412,0.19361611021189495,-0.5116489907813692,0.7246693322525238,0.22610440286033578,1103.6258336258336,0.00021581712693053315,4.758716861401405,0.0008252042554501921,0.0,0.4867032628020215,1.0915560488548526,1.0809458273589592,0.0008133152075514439,7.2793029165057535,0.003930045907037509,0.0,0.49881607436391484,1.1982579428677518,1.1725491289917391,0.001211719649509747,7.112255700280048,0.007507619619273407,0.0015588601818308234,0.5058900810019927,1.271797644604495,1.2200549646162029,0.0011189042908846445,4.147823137456263,0.013971483855813958,0.0014275494613684714,0.5034058475505899,1.362244378809406,1.3291587909242304,-0.0007887101970588161,-1.8295441339892116,0.02473233030668446,-0.002293583005666733,0.49096539351213514,1.4709009253090877,1.5138585799464128,-0.0034585732078201287,-6.019797603987152,0.03397465188006795,-0.005398105829954147,0.4840322262907348,1.5489300599953242,1.641520600066746
S ret20 D2~D6 | rs_mkt20 D8~D10 强,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ret20 D2~D6 | rs_sz20 D1 最弱,187671,0.3246731369203264,-0.5178697872837589,0.9969350278230547,0.33990513858773996,66.27067137809188,0.0007110585302641943,5.932980169701514,0.0014914466761153432,0.0006353252974804491,0.5042549561174325,1.1545950395005053,1.079633227290281,0.0026589076420183723,9.133265915914174,0.006658847897920392,0.0007587044092360884,0.5027952368736104,1.3200321824993102,1.2790736500441893,0.004417594020057137,10.363434614766685,0.01073274891156541,0.0014763843500986695,0.5054959792713871,1.3592987933136882,1.310555087845022,0.005232427784033085,8.22237859221748,0.015517386528369759,0.00028429740632418543,0.5001564928337074,1.3548401260060867,1.3419765632841214,0.0033945120718520123,3.830493381147475,0.017300028760302143,-0.009569557383656502,0.47271548503362487,1.2696211753833264,1.4088046399712473,0.004056669212425148,3.4173099043199433,0.0325299948663731,-0.00728727295063436,0.4818378330194881,1.4540764985271266,1.5574239176357354
S ret20 D2~D6 | rs_sz20 D1~D3 弱,2090164,0.22540165775998555,-0.5213785483078845,0.7854822954071039,0.25753554116751515,737.8265017667844,0.0003794595686651681,5.157455081740253,0.0009184684071034272,0.0,0.49271544872749634,1.100973913318104,1.0680500189920694,0.0016143350101351821,9.67518588798616,0.0045002109991476675,0.0006214404129423201,0.5015495609977081,1.2247763417219522,1.1878269292961239,0.0027107961981290554,11.603462631003142,0.008625875106971343,0.0018680323264561594,0.5078758113962076,1.309793536471397,1.2480663762919442,0.0036230436380479012,9.997826477109125,0.015890884722341493,0.002313032280653715,0.5072019575320009,1.407723280902359,1.3532516612249392,0.0019329529024583528,3.6594993577963497,0.02646994317097815,-0.0011856621131300926,0.4945845570828775,1.4984430617423596,1.5207693067605355,0.00020174768580522815,0.28475036503387874,0.03534651526071135,-0.0042918771505355835,0.4874510061356779,1.56291150134029,1.634484313361145
S ret20 D2~D6 | rs_sz20 D4~D7 中,3065838,0.14484607472300826,-0.5621304331067786,0.5891227245694409,0.18494969123680163,1082.2109540636043,8.724747621754997e-05,1.8050833182659693,0.0007111048422703582,0.0,0.48440912580155077,1.0777794581025824,1.0784986659530045,0.0002939547179577274,2.516610265192211,0.0034683886818129375,0.0,0.49513597481058536,1.171833042553386,1.1644492417098586,0.0003314551676664328,1.860292068501502,0.006851801901181545,0.0008936413796618581,0.5021126384087272,1.244465215680694,1.2126284464981827,-9.069676789733262e-05,-0.31491107392994117,0.013291749883814945,0.00038609281182289124,0.5003179431697599,1.3409877723987276,1.325017794578931,-0.0025079554017669674,-5.321573672660839,0.02304740557049403,-0.003220630926080048,0.48797139747346124,1.4345637958979387,1.4944548031951006,-0.006009771273163632,-9.352256127090635,0.03008749727892092,-0.007653065025806427,0.47781927177530187,1.4790529098573582,1.6071380066902152
S ret20 D2~D6 | rs_sz20 D8~D10 强,71824,-0.0767143225441208,-0.800488410920336,-0.19913918402444203,-0.04915542115609728,45.14016341923319,-0.0008258072599011181,-3.3363037879063597,-0.0007081565399513225,-0.001206263666972518,0.4624188921997271,0.9359213420667762,1.0404762405632455,-0.0032660552797868082,-5.412680125393527,-0.002768279271454,-0.005722064524888992,0.4465026612463853,0.8903125814857387,1.0856621257557932,-0.0053227277403533075,-5.932807063644744,-0.00852608572930358,-0.012238814495503902,0.4228460576071524,0.7744670281657114,1.0456849694787966,-0.01023090799588487,-7.853969886110914,-0.016795568577373885,-0.02338348887860775,0.39661678042989784,0.6975372157153931,1.0534265936533485,-0.022018715273794242,-11.663877081920297,-0.006576986497394881,-0.028818447142839432,0.4133375369694786,0.9064971882104416,1.2812520551366093,-0.03367315394141086,-13.615932552268818,0.009455891676513874,-0.023529458791017532,0.44333989952204256,1.1179675939820108,1.3992596848454624
S ret20 D2~D6 | rs_mkt60 D1 最弱,619403,0.23983529956221017,-0.47710389279667753,0.7901345437136301,0.27658921384817864,220.32680669277323,0.0004990927863976604,3.9757835604921405,0.0009256683468924744,0.0,0.486855669270219,1.0940328808635211,1.0993811568596978,0.0019215365472214148,6.4864410717014795,0.00446891856721236,0.0,0.49353130099199666,1.205110740339839,1.2128937834384403,0.0026151971882295132,6.2314322357397085,0.008006493313576704,0.0,0.4974088891413547,1.2645547987739207,1.2611425028075613,0.002157941713314692,3.5769543473488987,0.013826290794789826,-0.0007527127163484693,0.49429357750299996,1.3294035812955038,1.3480529071938383,-0.0032076313434448098,-3.8472023777979114,0.019977778728955658,-0.006504007615149021,0.47974505743791296,1.348674424018648,1.4539968876982052,-0.00831966704307923,-9.07123242631439,0.02396341114665808,-0.015854373574256897,0.45936751037586954,1.3453311296898987,1.5759964974634775
S ret20 D2~D6 | rs_mkt60 D1~D3 弱,2067854,0.20239220416540027,-0.4992013375140054,0.7262989602746562,0.23867950738382385,735.5809896760413,0.00034533704710765955,3.851466478558842,0.0008503062501544863,0.0,0.48875570055274126,1.0945697116346131,1.0792028802256919,0.0014217713117254495,6.796281379270464,0.004182364530305074,0.0,0.49890523972244094,1.2102647446291073,1.1867243897823003,0.0020516893626060764,6.773381873566675,0.007816201338508086,0.0013558819191530347,0.5047516056991079,1.283177196486812,1.23834221667015,0.0021166760574908173,4.7346416665459605,0.013872143932906466,0.0008394562755711377,0.501393546245723,1.3596443080492406,1.337895981862487,-0.0009475309797726054,-1.4926206566076052,0.021370902916285222,-0.003291483852081001,0.48783022633531925,1.4046158001625906,1.464368964408675,-0.004457807162062171,-6.222959648995987,0.026859230399397246,-0.009480779059231281,0.4729287300513114,1.4241568107090852,1.5784379622555846
