threshold,n,pct,ex5,win5,ex10,win10,ex20,win20,ex60,win60
>=30,6111479,0.659114780409896,-0.00014226661773305584,0.4848319040284684,-0.00022008065767495626,0.4917933940376789,-0.000744704707868277,0.48205450759137025,-0.0007322472515628987,0.4462798612250815
>=40,4849577,0.5230203489917715,-0.00035303013570995304,0.4838865327841995,-0.0005388284161087378,0.49208374256146464,-0.0011170403160706088,0.48305037738342954,-0.0007901743061947848,0.44401913816400895
>=50,3680763,0.3969653330210036,-0.0007392046600833869,0.4788333288505671,-0.0010937118387220946,0.48752147312934846,-0.0018013000878252807,0.47992821053678275,-0.0016248170891484195,0.440029146130843
>=60,2478253,0.26727624882539336,-0.0012548087829472956,0.47057947675237355,-0.0016369447190183292,0.47887725748743165,-0.0025330945050055357,0.47262930782288975,-0.0025196057521561415,0.4369162470498371
>=70,1186173,0.12792716074507457,-0.0028796836270482094,0.45965048943113695,-0.0035883473661165064,0.4690900905685764,-0.005090610526663723,0.4646463880057968,-0.005640531813863736,0.428702221345453
>=80,396153,0.042724567588912854,-0.005448389695397944,0.4384013247406936,-0.007158120679736351,0.44566367034958715,-0.009637799603945002,0.44306618907341355,-0.01240986307243239,0.4094680590579902
>=90,34270,0.0036959733518919296,-0.011583025600195281,0.4088707324190254,-0.017688238097001874,0.40072950102130145,-0.023347959076183738,0.3984242777939889,-0.03519834108109879,0.3697402976364167
