entry,exit,n_sig,avg_hold,cagr,mdd,win,sharpe,exw,t_exw,n_active_days
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,59380,4.993263725159987,-0.2615048511587923,-0.9771793472096626,0.48234827449424833,-1.3806763328123175,-0.0016096807365663635,-8.375909524343061,2521
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,59380,9.977231391040755,-0.14488094830884635,-0.887538069720173,0.5034562211981567,-0.6342693378606999,-0.0010787919845121827,-6.402812147558385,2604
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,59380,9.368693162681037,-0.1476252013981797,-0.8914639901257094,0.5032679738562091,-0.665256341886345,-0.0011085955691174218,-6.436155055381282,2601
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,59380,9.761535870663524,-0.13989040043214251,-0.8797713801633622,0.5051863234729159,-0.6153822476823022,-0.00107291397881191,-6.313360934576585,2603
R1_去低波,XA_固定持有5日,177377,4.994965525406338,-0.4838775743056203,-0.9997712849297842,0.46429865893439654,-1.7920129331534773,-0.003097327304150505,-15.29136075481291,2759
R1_去低波,XA_固定持有10日,177377,9.98140683403147,-0.2681381881620427,-0.9897556180474671,0.49695885509839,-0.7750520805595738,-0.0016376108935169413,-9.677053461724956,2795
R1_去低波,XD_ATR2倍止损,177377,9.496338307672358,-0.27385868569544614,-0.9906432215648071,0.49946332737030413,-0.7984308313394536,-0.0016692705963874618,-9.83965123554178,2795
R1_去低波,XD_ATR3倍止损,177377,9.819193018260542,-0.26611083274051106,-0.9894358509777063,0.4991055456171735,-0.7671294840354298,-0.0016265224908101042,-9.60528793493221,2795
R2_去没涨,XA_固定持有5日,67079,4.991293847552885,-0.21791371518043623,-0.9618969121667101,0.49061032863849763,-1.119199733072347,-0.0014636331402444417,-8.12066175037361,2556
R2_去没涨,XA_固定持有10日,67079,9.972167146200748,-0.11662951642165853,-0.8375901829922767,0.5053394355453852,-0.4813411544940578,-0.001027293276472187,-6.198323405274195,2622
R2_去没涨,XD_ATR2倍止损,67079,9.363094261989595,-0.1233472975796891,-0.8502561694261607,0.5076335877862596,-0.5323792648878805,-0.0010653011692275895,-6.256639992295334,2620
R2_去没涨,XD_ATR3倍止损,67079,9.7555717884882,-0.11155999602524169,-0.8265859919215804,0.507058374666158,-0.4619589959701121,-0.0010220579549164875,-6.104451614949318,2621
R3_仅超跌+缩量,XA_固定持有5日,226881,4.993957184603382,-0.4906925999357048,-0.9997673474062907,0.4635809113742375,-1.829146492989994,-0.003177361649891656,-16.721309562919835,2787
R3_仅超跌+缩量,XA_固定持有10日,226881,9.978367514247557,-0.2704411109855296,-0.986380608963007,0.50124599501602,-0.7978520540408384,-0.0016797785415654505,-11.397841101670123,2809
R3_仅超跌+缩量,XD_ATR2倍止损,226881,9.50456847422217,-0.2772243359851688,-0.9877473917997138,0.5044499822000712,-0.8276651845778317,-0.00171799637066109,-11.600161250429162,2809
R3_仅超跌+缩量,XD_ATR3倍止损,226881,9.82021852865599,-0.2687146932907035,-0.9860191174373824,0.5030259878960485,-0.7916773217306543,-0.001670640307362936,-11.314977364068177,2809
