threshold,2015-2018,2019-2022,2023-2024,2025-2026
>=50,-0.0026051633556168326,-0.0013750317640936782,-0.0021508674776798643,-0.0013045077960800264
>=60,-0.003290815917499928,-0.002014071381266001,-0.0030930252532752533,-0.002078689388786311
>=70,-0.007011647766312608,-0.003904561521922114,-0.0063533874454306406,-0.004037390382520365
>=80,-0.012415500919201938,-0.00981906804805581,-0.010478624859820488,-0.0061783965416962175
