tag,cagr,mdd,n,hold,wr,avg_ret,pf,fee
量比降序 + 死叉退出,-0.28242702552623167,-0.9893765843000871,4843,11.77121618831303,0.2958909766673549,-0.016370529308915138,0.6976768396184657,115989.1953125
每日真随机 + 死叉退出,-0.2551953059595229,-0.9837878493841298,5209,10.94375119984642,0.28585141101938955,-0.013160882517695427,0.7439911728107991,139133.90625
量比降序 + 固定持有20日,-0.13026140342524462,-0.9065006846896035,2665,21.443151969981237,0.399249530956848,-0.00911552831530571,0.81100313819332,96934.59375
每日真随机 + 固定持有20日,-0.09909922099395341,-0.9005097438582248,2655,21.534086629001884,0.43050847457627117,-0.006313946098089218,0.831883828875401,100926.359375
量比升序 + 固定持有20日,-0.02139290883982381,-0.7301197980049914,2644,21.625945537065054,0.4455370650529501,0.0024337857072876078,0.9717949125292094,158500.515625
