vol_ma,cagr_train,sharpe_train,n_train,cagr_valid,sharpe_valid,n_valid,cagr_test,sharpe_test,n_test
vol5_vol20,-0.2956882003116482,-1.2468711751195254,3218,-0.24393382317730106,-0.9080505099377322,879,-0.3474680761109141,-1.4647598841955303,718
vol10_vol20,-0.26090543382721476,-1.0623550809602007,3171,-0.2215248087678373,-0.8122095294250775,872,-0.3370560515831681,-1.3930841562243086,729
vol5_vol60,-0.29543063415669757,-1.203600399833877,3277,-0.34260554182866754,-1.4749599925701824,903,-0.31821333571334154,-1.3409249493497477,730
