tag,cagr,mdd,n,hold,wr,avg_ret,pf
VR降序 + 死叉退出,-0.28242702552623167,-0.9893765843000871,4843,11.77121618831303,0.2958909766673549,-0.01637053,0.6976768396184657
随机   + 死叉退出,-0.27232846188104054,-0.9871179892635665,5240,10.871564885496182,0.28396946564885495,-0.014246933,0.7058587173535328
VR降序 + 固定持有20日,-0.13026140342524462,-0.9065006846896035,2665,21.443151969981237,0.399249530956848,-0.009115528,0.81100313819332
随机   + 固定持有20日,-0.095151175535933,-0.8790771696692965,2666,21.43623405851463,0.42873218304576144,-0.005465621,0.8370375044013039
