trend,cagr_train,mdd_train,sharpe_train,n_train,cagr_valid,mdd_valid,sharpe_valid,n_valid,cagr_test,mdd_test,sharpe_test,n_test
ma20>ma60,-0.3219370789990852,-0.9767905143606741,-1.3440980903039081,4050,-0.4070246391741338,-0.7435967105909589,-1.863507411921624,1114,-0.41886813284012137,-0.6281501723723621,-1.715167072667502,950
ma20>ma120,-0.3070333038759455,-0.9663266838371675,-1.270762010863124,3936,-0.408431790540275,-0.7471844504261763,-1.8571807895096455,1121,-0.26593972842188596,-0.4984002154030871,-0.9685148090379726,912
ma30>ma60,-0.30370081733639376,-0.9678496125367743,-1.2875409133861269,4039,-0.3989227046664159,-0.7530279214511559,-1.7811667435165812,1123,-0.34498302958686244,-0.556868261253767,-1.320899818109377,938
ma30>ma120,-0.2634138466074014,-0.9466443840161951,-1.0523117322563462,3957,-0.4483771058479118,-0.7984626340602134,-2.0659919570516623,1143,-0.24557072980391725,-0.47777102082460277,-0.5519888685413564,914
ma60>ma120,-0.3020328824961789,-0.9646555801509041,-1.250649390914216,3940,-0.41006962546680625,-0.7680750130338494,-1.8520937704824338,1107,-0.35618933904014805,-0.5614565056331162,-1.4356635021227422,935
