tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S ret20 D2~D6 | 全环境,5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.0005143061786043975,-1.1403850717228907,0.025189157946480713,-0.0021918691927567124,0.4914717261673076,1.4744177575629416,1.5148843621561023,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
S ret20 D2~D6 | 市场 Close>MA60,3004359,0.09066173980847858,-0.5181293931579329,0.5392950348062951,0.10630194885318181,1875.5828642901813,0.00019552211091000332,3.005424526877908,0.0007719460637715515,0.0,0.4779985842216403,1.092201701544291,1.119903973791169,0.000502922248129466,3.908520293228975,0.001675642047100314,-0.0020325283985584974,0.4730629109902414,1.0846393883857837,1.1787085973086893,0.0004250478062864643,2.1933317285980607,0.003616981100651668,-0.0022026972146704793,0.48062604605180087,1.128569360657357,1.1992591518412268,-0.0009460920744839462,-2.6519795583205537,0.005592870168086134,-0.006576069165021181,0.4676992988315439,1.1363048461709737,1.2800388360322839,-0.004331987330014815,-6.471307218195729,0.007274216248731039,-0.0162036269903183,0.44681690322997836,1.1222611489963739,1.3805998250208076,-0.006856186474989837,-7.321413133459333,0.011770748714481308,-0.019211934879422188,0.44588948202249296,1.1700434163730618,1.4463939543084559
S ret20 D2~D6 | 市场 Close<MA60,2242363,0.08541720007539944,-0.38962192596866163,0.45325900597601526,0.11377237589752683,1792.4564348521183,0.00019936057726310143,2.4718841581063575,0.0008157674777547953,0.0003207257541362196,0.5005813064164901,1.0801551620591394,1.017892165715569,0.0011785260769806793,5.737195520409813,0.006808694651884833,0.00404354534111917,0.5301783528104878,1.330072433618659,1.1486854786454772,0.0023581833510402644,8.166213993632628,0.012658013722610068,0.006493507651612163,0.5352477724854401,1.4537442091001938,1.2403312612456123,0.0044864609415622625,10.845735201545812,0.025707150108538572,0.012873118743300438,0.5493426860891912,1.7042125275700237,1.382448307097415,0.004357487744167114,8.091217342879014,0.049115117869538205,0.01742158643901348,0.5511096263064955,2.1026157710303144,1.6987255334950502,0.000617005321046333,0.8923057958586874,0.06454513162404585,0.014285682700574398,0.5340768646881592,2.1953387194374465,1.903569815304107
S ret20 D2~D6 | 市场 MA20>MA60,3011631,0.0435250156187037,-0.5127579066638034,0.3041316782800324,0.06750966602744117,1870.7710018668326,0.00015883657699108515,2.2782647823891913,0.00029425833017666025,0.0,0.478142611803299,1.0328045336763088,1.061514903789837,0.00037691184711684174,2.407305033869543,0.0017131326006017712,-0.0017093593487516046,0.47720719451645444,1.0849078747704803,1.1606156058324995,0.00013453442483484337,0.599205994030521,0.0023860049649151133,-0.003636361798271537,0.4714411926926952,1.0814237306579428,1.1935092554740472,-0.0008393269682418252,-2.2180957773574974,0.0020396381337320912,-0.009720484260469675,0.4550295646376839,1.0466506339028927,1.2416514109288976,-0.0038189003937210276,-5.766315430371504,0.005041014575272483,-0.0173410689458251,0.4442671323414802,1.0827376469783005,1.346038751208647,-0.006168860042340084,-6.659443601263421,0.010725077454179216,-0.021526489406824112,0.439702484235045,1.153886493664077,1.4628564037706568
S ret20 D2~D6 | 市场 MA20<MA60,2235091,0.13444622230775805,-0.39566471412577775,0.6653901129039389,0.15256465872326747,1798.1423974255833,0.00024681380392321914,3.3388256884246337,0.001458428181848312,0.00029354682192206383,0.5004610550532395,1.1554943362049406,1.0849380448564137,0.0013448365352471275,7.899960901034725,0.006769071749964343,0.0033333301544189453,0.5247419456299542,1.3364066042244112,1.178047265451972,0.002742553690841525,11.09031974361402,0.014319359573898,0.008196713402867317,0.5476172047148095,1.5437656628012184,1.2510574788137978,0.004388904242460006,11.4844489709638,0.03052588233736999,0.016347446478903294,0.5665691114150421,1.9276907753689916,1.456331459224478,0.0037952097199616323,6.846230961435458,0.052655107553513214,0.018564339727163315,0.5558210297906551,2.241362202238144,1.7760105085517235,-0.00020086007679134655,-0.2829077623446405,0.06664662325469721,0.01812000200152397,0.5437908348863669,2.253883917675946,1.8788819215926507
S ret20 D2~D6 | 市场 HV20 > 中位,2450695,0.2480461105023375,-0.5127579066638033,0.9164125088958477,0.26317976623647177,1718.5799438990182,0.00035708321589796645,4.469044600409115,0.0020280338142703224,0.0012658287305384874,0.5122914112119216,1.2012863735047445,1.0823336949211362,0.0016043543769789293,8.51560612563222,0.008888183017440281,0.0048780436627566814,0.5373949022624195,1.4429538938580213,1.2111790733660714,0.0025985077807449256,9.595276094375405,0.015613086051394895,0.00913153775036335,0.5516622835562973,1.5839734444923972,1.2645709724317797,0.0030295861126429058,6.633833941689863,0.024825746599102486,0.011678816750645638,0.5456885052513718,1.6744358574884937,1.3780516393365878,5.0458822157283866e-05,0.06764986651792619,0.03306552552099093,0.004838655702769756,0.5127327761785679,1.6443082960984976,1.551169990134592,-0.0035606847048918404,-4.114963072716726,0.05208568707989169,0.01177460327744484,0.5282727567827935,1.8975703263571235,1.6846838541222606
S ret20 D2~D6 | 市场 HV20 < 中位,2796027,-0.05145891494682453,-0.6547697785638087,-0.3111023104005309,-0.04310544148576314,1959.7787921348315,3.7106230077763394e-05,0.592779212379679,-0.00029588557581489177,-0.00025101477513089776,0.46602943679509806,0.9644674893253175,1.035640497328022,-8.44213896582857e-06,-0.06464107557830026,-0.0005469754421409969,-0.0029970117611810565,0.4623671191408147,0.9729621153714513,1.1033961417525728,-5.759141112379432e-05,-0.29992586189430087,0.00031021229662132486,-0.004878027830272913,0.4619223422729893,1.0106314651873047,1.1579286017431865,-0.00015182757469830597,-0.5102230746319012,0.004813050661311418,-0.007407400291413069,0.4646025174835382,1.117070540689108,1.2745142878054203,-0.0010843191743695837,-2.150398342330054,0.018211645638872228,-0.008069944567978382,0.47263699851869684,1.3331332995695715,1.4774553108861164,-0.003645506453026875,-4.204101931219733,0.018099928694345527,-0.020134208723902702,0.44317894588594575,1.2701132946077576,1.587180374354514
S ret20 D2~D6 | Breadth > 中位,2610077,0.14241029146895712,-0.39536136054903903,0.7508436618037183,0.15440215348068506,1832.3457484188334,0.0005295111302525989,8.169378172956247,0.0012496731886103996,0.0,0.4854872310951635,1.1461884939562916,1.1419536903178273,0.0010034373444215156,6.6231768475631725,0.005004091704468892,0.0005475189245771617,0.5011671556102331,1.259745466250842,1.221492098904306,0.001547869345855414,6.7342842024081815,0.007669081447840571,0.0022271093912422657,0.5104094630360754,1.2780818251146127,1.2043897529275571,0.0016240658185518364,4.345917138765534,0.016055111659506596,0.0032679169671609998,0.5112713541371738,1.418033803168255,1.3410044691272955,-0.0011722299127946525,-1.7762544972654026,0.023431386207552005,-0.003656266489997506,0.48683345511266396,1.4326308882957666,1.499639446130405,-0.005170239073295515,-5.321569805831786,0.03180091912160023,-0.007987233810126781,0.47742056557359414,1.4960762965102508,1.628656819347827
S ret20 D2~D6 | Breadth < 中位,2633997,0.03625030402174967,-0.5161519195247607,0.269101478905341,0.0656721712700236,1845.824807288017,-0.00013416566282285422,-1.7347931171547861,0.0003363427801091109,0.0,0.48981052334251585,1.0345507302374644,1.0155734448514224,0.0005967324510251924,3.4168502375139904,0.0027565934811241036,0.0,0.4939139258209236,1.131079699449919,1.1313773398641003,0.0010042877836817414,4.099350946281198,0.007328755295171748,0.0,0.49780742714993736,1.2573377509924677,1.2477157569609865,0.0012781473702483932,3.168963928937024,0.012490382114376492,-0.00018961841851705685,0.49460468413079806,1.3142468789105444,1.3288363561775638,0.0001357075814124233,0.2206130710207658,0.026905797863908208,-0.00047992978943511844,0.49600146177740595,1.516877651229352,1.530407746294851,-0.002056752358665556,-2.752288030246669,0.036250503132335105,-0.0037647851277142763,0.488685910214806,1.5892894229280363,1.6534626841404951
L 深度超跌 | 全环境,1737367,0.22106142934528306,-0.502219295108467,0.7431709742547719,0.2622903657505229,617.5320284697509,0.0004390615888480096,3.704474862162381,0.0009472051225170606,0.0,0.4880090360838258,1.0917501419831286,1.095878248681242,0.001646450955078341,5.828572466811845,0.004363596899511823,0.0,0.49204121067179635,1.191673590267899,1.2081697580385529,0.0021948519668028134,5.715574187354268,0.00797812642158814,0.0,0.49551624698027935,1.2530910892625666,1.2600775896281622,0.0021941424922075877,4.029230287097763,0.01429003122744111,-0.0012706362176686525,0.4929552779370962,1.3269080355455065,1.3535952824681559,-0.00290232591251421,-3.879595000698359,0.020799024959311137,-0.0073782457038760185,0.4782055048312833,1.3479943321809986,1.4628535098535034,-0.008694242439090895,-9.570683474192148,0.02442691305513359,-0.01610642485320568,0.4609091249819292,1.3387328045053208,1.5590798005634785
L 深度超跌 | 市场 Close>MA60,1019015,0.0732442574534169,-0.5161227451655062,0.44450526725707734,0.09222736987943511,635.968105065666,9.524089375664133e-05,0.7352301410421245,0.0006321681543092297,0.0,0.4775659274687215,1.0685363425860297,1.1143851663244706,-0.0006247025415434159,-2.1793638897373673,0.0004305649860295775,-0.0033047052565962076,0.46515642493921056,1.0194860992683386,1.1506129180716975,-0.002067760282736764,-5.002982770191312,0.0009807839778930682,-0.0046949246898293495,0.4674828850770952,1.0312172190537272,1.1598234730087604,-0.005956390096348151,-10.203794989866187,0.000470663361085699,-0.011737087741494179,0.44896939762310084,1.0102532276578835,1.2298093781124637,-0.013837560013980585,-14.659830387909448,-0.0008729904152329476,-0.024358978495001793,0.428225987928665,0.9869336289153894,1.3111380949903393,-0.01986263755880432,-16.01829876834243,0.00029355807016268005,-0.032336100935935974,0.41805436119170275,1.0036887504260328,1.391411038939065
