strategy,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,impl_cagr,impl_mdd,impl_sharpe,impl_ann_arith,n_trade,win,payoff,pf,mean,med,exw1,t1,exw5,t5,exw10,t10,exw20,t20,exw40,t40,exw60,t60,impl_seg_2015-2020,impl_seg_2021-2022,impl_seg_2023-2024,impl_seg_2025-2026,impl_is,impl_oos
6 +市场趋势(市场Close>MA60),1019015,0.0732442574534169,-0.5161227451655062,0.44450526725707734,0.09222736987943511,635.968105065666,7.897139586421353e-05,-0.7371201314358841,0.1403862879846955,0.039130568759277694,998233,0.4388083743975605,1.207602269175351,0.9442514187320359,-0.0026512050650167396,-0.014713024385080594,9.524089375664133e-05,0.7352301410421245,-0.0006247025415434159,-2.1793638897373673,-0.002067760282736764,-5.002982770191312,-0.005956390096348151,-10.203794989866187,-0.013837560013980585,-14.659830387909448,-0.01986263755880432,-16.01829876834243,-0.2615359628505868,0.24648179588657637,-0.06478750042828985,0.1626931941823866,-0.2615359628505868,0.35538093770904045
7 +MACD改善+放量,279284,0.031166196622465447,-0.7967630761883346,0.26144998051847357,0.08990978666468115,100.0635319454415,0.045069915176556785,-0.6363287368811613,0.29899596781907317,0.09743839618704031,275337,0.5026422166290764,1.3718528358377378,1.386428791001961,0.01707185353162972,0.0007267055486103206,-0.0002513335944668464,-1.3240510545891777,-0.0010473156963938803,-2.546240891828796,-0.0016668092342539674,-3.0366585521779683,-0.004569567107571262,-5.6280218717336465,-0.012487222728743148,-11.188158015588483,-0.019509361862048834,-15.22792934188037,-0.02120376331239482,0.1275170627374329,0.07644051991353895,0.3909603094259382,-0.02120376331239482,0.6882155563849286
8 +MACD改善+放量+市场趋势,191412,-0.0031383149418476863,-0.7049002551661988,0.09344544748802622,0.020262315544001226,119.39024390243902,-0.0404240293940511,-0.7738479308202031,-0.004620125689575265,-0.0013023999720726453,187930,0.4919331666045868,1.3527269024891495,1.3097710477290707,0.013533169669645366,-0.002017474034832098,-0.00041750931903533384,-1.9707084589166415,-0.00227093228303929,-5.105071976284074,-0.004776309348049178,-8.122700901314802,-0.011616616945119297,-12.878552324657361,-0.02089863905351958,-15.23798938590387,-0.027636974681683437,-18.054432411138418,-0.422751096339826,0.18521973800446312,-0.14539519412982171,0.06882211426697915,-0.422751096339826,0.08260402403667566
9 [修正] 深度超跌+小市值30%,464041,0.3992253529636245,-0.4995018506153067,1.1323180526608199,0.39807900538128965,165.0373665480427,0.24178986870125607,-0.4814844725028663,0.8230411899953907,0.27078353712919545,459479,0.5188158762424399,1.4372087673730018,1.5496079134224043,0.021461300797679113,0.004604577765228049,0.0009896027173919412,7.442019047800866,0.004217426615250791,13.012597486638025,0.0069657378422448325,15.812366231432232,0.01161385768557172,17.11977992197709,0.014366941667934119,14.274677944581958,0.01463105702292431,12.348267153078552,2.2157469557996903,0.35598085800295265,0.5377544418030167,0.7581433876934669,2.2157469557996903,2.6660200897225685
10 [修正] 深度超跌+小市值10%,135513,0.5397610364432723,-0.4639594669695397,1.4009113785581182,0.49385090973683426,48.19608540925267,0.29706714428764536,-0.47359210835094023,0.9400477603590393,0.31627156240726567,134115,0.5196585020318384,1.5174851467585821,1.6416946309152702,0.02482797633424038,0.004726277946686899,0.0013779000913262003,8.14481643889939,0.005599474557320707,12.841650096609882,0.00902069941609443,14.712847678334382,0.015723438557090633,15.156171572611765,0.02395558513809819,13.336970435159229,0.025772695362924498,12.941235179141414,3.19057756785502,0.20312738810132247,1.1846393092125558,0.7579232527368798,3.19057756785502,3.6205243981926882
11 [修正] 深度超跌+市场Close<MA60,718352,0.1377292921581572,-0.37650937087365866,0.5952020268827218,0.1700629958710879,593.1890999174236,0.16701199010086287,-0.44859167217492213,0.6622732532995906,0.20023469508169273,713421,0.545920291104411,1.431058789517934,1.7204997617297093,0.030279590926577487,0.013666670085344616,0.0008930411854219962,4.158873215691879,0.004642121186986047,8.879782963335806,0.007799658651941217,11.634129672301235,0.012859272810731306,14.102938588449824,0.011519371948499182,10.721277687664315,0.006285664547009837,5.264833644404302,1.3000550637328856,0.20113201264982528,0.35171021943475256,0.5558472063624833,1.3000550637328856,1.5260461668380758
12 [修正] 深度超跌+市场高波动,807684,0.34135395391866097,-0.47388532813400286,1.0956875082562143,0.3428629186597125,582.3244412400866,0.17426887001506186,-0.4680146621610052,0.6776796275289957,0.20786033370892176,803730,0.5258693839971135,1.41874948607969,1.5735683229669473,0.02432570055501875,0.007135117507517277,0.0011618598953846595,6.11690909682664,0.004519586183065951,9.8164978447886,0.006271252231723633,10.287122640032415,0.007915906865076013,9.053875530358354,0.0025788934903199427,2.22159375287775,-0.0002553685123890901,-0.2010523251841938,2.1132236585663633,0.2421936043563071,0.3336718592033334,0.20893543464942188,2.1132236585663633,1.0028175284210725
13 [修正] 深度超跌+rs_sz20弱,1132863,0.24664290343657647,-0.5224793551568149,0.7948614359052183,0.2850973486568159,402.729537366548,0.12558214722580074,-0.5267929513425578,0.5243761771257661,0.17282343130178157,1119128,0.4914710381654288,1.3540543990240341,1.308634455784042,0.013619858757376396,-0.002385020910244837,0.0005315301648357836,4.0344303728041915,0.001936674697608187,6.289122935055902,0.0027813993055778516,6.728423208741143,0.0036046067219413207,6.134602696186203,-0.0011474718618685541,-1.4445531638833944,-0.006817148705157208,-6.9097675938044425,0.8065989442961206,0.19517961176430365,0.2034947488810248,0.4811325576430565,0.8065989442961206,1.1304497946487393
14 [修正] 深度超跌+小市值+熊市,184872,0.15205496712529887,-0.42751345958129916,0.6421910891683621,0.1820459655465649,152.66061106523534,0.22247252258485561,-0.3953234957627698,0.8086350855022183,0.24768129329553415,183662,0.5732813537912034,1.5074048351748999,2.0251448871480275,0.03873241661060111,0.020881211913423407,0.0010057746797822013,4.184889052020191,0.005748540072769306,9.554718196204389,0.0102032105423603,12.892699669581743,0.01869790771096337,15.384592930744159,0.02637239209850621,14.89172248968928,0.029873701286044132,14.204544473983852,2.0051773088886726,0.18223340077308547,0.7373714555862352,0.5974845533714572,2.0051773088886726,2.2811990294953013
15 [修正] 深度超跌+小市值+熊市+rs弱,135346,0.16490272997932065,-0.43667750536223104,0.676610445235429,0.19405101285823165,111.76383154417836,0.2466048346646934,-0.3982479082055942,0.8676576074629003,0.26793401228478464,134401,0.5814391261969777,1.5416807180574357,2.141608415133168,0.042506446445005154,0.02371748299192034,0.0011187158755927831,4.33984261210799,0.006219864233716502,9.866591330160494,0.011298895800833517,13.601110264546575,0.020415606727686202,15.794425208667802,0.029128146531477196,15.447562196556884,0.03233902705306427,14.413743933131844,2.396927126281589,0.2116961620714608,0.8821537451160888,0.5903384623038495,2.396927126281589,2.6269234629351996
