strategy,ncond,n,nav_cagr,nav_mdd,nav_sharpe,impl_cagr,impl_mdd,impl_sharpe,win,payoff,pf,n_trade,avg_holdings,exw1,t1,exw5,t5,exw10,t10,exw20,t20,exw40,t40,exw60,t60,impl_seg_2015-2020,impl_seg_2021-2022,impl_seg_2023-2024,impl_seg_2025-2026,impl_is,impl_oos
K1 距MA60 D1,1,1045862,0.2747537312796058,-0.5013184930640031,0.8444505425042389,0.14681197318098227,-0.5337595319819768,0.5778607821918811,0.4898607108363168,1.3433577791951334,1.2899578813128418,1031236,367.75923970432945,0.0005674563741196053,3.89653786986256,0.002098852557397547,6.188788496745024,0.0028975606211032972,6.410596449053208,0.003691984006368549,5.846446361354811,-0.001893952046183382,-2.2200592150889387,-0.009685300259828646,-8.739834282923535,1.0453802210087746,0.20676510606658893,0.19255678344791893,0.6177465546810714,1.0453802210087746,1.3281571654070357
K2 距MA60 D1 + 小市值30%,2,253791,0.49472432788067033,-0.4835801231380962,1.2898901421742988,0.28009312398039055,-0.46895210114640096,0.9018294930865309,0.5286692366141936,1.4637024684425863,1.6417652458395746,251367,89.26680746216121,0.0011985903212391213,7.653635708446901,0.004870470382513163,12.840025370281372,0.007622370052517671,15.003485246267422,0.012814796167330469,16.49148376233355,0.015767280715580426,13.841068873946998,0.015055254248001347,10.901610284029392,3.231960551282797,0.4185488249653484,0.5378525838690591,0.8050416255040869,3.231960551282797,2.9377325581774083
K3 距MA60 D1 + 小市值30% + 熊市,3,105908,0.2161866750423489,-0.4484992209471529,0.8105546295469876,0.2993255336365914,-0.4129890580281229,0.9817718678298142,0.5852148441215073,1.552494487904654,2.190393766176073,105146,85.27214170692432,0.0013692885506448814,4.922938092292403,0.007235647516977091,10.487539342121204,0.012181376551045347,13.671611820734249,0.021893502807185904,15.969275502927086,0.030191659422724438,15.134613310562965,0.03261396286689214,13.559316239487117,4.098551986371867,0.2451046037493394,0.8091433621135766,0.7196772570941157,4.098551986371867,2.8736980920292177
K4 深度超跌 + 小市值30%,2,464041,0.3992253529636245,-0.4995018506153067,1.1323180526608199,0.24178986870125607,-0.4814844725028663,0.8230411899953907,0.5188158762424399,1.4372087673730018,1.5496079134224043,459479,165.0373665480427,0.0009896027173919412,7.442019047800866,0.004217426615250791,13.012597486638025,0.0069657378422448325,15.812366231432232,0.01161385768557172,17.11977992197709,0.014366941667934119,14.274677944581958,0.01463105702292431,12.348267153078552,2.2157469557996903,0.35598085800295265,0.5377544418030167,0.7581433876934669,2.2157469557996903,2.6660200897225685
K5 深度超跌 + 小市值30% + 熊市,3,184872,0.15205496712529887,-0.42751345958129916,0.6421910891683621,0.22247252258485561,-0.3953234957627698,0.8086350855022183,0.5732813537912034,1.5074048351748999,2.0251448871480275,183662,152.66061106523534,0.0010057746797822013,4.184889052020191,0.005748540072769306,9.554718196204389,0.0102032105423603,12.892699669581743,0.01869790771096337,15.384592930744159,0.02637239209850621,14.89172248968928,0.029873701286044132,14.204544473983852,2.0051773088886726,0.18223340077308547,0.7373714555862352,0.5974845533714572,2.0051773088886726,2.2811990294953013
K6 深度超跌 + 小市值30% + 熊市 + rs弱,4,135346,0.16490272997932065,-0.43667750536223104,0.676610445235429,0.2466048346646934,-0.3982479082055942,0.8676576074629003,0.5814391261969777,1.5416807180574357,2.141608415133168,134401,111.76383154417836,0.0011187158755927831,4.33984261210799,0.006219864233716502,9.866591330160494,0.011298895800833517,13.601110264546575,0.020415606727686202,15.794425208667802,0.029128146531477196,15.447562196556884,0.03233902705306427,14.413743933131844,2.396927126281589,0.2116961620714608,0.8821537451160888,0.5903384623038495,2.396927126281589,2.6269234629351996
K7 深度超跌 + 小市值10% + 熊市 + rs弱,4,37385,0.18003104908376266,-0.4563729716995345,0.723685866672112,0.25879744319912823,-0.413208236959521,0.8726549035590588,0.5803578657598575,1.6419315238548218,2.270763103027467,37053,30.922249793217535,0.00122485841593748,3.9702764316459582,0.006197195067212739,7.944370346023192,0.01094143813956629,10.95224267892147,0.02173270889296274,11.845182312997649,0.04131057737543545,11.908030159368645,0.048272348357829675,12.106574943449294,2.428747059434735,-0.008727974490493895,1.5685630985631827,0.5767549626763948,2.428747059434735,3.014646362941468
K8 深度超跌 + 小市值10% + 熊市 + rs弱 + 高波动,5,23547,0.27863456102549344,-0.38590407572488905,1.0735070596559766,0.22827715090339074,-0.3918187350116137,0.8834577158242438,0.6372670807453417,1.611964112698911,2.8319780473100726,23345,31.777327935222672,0.002098872060773544,4.919080308040253,0.009765821060065313,9.039247877151148,0.015270613654075314,11.964995621467018,0.023438618615454602,12.354525994633264,0.035340120002205065,12.039323834160863,0.049117332449169916,11.882572617618713,3.9708423662784718,0.19369505057994107,0.0530008187845703,0.665669091795174,3.9708423662784718,1.0936825291613603
K9 距MA60 D1 + 熊市 + rs弱,3,378845,0.17249586122182747,-0.39721733199847675,0.6790873616312239,0.23482964818253382,-0.42858039008475013,0.8258446877108273,0.5608065733388607,1.4640446232767153,1.8694402023199626,376308,307.75385865150287,0.0011143784006961252,4.125118652675054,0.005585553116162648,8.745407703863613,0.009502534063300408,11.819343107340687,0.01591794484637938,14.683421112183442,0.015039453391983227,11.414776151997819,0.0070376748108200325,4.163822999611631,2.6017801720709572,0.2775850773243125,0.45245025942312345,0.6544654905548135,2.6017801720709572,2.0700737748183395
K10 深度超跌 + 熊市,2,718352,0.1377292921581572,-0.37650937087365866,0.5952020268827218,0.16701199010086287,-0.44859167217492213,0.6622732532995906,0.545920291104411,1.431058789517934,1.7204997617297093,713421,593.1890999174236,0.0008930411854219962,4.158873215691879,0.004642121186986047,8.879782963335806,0.007799658651941217,11.634129672301235,0.012859272810731306,14.102938588449824,0.011519371948499182,10.721277687664315,0.006285664547009837,5.264833644404302,1.3000550637328856,0.20113201264982528,0.35171021943475256,0.5558472063624833,1.3000550637328856,1.5260461668380758
