tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S ret20 D2~D6 | 量比<=0.7,1351032,0.12881624293995708,-0.659783991598954,0.5359661992768218,0.1751063947285304,474.7461322081575,-1.3207895401476318e-05,-0.1207125822125157,1.461253612623345e-05,0.0,0.48808231210995884,1.001597774482883,0.9900466877025438,-0.00012208414092661646,-0.46867546660371084,0.001844867592123304,-0.0004454402660485357,0.4870260800827335,1.0884768964746023,1.1190071374442419,-0.00011214104777408045,-0.2856887259952085,0.003204904214520311,-0.0025596434716135263,0.4791296529294022,1.1082943717126001,1.1857007865905025,-1.1624326981409589e-05,-0.020909435346858254,0.007690639234390123,-0.005299463169649243,0.47419863538883633,1.1877948290199796,1.3037104179282866,-0.0019591737069553426,-2.676512821398915,0.021877642081187542,-0.004680155077949166,0.48366439671941697,1.4053119171910826,1.4900961080221908,-0.005573150909392822,-6.177612845717169,0.0363717833402821,-0.005952381994575262,0.48321355819485406,1.5795153516668663,1.680427454420721
S ret20 D2~D6 | 量比<=0.9,2603288,0.1707374566272828,-0.5733154583454948,0.6531289284058647,0.2098584001803149,913.2384129213483,0.00011243395002230816,1.5296508956642012,0.00014911233489797284,0.0,0.4861869127760628,1.016552755801822,1.0108249620570655,0.0005800553291682124,3.708334795181303,0.0021369958431737535,0.0,0.48936993788206845,1.1042955465053976,1.1238729903279059,0.0007674261324808198,3.2278654662258304,0.004156694978702303,-0.001263657701201737,0.4874022296794908,1.1433724555350788,1.1827403850393237,0.0009379058156801437,2.755815176536334,0.009318048437769611,-0.0029352898709475994,0.4846915354796681,1.2313255736620456,1.295566895425528,-0.0011441455274571386,-2.328605306603255,0.022394184142583224,-0.0034168476704508066,0.48745520276951565,1.4193468018490765,1.4820567636209219,-0.0044628754694174275,-6.43275077940519,0.03470486991342495,-0.005434783874079585,0.4843865302844597,1.554671253608029,1.6459590374690063
S ret20 D2~D6 | 量比<=1.0,3127051,0.18606404546360533,-0.5353656936234606,0.695111791346749,0.222467453314347,1096.5043875043875,0.00018248951556730026,2.3926174038977446,0.00022592935416523724,0.0,0.4863030383736441,1.025157124566667,1.0186108060443169,0.0006925378296491678,4.984313058200494,0.002279752446451707,0.0,0.49077869740295127,1.1117664857382894,1.125034612177987,0.001036166322620633,4.922636597726598,0.004562553923757066,-0.0005681632028426975,0.4906751293869248,1.158461452040712,1.182572825594181,0.0011327524271874457,3.632920926014472,0.00987034096997891,-0.002150239422917366,0.488143658946863,1.2461899038441189,1.2930710144435587,-0.0008670483508408912,-1.8716622024281873,0.02252726445030484,-0.0031780125573277473,0.4882149074023763,1.4226553995601148,1.4808867141750444,-0.004272779365626912,-6.4249907356619085,0.034078688512780696,-0.0053571490570902824,0.48451298011746513,1.5446297826631754,1.6344202767094893
S ret20 D2~D6 | 量比<=1.1,3552107,0.18816767908784438,-0.5329494825017727,0.7014633272735068,0.22397642554018726,1245.5159705159706,0.00018852373902805266,2.9743621426191615,0.0002966642676960379,0.0,0.4866284812489872,1.033079931127582,1.0248507760584566,0.0007918871454287277,6.11186038987447,0.0024373187043354692,0.0,0.49215880541390056,1.1199239873144182,1.126914447907897,0.001210278822444067,6.209372649608714,0.004951907723717947,0.0,0.49331711282048524,1.1729451789490566,1.1846217178430742,0.00135880504510009,4.535836852736282,0.010419548145265134,-0.001485874061472714,0.4909688349835576,1.261013813994341,1.29369342770199,-0.0005912178198421013,-1.299248232523595,0.0227824489319947,-0.0029850718565285206,0.488810304395674,1.4280924316862345,1.4829603083649465,-0.003907454142612206,-6.015530166872749,0.03376470006044277,-0.005336183588951826,0.48453519071619233,1.5398524487860603,1.6291778375237405
S ret20 D2~D6 | 量比<=1.2,3889821,0.19586525818349476,-0.5287354773695433,0.7221378007419669,0.2302805099074244,1363.4322807017543,0.0002380061572020956,3.6713560935803202,0.00036981764925781346,0.0,0.4871305183872899,1.0412705426527296,1.0308659951747643,0.0008945024852047151,7.186965666760896,0.0026058756151911893,0.0,0.493233646344905,1.1285906562395305,1.1306884248456166,0.0014055582559672662,7.440238928728851,0.0052983805073281804,0.0,0.4954046064910564,1.185874337363528,1.1875840170637313,0.00167060137287109,5.697627117665428,0.010932495140716137,-0.0008620510925538838,0.4932436912731608,1.274894808218614,1.2960582569473946,-0.00032557480218224947,-0.7271585518968036,0.023031838607808875,-0.0028449284145608544,0.4892622829667743,1.4331123593905455,1.4854858889402984,-0.0036289517274650557,-5.724946487995559,0.033617093479523304,-0.00531905610114336,0.48456553667012986,1.5375731834339144,1.626505643786398
S ret20 D2~D6 | 量比<=1.5,4519393,0.1996627707088312,-0.5184394284416183,0.7338434500673727,0.2329565141131832,1584.0926315789475,0.00024870346695445695,4.351130645202832,0.000521591525433707,0.0,0.4878515876264546,1.0581382773165326,1.0446338968859237,0.000981076682147538,8.262225029393818,0.0030383969713294805,0.0,0.49563555357243944,1.1507386637566375,1.1417901973212872,0.0015346464035492053,8.520982533345922,0.006085338092758005,0.0,0.49954324828818275,1.2151892420274244,1.1968697191475635,0.0017721537070381412,6.362262404702813,0.012028605003464777,0.0,0.497330825099462,1.3045652632274003,1.3046709035031108,-0.00010110066436900041,-0.22783775856844282,0.023595471842351983,-0.002669530804269016,0.48984702225611976,1.4438048512832662,1.4930877973242664,-0.0033098723929350813,-5.358249562633992,0.03348437880396086,-0.005464475601911545,0.48414301721969405,1.5348723112086604,1.6263240966163999
S ret20 D2~D6 | 量比<=2.0,4945055,0.19659428616681152,-0.5146087139162367,0.7253904998554586,0.23045505379610137,1733.3154385964913,0.00023870389504709015,4.594872625467789,0.0006818550824551025,0.0,0.48840524466953,1.075656957527258,1.0599565461551381,0.0009319499804420116,8.057915293680368,0.0035487556583973373,0.0,0.4974906665779508,1.1767937758981522,1.159026907167896,0.0014688784818707703,8.661260614322089,0.006882076546224772,0.0010110298753716052,0.5027221078519307,1.2449185639743103,1.2105925235939414,0.0016769822897403951,6.089841693507336,0.013179327980800959,0.0005615408299490809,0.5006295291808598,1.3356884836467748,1.3182560378426182,-0.00026577331159458164,-0.5928567099611542,0.024296910010205394,-0.002457025460898876,0.49057646060160837,1.4570035565339936,1.5023632748669908,-0.0033544219029123766,-5.496180121109806,0.033714344667101194,-0.0056053404696285725,0.48379872357502557,1.5376116255671393,1.6314484690523952
S ret20 D2~D6 | 量比<=2.5,5099544,0.1908192651568943,-0.5134861783679427,0.7096874154045115,0.22571636688427765,1787.4845614035087,0.00021976102382076433,4.3033861572544065,0.0007594577238141382,0.0,0.4884272341157259,1.0839857973419267,1.0682828349451878,0.0008975012202465514,7.748223168592452,0.0038111534258466724,0.0,0.4981103876650891,1.1901350887409334,1.16931268178846,0.0014124682755400405,8.363391663509763,0.007266396877648984,0.0012345234863460064,0.5039367563178899,1.2593124561731117,1.2186254240836825,0.0015934216320079983,5.799538808696475,0.013756109639048645,0.001067229313775897,0.5020572770999033,1.351398660186656,1.3261509840167298,-0.0003755850865712069,-0.8357577797323593,0.024681913721747724,-0.0023473440669476986,0.4909766915724106,1.4643614098180067,1.5075241903340082,-0.0034484920750569,-5.655887545982569,0.033910026827288164,-0.005660441238433123,0.48366476855866913,1.5403858076955377,1.6352835701920687
L 深度超跌并集 | 基线,1737367,0.22106142934528306,-0.502219295108467,0.7431709742547719,0.2622903657505229,617.5320284697509,0.0004390615888480096,3.704474862162381,0.0009472051225170606,0.0,0.4880090360838258,1.0917501419831286,1.095878248681242,0.001646450955078341,5.828572466811845,0.004363596899511823,0.0,0.49204121067179635,1.191673590267899,1.2081697580385529,0.0021948519668028134,5.715574187354268,0.00797812642158814,0.0,0.49551624698027935,1.2530910892625666,1.2600775896281622,0.0021941424922075877,4.029230287097763,0.01429003122744111,-0.0012706362176686525,0.4929552779370962,1.3269080355455065,1.3535952824681559,-0.00290232591251421,-3.879595000698359,0.020799024959311137,-0.0073782457038760185,0.4782055048312833,1.3479943321809986,1.4628535098535034,-0.008694242439090895,-9.570683474192148,0.02442691305513359,-0.01610642485320568,0.4609091249819292,1.3387328045053208,1.5590798005634785
L 深度超跌并集 | 量比>=0.5,1641490,0.23348253455349388,-0.47179799010736445,0.7722420552518043,0.27241007532085065,583.420640569395,0.00048009091482953934,4.017914502696111,0.001003440083769163,0.0,0.4875180857526967,1.0974441387951919,1.1039911009253267,0.0017373857966264373,6.127422156540861,0.0045051025524256725,0.0,0.4924081884202404,1.1989340811741491,1.213735938662508,0.002347034803152094,6.073473780773709,0.00836009570303278,0.0,0.4976858549647146,1.2666501583000649,1.2626872983990693,0.0023902465216460076,4.374016160424253,0.014990182457055764,0.0,0.4959083348688504,1.3451646615160366,1.356075355181063,-0.0026776586023399456,-3.5700608780825167,0.02130404814030916,-0.006890852702781558,0.4796141485513118,1.3576919857837562,1.4650855651330317,-0.008561334499284713,-9.38731684271377,0.02442981336308209,-0.015873000025749207,0.4614147271802801,1.3389545327342334,1.5561815687802494
