variant,H,n_new,exw_new,t_new,exw_old,t_old
用户规格(hist_z<-1.5),5,59198,-0.002942675126627959,-5.177669713145305,-0.00281917591382758,-4.977686387091322
用户规格(hist_z<-1.5),10,59186,-0.0036601194885682825,-4.096144068709394,-0.003248638996251001,-3.6718715337408283
用户规格(hist_z<-1.5),20,59143,-0.004276772307793771,-3.340064999996325,-0.0030301664822395455,-2.4284766975656784
价格超跌(距MA60<-20%),5,7235,0.0010009598395034913,0.7608311924208099,0.001059925870648791,0.805493085542341
价格超跌(距MA60<-20%),10,7228,0.005322169952422052,2.5258742267588357,0.005570879113944102,2.6428891075081915
价格超跌(距MA60<-20%),20,7226,0.011505411639166874,2.685955900876409,0.012164270842589928,2.8404114738567534
无超跌(缩量+没涨+低波),5,569327,-0.0015450280991625809,-4.176257802106338,-0.0014396943829175829,-3.9161872297441698
无超跌(缩量+没涨+低波),10,567813,-0.0026310885359423497,-5.028538187654709,-0.0022798101195609837,-4.433412515640364
无超跌(缩量+没涨+低波),20,565637,-0.004436533845183306,-5.768922264166622,-0.0033184070897498276,-4.496794181460624
