hist_slope_bin,n,mean1,mean5,mean10,mean20,mean60
"(-inf, -0.05]",1654621,-0.00020109099568799138,0.002666567452251911,0.003556173760443926,0.005734961945563555,0.009377027861773968
"(-0.05, -0.01]",1876373,-7.669111073482782e-05,0.002797640161588788,0.005363560281693935,0.00944635458290577,0.0271968562155962
"(-0.01, 0.0]",1065340,1.9484003132674843e-05,0.002150553511455655,0.004690729081630707,0.009166115894913673,0.031006664037704468
"(0.0, 0.01]",1082581,0.0005017610965296626,0.002516771201044321,0.005188944283872843,0.01068998035043478,0.033869270235300064
"(0.01, 0.05]",1931239,0.0007643690914846957,0.002656549448147416,0.006002506241202354,0.012651423923671246,0.031681936234235764
"(0.05, inf]",1660036,0.0018378857057541609,0.0019325594184920192,0.004641226027160883,0.009937355294823647,0.015001018531620502
