label,n,mean1,med1,std1,win1,n1,t1,excess1,mean5,med5,std5,win5,n5,t5,excess5,mean10,med10,std10,win10,n10,t10,excess10,mean20,med20,std20,win20,n20,t20,excess20,mean60,med60,std60,win60,n60,t60,excess60
底背离发生日,96891,-0.0012763625709339976,-0.0004297378472983837,0.031463414430618286,0.4752644888269598,96885,-12.62682666242465,-0.001776193967089057,0.0023580719716846943,0.0,0.07181563973426819,0.49254625659886153,96797,10.21566678579189,-0.00012827245518565178,0.0088749248534441,0.001783326268196106,0.09876729547977448,0.5068954092725654,96586,27.925846884238055,0.003918143454939127,0.020056817680597305,0.007194244768470526,0.1409110128879547,0.5256672021557756,96485,44.212466143687,0.010403973050415516,0.05398951843380928,0.013233260251581669,0.24526914954185486,0.5314183123877917,92462,66.933852430198,0.029887482523918152
底背离 + 缩量 (VR<1.0),41188,-0.0006968756788410246,0.0,0.031548384577035904,0.48858835526635264,41186,-4.482782904612469,-0.0011967071332037449,0.0018928061472252011,-0.0009066183120012283,0.07109261304140091,0.4885377415825939,41135,5.399855418209368,-0.0005935382796451449,0.008089277893304825,-0.00047290214570239186,0.10150003433227539,0.4932234789391576,41024,16.141996318189012,0.0031324964947998524,0.022298727184534073,0.006363027263432741,0.1493566334247589,0.5214102720507503,40985,30.22475170977808,0.012645882554352283,0.06524905562400818,0.016445288434624672,0.25828197598457336,0.5375837710559681,38647,49.66293258862886,0.04114701971411705
底背离 + 放量 (VR>1.1),45935,-0.0018590715480968356,-0.00136239780113101,0.031603626906871796,0.46223683351113626,45931,-12.606874193029219,-0.002358902944251895,0.0027946094051003456,0.0,0.07268452644348145,0.4953810623556582,45898,8.237042618307798,0.00030826497822999954,0.009309913963079453,0.003636363660916686,0.0964256227016449,0.5174896894843651,45827,20.668511350546076,0.00435313256457448,0.018397415056824684,0.008211866021156311,0.13369262218475342,0.5298024820835519,45768,29.439175123160535,0.008744570426642895,0.04329254478216171,0.01016604620963335,0.23011378943920135,0.5250797072163097,44538,39.70369817957476,0.019190508872270584
底背离 + 翻红确认 (右侧),45758,0.0017377127660438418,0.0,0.029347684234380722,0.48240106753002426,45713,12.659578534166876,0.0012378813698887825,0.005011689383536577,-0.0005774568999186158,0.07505198568105698,0.48881873191265457,45612,14.26122312173467,0.002525344956666231,0.010160391218960285,0.0031525851227343082,0.09667320549488068,0.5137642852442476,45589,22.440346470301467,0.005203609820455313,0.026820125058293343,0.012658228166401386,0.14365631341934204,0.5459416725228391,45536,39.83902906645179,0.017167281359434128,0.05336979404091835,0.010289990343153477,0.2478727102279663,0.5243302478490989,42889,44.5897160450451,0.02926775813102722
底背离 + 翻红 + 放量,23283,0.0017812533769756556,-0.0005504764849320054,0.03259364143013954,0.47420907840440163,23264,8.335385306119319,0.0012814218644052744,0.006262009963393211,-0.001396648003719747,0.08390957117080688,0.4837015028204797,23223,11.372397815373088,0.0037756655365228653,0.007937261834740639,0.001108647440560162,0.10176043957471848,0.5023913137145073,23209,11.882575942396112,0.0029804804362356663,0.02443951554596424,0.008069943636655807,0.14882691204547882,0.5271260997067448,23188,25.00537771014499,0.014786670915782452,0.04739265888929367,0.003435815218836069,0.24552638828754425,0.5082190536735991,22022,28.643851988267777,0.023290622979402542
