entry,year,n,mean20,win,exw20,t
EN1_MACD金叉,2015,17404,0.06473657328069536,0.6418639393242933,-0.02171782642011247,-4.806235262495307
EN1_MACD金叉,2016,19789,0.01651574576440413,0.5178129263732376,-0.009071590488123216,-4.157398360251051
EN1_MACD金叉,2017,23303,-0.011386006308282971,0.45543492254216195,-0.003225895254868986,-2.644197137054794
EN1_MACD金叉,2018,26603,-0.023261995420606904,0.3757470961921588,-0.012878984873039732,-7.383631255334599
EN1_MACD金叉,2019,29663,0.02477459010992108,0.5515625526750497,-0.003475563900161441,-2.007858728636464
EN1_MACD金叉,2020,32170,0.012066628109605883,0.47429281939695367,-0.002771884099644115,-1.2627268512076242
EN1_MACD金叉,2021,37490,0.02005995945971456,0.5147239263803681,-0.0036355160278457497,-2.4664773257461508
EN1_MACD金叉,2022,39481,-0.002541589701389406,0.458043109343735,-0.008126403568908997,-4.286969571708136
EN1_MACD金叉,2023,45487,4.968953281480958e-05,0.4578450985995999,-0.006990260002638631,-5.046762239323351
EN1_MACD金叉,2024,47034,0.029570854595392992,0.4863077773525535,-0.009344370446631532,-3.2595500255152614
EN1_MACD金叉,2025,50298,0.03811870952866286,0.5946160881148356,-0.006441042271315293,-3.867270081646309
EN1_MACD金叉,2026,29530,-0.009554225481713604,0.4319674906874365,-0.007711332508602462,-3.044897780161103
EN2_0轴下金叉,2015,8280,0.07738488529443462,0.7027777777777777,-0.011967180136472905,-1.6858766810438515
EN2_0轴下金叉,2016,12568,0.027763720398678464,0.5525938892425207,-0.011751484582420217,-4.205771516711242
EN2_0轴下金叉,2017,16502,-0.008380082321122216,0.4798812265179978,-0.006905495848998519,-4.380913633872374
EN2_0轴下金叉,2018,21281,-0.01721620474965486,0.39608101123067524,-0.012562675243341478,-6.751668313723338
EN2_0轴下金叉,2019,19598,0.04083813598677023,0.6098071231758343,-0.00024540205606702486,-0.09203684836416623
EN2_0轴下金叉,2020,19039,0.006195702012223439,0.46488786175744523,-0.006499931997739692,-2.366139914690358
EN2_0轴下金叉,2021,23638,0.027931276630024354,0.5539808782468906,0.0023672797837237442,1.3578909086502302
EN2_0轴下金叉,2022,26494,0.00682279606871648,0.49886766815127953,-0.0014785031676115739,-0.743118610893379
EN2_0轴下金叉,2023,31120,0.005543383021381788,0.4849293059125964,-0.0049200524555263,-3.1131371984393645
EN2_0轴下金叉,2024,31149,0.04904781090888083,0.5262448232688047,-0.004211521502189101,-1.0732785335905015
EN2_0轴下金叉,2025,28337,0.048994037288508804,0.6558210113985249,-0.006840586696647563,-3.3917022234048853
EN2_0轴下金叉,2026,20988,0.00012202832820460215,0.4696493234229083,-0.011367584015171761,-3.753367233178264
EN3_0轴上金叉,2015,9124,0.053258271716276125,0.5865848312143797,-0.030854374647543654,-5.061855577722783
