label,牛市,牛市_n,熊市,熊市_n,震荡,震荡_n,高波动,低波动
MACD翻红,-0.0012700000079348683,131096,-0.0032451781444251537,40692,0.0005217201542109251,194518,-0.0007956237532198429,0.0003651390434242785
MACD翻红+VR>1.1,-0.002975139766931534,75788,-0.006611031014472246,21258,-0.0014333315193653107,106377,-0.004806561395525932,0.00026634588721208274
MACD翻红+缩量,-0.00043885246850550175,23249,-0.00040408060885965824,8340,0.001777451834641397,37460,0.001632410567253828,-0.001935620908625424
底背离+翻红,-0.0037116759922355413,7346,-0.0018570427782833576,10264,0.007943536154925823,28148,0.004339966922998428,0.00043108637328259647
