MA60th,size,market,n,cagr,mdd,sharpe,win,pf,n_trade,seg_2015-2020,seg_2021-2022,seg_2023-2024,seg_2025-2026,is_ret,oos_ret,neg_seg
1,10%,熊市,63051,0.31536214141382235,-0.42290311480357845,1.0116227030628546,0.5913952707563912,2.313985481578235,62547,4.629898797148341,0.18120038848618658,0.9801686930194,0.7248056615320029,4.629898797148341,3.0342790978049106,0
1,10%,不限,155233,0.300946836110735,-0.4756226424953308,0.9470107118644779,0.5319763282824999,1.698374581184587,153770,3.943616808701136,0.34342981376536685,0.6942148018250991,0.7803872185568428,3.943616808701136,3.05226577489175,0
1,20%,熊市,105908,0.2993255336365914,-0.4129890580281229,0.9817718678298142,0.5852148441215073,2.190393766176073,105146,4.098551986371867,0.2451046037493394,0.8091433621135766,0.7196772570941157,4.098551986371867,2.8736980920292177,0
1,20%,不限,253791,0.28009312398039055,-0.46895210114640096,0.9018294930865309,0.5286692366141936,1.6417652458395746,251367,3.231960551282797,0.4185488249653484,0.5378525838690591,0.8050416255040869,3.231960551282797,2.9377325581774083,0
1,30%,熊市,153597,0.2880241178075489,-0.4046993688173548,0.9572020609878259,0.5776881984727821,2.095078112855498,152565,3.9032308718556896,0.2479995147709244,0.6773059668356769,0.7419645864971607,3.9032308718556896,2.6464144607492797,0
1,30%,不限,362272,0.25889421975508276,-0.47128203663473334,0.8528825500140714,0.5213658547456154,1.5720848241981984,358984,2.8453213044763537,0.3831347856668581,0.43529609184492424,0.8047808777195986,2.8453213044763537,2.5828653507205486,0
2,10%,熊市,159362,0.2702553313889342,-0.4179241294585917,0.9326774674222796,0.5775792398030054,2.0800545044039906,158380,3.5128676636673024,0.1681398761079267,0.845476483488818,0.5687713832224757,3.5128676636673024,2.381917612199789,0
2,10%,不限,390662,0.27160404762956625,-0.48210141057866296,0.9023952873907215,0.53042070110825,1.6356834123861257,387187,3.2064146986129227,0.35416600609889537,0.5841404289009715,0.7119403824700992,3.2064146986129227,2.672435878633941,0
2,20%,熊市,254100,0.2596723492428632,-0.41169487723217124,0.9096051606398907,0.5760051618828205,2.0191741344937366,252621,3.3436958587709302,0.19933984681850325,0.6872434305000774,0.5784871668820271,3.3436958587709302,2.1941923421857723,0
2,20%,不限,611551,0.2554623378182499,-0.47555246750013236,0.863890203559424,0.5279159756771697,1.5892731384597745,606015,2.858648939346403,0.3832483283369481,0.4519528760551035,0.7233296905626856,2.858648939346403,2.461154976885563,0
2,30%,熊市,353341,0.24998223211777248,-0.4120956072826749,0.8860764743432374,0.5707580734221747,1.9643557259280404,351338,3.1148943304670142,0.21145264121225948,0.6057600620529426,0.5873248773189741,3.1148943304670142,2.087826684420793,0
2,30%,不限,839678,0.23753248531699245,-0.4767034297585766,0.8193357733748189,0.5209876661926747,1.5313675267965075,831941,2.4966142369155264,0.36128146726983656,0.3910558153331969,0.7121586452601587,2.4966142369155264,2.2421752879127195,0
3,10%,熊市,272818,0.23880084963464077,-0.429361367967498,0.8679192136716366,0.5701588167635001,1.9164263137942237,271256,2.9129066615056476,0.1561127253463468,0.7112314000157323,0.4816455838698055,2.9129066615056476,1.9312526526924865,0
3,10%,不限,667818,0.2519310866502211,-0.4910429403258557,0.8670493088020502,0.5295155077126747,1.587227755410399,661703,2.7447741624086883,0.36286420875799585,0.5160490580216599,0.6715845642602556,2.7447741624086883,2.453776207384206,0
3,20%,熊市,421701,0.23093213623653353,-0.4367304693482348,0.8493269147320626,0.5696095380029806,1.8899615725243346,419375,2.8134684925371576,0.17935554715065805,0.595484723466079,0.486506314861066,2.8134684925371576,1.797075330093008,0
3,20%,不限,1017131,0.23817962936338177,-0.4898972473035007,0.8327443714770691,0.5269067218426393,1.5482628465673802,1007685,2.486244452224632,0.37337747944132627,0.42326322139439476,0.6735470954949798,2.486244452224632,2.2712451131251403,0
3,30%,熊市,572354,0.21954421539235391,-0.43730683111868474,0.8190322106403073,0.5659189406170013,1.8615006514181494,569237,2.6345828839431724,0.19137701807133434,0.5359256485471595,0.4426546891122016,2.6345828839431724,1.6398655142945255,0
3,30%,不限,1364136,0.22221493601950604,-0.4908420207652081,0.7914476339526688,0.5209412767872476,1.502558633039931,1351016,2.194418664474739,0.35636327201384965,0.37610914144585106,0.6498302781303509,2.194418664474739,2.079414644739208,0
