strategy,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,impl_cagr,impl_mdd,impl_sharpe,impl_ann_arith,n_trade,win,payoff,pf,mean,med,exw1,t1,exw5,t5,exw10,t10,exw20,t20,exw40,t40,exw60,t60,impl_seg_2015-2020,impl_seg_2021-2022,impl_seg_2023-2024,impl_seg_2025-2026,impl_is,impl_oos,kind,ncond
1 纯价格超跌,1737367,0.22106142934528306,-0.502219295108467,0.7431709742547719,0.2622903657505229,617.5320284697509,0.10701911151430066,-0.5348963699152464,0.4759965605539396,0.1547867642996052,1711654,0.4834528473628432,1.3299385960137753,1.2447316721775525,0.011074420211539822,-0.004314056646046946,0.0004390615888480096,3.704474862162381,0.001646450955078341,5.828572466811845,0.0021948519668028134,5.715574187354268,0.0021941424922075877,4.029230287097763,-0.00290232591251421,-3.879595000698359,-0.008694242439090895,-9.570683474192148,0.5360133081370146,0.17164374581789787,0.17353398523008923,0.5078798226130832,0.5360133081370146,1.073280101932672,user8,
2 +MA5反转(Close>MA5),651688,0.31518575333449395,-0.42015864090246025,0.9647403012834812,0.3337206990320994,232.4667381974249,0.09318797595006889,-0.555371243207432,0.43739220990644995,0.1423651514089474,640312,0.49391858968752733,1.3328050639772833,1.3007733224612978,0.013328128769303798,-0.0016130242907692579,0.0007260541814071459,3.4815565356607765,-0.00017152845500442352,-0.40744132406346245,-0.0003607023310699653,-0.6521923620032535,-0.002241598449015083,-3.031495810887218,-0.008765206722187356,-8.563176327111654,-0.015148655141918602,-13.149621773861037,0.4149085200841165,0.18924669929141436,0.14085011337953457,0.4375267954472759,0.4149085200841165,0.9503676878844909,user8,
3 +MACD改善(hist>0),852479,0.17699053945218202,-0.5360243007073258,0.6587125436756763,0.21795231509181187,304.57245080500894,0.08226132733678626,-0.5882808961385295,0.4073379460680985,0.13122297323290485,838743,0.49178473024514063,1.2955958409103978,1.2537093807436783,0.01143166615608023,-0.002306021583086235,0.0003085467763827009,2.1464064429223897,0.0008916462755568467,2.6170611068572907,0.0009685603043852896,2.0630711067651117,-0.0006430016002019108,-0.9047338347438884,-0.006701308874619854,-6.774950311756247,-0.013217527978215547,-11.970363154005916,0.23469794364191476,0.1959161408593515,0.11861861097326454,0.49003912945993044,0.23469794364191476,0.9933356843457801,user8,
4 +放量反转(量比>1.2),475041,0.13064501900878667,-0.6220456283605381,0.5241836804538205,0.18561918672397415,168.81387900355872,0.09485354203292529,-0.5661456046365312,0.4422834078712195,0.14336388199042627,469324,0.5078027119857497,1.4320662293209638,1.4774707880376163,0.020849130586727962,0.0021723842651214546,0.00012820614785022784,0.8861481239100221,0.0006138665008532186,1.9052182805656812,0.0008784195125632506,2.044852010756337,-0.00018110563502737103,-0.29442503104627255,-0.005783253784458576,-6.598421323853003,-0.011476056439633057,-11.508669792082603,0.3860151190795995,0.18081686847871237,0.14886256171861745,0.49334106574987113,0.3860151190795995,1.0258609531461818,user8,
5 +相对强势(rs_sz20强),114646,-0.09941232771834851,-0.9035489316323865,-0.10544770205971203,-0.0382687616092309,40.830714285714286,-0.03860593584332617,-0.7761675151255274,0.050079323580018965,0.016718236679731616,110243,0.4325444699436699,1.2499904248130758,0.9528084882382991,-0.00273060618330868,-0.020958438488932748,-0.0006374055250636174,-2.8740913301211006,-0.0035626589524548127,-7.707710102801857,-0.006662661611634279,-9.726003264227176,-0.011031220384733764,-10.427002830317381,-0.02304559570736529,-17.423324670083534,-0.029566786714224573,-18.416729528946156,-0.4028486106187107,-0.023506062564716323,-0.010911199743009137,0.10715703676668253,-0.4028486106187107,0.06933568552673064,user8,
6 +市场趋势(市场Close>MA60),1019015,0.0732442574534169,-0.5161227451655062,0.44450526725707734,0.09222736987943511,635.968105065666,7.897139586421353e-05,-0.7371201314358841,0.1403862879846955,0.039130568759277694,998233,0.4388083743975605,1.207602269175351,0.9442514187320359,-0.0026512050650167396,-0.014713024385080594,9.524089375664133e-05,0.7352301410421245,-0.0006247025415434159,-2.1793638897373673,-0.002067760282736764,-5.002982770191312,-0.005956390096348151,-10.203794989866187,-0.013837560013980585,-14.659830387909448,-0.01986263755880432,-16.01829876834243,-0.2615359628505868,0.24648179588657637,-0.06478750042828985,0.1626931941823866,-0.2615359628505868,0.35538093770904045,user8,
7 +MACD改善+放量,279284,0.031166196622465447,-0.7967630761883346,0.26144998051847357,0.08990978666468115,100.0635319454415,0.045069915176556785,-0.6363287368811613,0.29899596781907317,0.09743839618704031,275337,0.5026422166290764,1.3718528358377378,1.386428791001961,0.01707185353162972,0.0007267055486103206,-0.0002513335944668464,-1.3240510545891777,-0.0010473156963938803,-2.546240891828796,-0.0016668092342539674,-3.0366585521779683,-0.004569567107571262,-5.6280218717336465,-0.012487222728743148,-11.188158015588483,-0.019509361862048834,-15.22792934188037,-0.02120376331239482,0.1275170627374329,0.07644051991353895,0.3909603094259382,-0.02120376331239482,0.6882155563849286,user8,
8 +MACD改善+放量+市场趋势,191412,-0.0031383149418476863,-0.7049002551661988,0.09344544748802622,0.020262315544001226,119.39024390243902,-0.0404240293940511,-0.7738479308202031,-0.004620125689575265,-0.0013023999720726453,187930,0.4919331666045868,1.3527269024891495,1.3097710477290707,0.013533169669645366,-0.002017474034832098,-0.00041750931903533384,-1.9707084589166415,-0.00227093228303929,-5.105071976284074,-0.004776309348049178,-8.122700901314802,-0.011616616945119297,-12.878552324657361,-0.02089863905351958,-15.23798938590387,-0.027636974681683437,-18.054432411138418,-0.422751096339826,0.18521973800446312,-0.14539519412982171,0.06882211426697915,-0.422751096339826,0.08260402403667566,user8,
9 [修正] 深度超跌+小市值30%,464041,0.3992253529636245,-0.4995018506153067,1.1323180526608199,0.39807900538128965,165.0373665480427,0.24178986870125607,-0.4814844725028663,0.8230411899953907,0.27078353712919545,459479,0.5188158762424399,1.4372087673730018,1.5496079134224043,0.021461300797679113,0.004604577765228049,0.0009896027173919412,7.442019047800866,0.004217426615250791,13.012597486638025,0.0069657378422448325,15.812366231432232,0.01161385768557172,17.11977992197709,0.014366941667934119,14.274677944581958,0.01463105702292431,12.348267153078552,2.2157469557996903,0.35598085800295265,0.5377544418030167,0.7581433876934669,2.2157469557996903,2.6660200897225685,user8,
10 [修正] 深度超跌+小市值10%,135513,0.5397610364432723,-0.4639594669695397,1.4009113785581182,0.49385090973683426,48.19608540925267,0.29706714428764536,-0.47359210835094023,0.9400477603590393,0.31627156240726567,134115,0.5196585020318384,1.5174851467585821,1.6416946309152702,0.02482797633424038,0.004726277946686899,0.0013779000913262003,8.14481643889939,0.005599474557320707,12.841650096609882,0.00902069941609443,14.712847678334382,0.015723438557090633,15.156171572611765,0.02395558513809819,13.336970435159229,0.025772695362924498,12.941235179141414,3.19057756785502,0.20312738810132247,1.1846393092125558,0.7579232527368798,3.19057756785502,3.6205243981926882,user8,
