rt_cost,cagr,mdd,win
0.0,-0.08393584860620273,-0.7675812642523112,0.5172811059907834
0.001,-0.10471674652884977,-0.814240339391227,0.5122887864823349
0.002,-0.12502826102556852,-0.8554613727479388,0.5076804915514593
0.003,-0.14488094830884635,-0.887538069720173,0.5034562211981567
0.005,-0.1832508894914091,-0.9319205540410308,0.4927035330261137
0.008,-0.2376151897233969,-0.9679695521782088,0.47619047619047616
0.012,-0.30453674739632997,-0.9883535394313161,0.4554531490015361
0.02,-0.42133717413464733,-0.998462102909194,0.4228110599078341
