bench,roundtrip_cost,cagr_gross,cagr_net,exw_H
B4_随机选股,0.0,0.15688348967113352,0.15688348967113352,0.00015675698523409665
B4_随机选股,0.001,0.15688348967113352,0.14255670279029564,0.00015675698523409665
B4_随机选股,0.0027,0.15688348967113352,0.11857548746380231,0.00015675698523409665
B4_随机选股,0.0054,0.15688348967113352,0.08143839409477116,0.00015675698523409665
B4_随机选股,0.008,0.15688348967113352,0.04675279373055252,0.00015675698523409665
B4_随机选股,0.012,0.15688348967113352,-0.004614423881524776,0.00015675698523409665
B4_随机选股,0.02,0.15688348967113352,-0.10045641557479457,0.00015675698523409665
B5_仅Momentum(ret20 Top20%),0.0,0.028547013591996295,0.028547013591996295,-0.009239842183887959
B5_仅Momentum(ret20 Top20%),0.001,0.028547013591996295,0.01569080751957408,-0.009239842183887959
B5_仅Momentum(ret20 Top20%),0.0027,0.028547013591996295,-0.005825716510575063,-0.009239842183887959
B5_仅Momentum(ret20 Top20%),0.0054,0.028547013591996295,-0.03913809907185639,-0.009239842183887959
B5_仅Momentum(ret20 Top20%),0.008,0.028547013591996295,-0.07024250584707037,-0.009239842183887959
B5_仅Momentum(ret20 Top20%),0.012,0.028547013591996295,-0.11628962644202578,-0.009239842183887959
B5_仅Momentum(ret20 Top20%),0.02,0.028547013591996295,-0.20214882392617695,-0.009239842183887959
B6_仅Volume(vt_5_20 Top20%),0.0,0.08860601183592376,0.08860601183592376,-0.004715553019195795
B6_仅Volume(vt_5_20 Top20%),0.001,0.08860601183592376,0.0750599015114557,-0.004715553019195795
B6_仅Volume(vt_5_20 Top20%),0.0027,0.08860601183592376,0.052387139737954946,-0.004715553019195795
B6_仅Volume(vt_5_20 Top20%),0.0054,0.08860601183592376,0.017280609548161907,-0.004715553019195795
B6_仅Volume(vt_5_20 Top20%),0.008,0.08860601183592376,-0.015503595033745876,-0.004715553019195795
B6_仅Volume(vt_5_20 Top20%),0.012,0.08860601183592376,-0.0640459469846214,-0.004715553019195795
B6_仅Volume(vt_5_20 Top20%),0.02,0.08860601183592376,-0.1545865260078969,-0.004715553019195795
B7_仅MACD(hist_z Top20%),0.0,0.049848557207465394,0.049848557207465394,-0.005825042258948088
B7_仅MACD(hist_z Top20%),0.001,0.049848557207465394,0.03674730324373354,-0.005825042258948088
B7_仅MACD(hist_z Top20%),0.0027,0.049848557207465394,0.014820102317166572,-0.005825042258948088
B7_仅MACD(hist_z Top20%),0.0054,0.049848557207465394,-0.019129510755381274,-0.005825042258948088
B7_仅MACD(hist_z Top20%),0.008,0.049848557207465394,-0.05083050966109193,-0.005825042258948088
B7_仅MACD(hist_z Top20%),0.012,0.049848557207465394,-0.09776378382134066,-0.005825042258948088
B7_仅MACD(hist_z Top20%),0.02,0.049848557207465394,-0.18528536541964946,-0.005825042258948088
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.0,-0.00188067116226176,-0.00188067116226176,-0.00984268169850111
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.001,-0.00188067116226176,-0.014386146616564455,-0.00984268169850111
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.0027,-0.00188067116226176,-0.035314896406431595,-0.00984268169850111
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.0054,-0.00188067116226176,-0.06771529644477547,-0.00984268169850111
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.008,-0.00188067116226176,-0.09796592940630089,-0.00984268169850111
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.012,-0.00188067116226176,-0.14274497920254803,-0.00984268169850111
B8_MACD+Volume(hist_z&vt_5_20 Top20%),0.02,-0.00188067116226176,-0.22622564132520173,-0.00984268169850111
B9_V2最终模型(漏斗⑨),0.0,0.06905595951100141,0.06905595951100141,-0.001790654263459146
B9_V2最终模型(漏斗⑨),0.001,0.06905595951100141,0.05573408469233798,-0.001790654263459146
B9_V2最终模型(漏斗⑨),0.0027,0.06905595951100141,0.0334371361660637,-0.001790654263459146
B9_V2最终模型(漏斗⑨),0.0054,0.06905595951100141,-0.001086219616748374,-0.001790654263459146
B9_V2最终模型(漏斗⑨),0.008,0.06905595951100141,-0.03332439497294182,-0.001790654263459146
B9_V2最终模型(漏斗⑨),0.012,0.06905595951100141,-0.08105561230225666,-0.001790654263459146
B9_V2最终模型(漏斗⑨),0.02,0.06905595951100141,-0.17007424748897026,-0.001790654263459146
