entry,exit,train,test,n_sig,cagr,win,exw,t_exw
R3_仅超跌+缩量,XD_ATR2倍止损,2015-2019,2020,22357,-0.18568806744581312,0.5061728395061729,-0.0015606452452606521,-3.650659839626216
R3_仅超跌+缩量,XD_ATR2倍止损,2016-2020,2021,22433,-0.09827809413087074,0.5432098765432098,-0.0014326607629835647,-3.8104990329454127
R3_仅超跌+缩量,XD_ATR2倍止损,2017-2021,2022,23910,-0.4286751272715078,0.5165289256198347,-0.0017952036311793403,-4.395017500224165
R3_仅超跌+缩量,XD_ATR2倍止损,2018-2022,2023,17614,-0.02932069444126284,0.48760330578512395,-0.0006018695899671905,-1.5136388334015365
R3_仅超跌+缩量,XD_ATR2倍止损,2019-2023,2024,17483,-0.1871737108976208,0.4669421487603306,-0.0011100486203730392,-1.8976276758029007
R3_仅超跌+缩量,XD_ATR2倍止损,2020-2024,2025,31522,0.023220956917206825,0.522633744855967,-0.001351804969036727,-3.3535532331444924
R3_仅超跌+缩量,XD_ATR2倍止损,2021-2025,2026,24813,-0.2517801475947563,0.5114942528735632,-0.001116443052719646,-1.3912119714902331
R3_仅超跌+缩量,XD_ATR3倍止损,2015-2019,2020,22357,-0.18659074501940465,0.5061728395061729,-0.0015662919429643512,-3.6765842300329106
R3_仅超跌+缩量,XD_ATR3倍止损,2016-2020,2021,22433,-0.09203767262727558,0.5390946502057613,-0.0014056798852912908,-3.751356527329597
R3_仅超跌+缩量,XD_ATR3倍止损,2017-2021,2022,23910,-0.4234765590133791,0.512396694214876,-0.0017584250208819024,-4.352884082349418
R3_仅超跌+缩量,XD_ATR3倍止损,2018-2022,2023,17614,-0.027963708757461125,0.4834710743801653,-0.0005967881812272191,-1.5071360866107457
R3_仅超跌+缩量,XD_ATR3倍止损,2019-2023,2024,17483,-0.16967319863500985,0.47107438016528924,-0.0010225993827464586,-1.7702204932329053
R3_仅超跌+缩量,XD_ATR3倍止损,2020-2024,2025,31522,0.04292968168096567,0.522633744855967,-0.001273722010085667,-3.0922914108245108
R3_仅超跌+缩量,XD_ATR3倍止损,2021-2025,2026,24813,-0.24810127443815344,0.5114942528735632,-0.00109512085221795,-1.346890980170852
R4_完整+0轴下,XA_固定持有5日,2015-2019,2020,2696,-0.15430176656549677,0.5502392344497608,-0.001640993033740095,-2.391000364399205
R4_完整+0轴下,XA_固定持有5日,2016-2020,2021,3837,-0.21680183556719823,0.49382716049382713,-0.002029054721797372,-5.2417863595984535
R4_完整+0轴下,XA_固定持有5日,2017-2021,2022,6774,-0.4986158265469808,0.4721030042918455,-0.0022395485709265253,-4.35556478702502
R4_完整+0轴下,XA_固定持有5日,2018-2022,2023,5420,-0.1321598611192113,0.45,-0.001072122970264951,-3.087495116859796
R4_完整+0轴下,XA_固定持有5日,2019-2023,2024,2588,-0.23519986735516696,0.42424242424242425,-8.089145767398837e-05,-0.11134397284615216
R4_完整+0轴下,XA_固定持有5日,2020-2024,2025,7902,-0.22412649932745288,0.47520661157024796,-0.002472962794161482,-4.266212540177064
R4_完整+0轴下,XA_固定持有5日,2021-2025,2026,3684,-0.30284141842919576,0.49404761904761907,-0.0011224642162910897,-1.4222390213861635
R4_完整+0轴下,XA_固定持有10日,2015-2019,2020,2696,0.04494817323517353,0.5608695652173913,-0.0009351276405233364,-1.4681500353576438
R4_完整+0轴下,XA_固定持有10日,2016-2020,2021,3837,-0.04438566493343543,0.5349794238683128,-0.0012406594229716287,-3.453699985722474
R4_完整+0轴下,XA_固定持有10日,2017-2021,2022,6774,-0.37599874494087215,0.5,-0.0014659005953115052,-2.995685160998288
R4_完整+0轴下,XA_固定持有10日,2018-2022,2023,5420,0.01710765347498122,0.49173553719008267,-0.00043896336157356325,-1.4821152664444304
R4_完整+0轴下,XA_固定持有10日,2019-2023,2024,2588,-0.1585315605383658,0.4528301886792453,-0.00025933428434760786,-0.3758018579132112
R4_完整+0轴下,XA_固定持有10日,2020-2024,2025,7902,-0.09697055005427813,0.5432098765432098,-0.0019062070565320928,-3.888930494944088
R4_完整+0轴下,XA_固定持有10日,2021-2025,2026,3684,-0.05180465965236403,0.5375722543352601,-0.0002461935169266818,-0.32223674112481177
R4_完整+0轴下,XD_ATR2倍止损,2015-2019,2020,2696,0.03410123149444222,0.5565217391304348,-0.0009790657617983285,-1.529238638403723
R4_完整+0轴下,XD_ATR2倍止损,2016-2020,2021,3837,-0.053297173803294906,0.5267489711934157,-0.0012780851084763657,-3.578714199808557
R4_完整+0轴下,XD_ATR2倍止损,2017-2021,2022,6774,-0.3805426922904275,0.5083333333333333,-0.00149337207260018,-3.052038371242931
R4_完整+0轴下,XD_ATR2倍止损,2018-2022,2023,5420,0.015893804215015184,0.49173553719008267,-0.0004439297347927337,-1.4871752970666956
R4_完整+0轴下,XD_ATR2倍止损,2019-2023,2024,2588,-0.1860374856335837,0.45754716981132076,-0.000437337305621709,-0.5586850144334695
R4_完整+0轴下,XD_ATR2倍止损,2020-2024,2025,7902,-0.14088912066946824,0.5349794238683128,-0.00211033243667909,-4.237401942879556
R4_完整+0轴下,XD_ATR2倍止损,2021-2025,2026,3684,-0.05566051176383635,0.5317919075144508,-0.00026304227261850574,-0.34356215209951707
R4_完整+0轴下,XD_ATR3倍止损,2015-2019,2020,2696,0.04494151801978297,0.5565217391304348,-0.0009349945875427196,-1.468247710367228
R4_完整+0轴下,XD_ATR3倍止损,2016-2020,2021,3837,-0.04432502419737794,0.5308641975308642,-0.0012404479070220798,-3.4533840426732407
R4_完整+0轴下,XD_ATR3倍止损,2017-2021,2022,6774,-0.3750847388694767,0.5,-0.0014603416090493277,-2.982242564031673
